gene,S2,n_peaks_on
PTGER2,2.8901400373991906,5
CD40LG,2.8194200160696523,6
LINC02446,2.561452230886552,5
PLEKHG3,2.5590255343792663,4
MGAT4A,2.5477488430460475,5
PXN,2.5228366085265224,8
SORL1,2.5218282541781534,6
TSPAN14,2.4934721996308555,3
ABLIM1,2.474986752834623,5
COL6A2,2.4558350803555586,5
RELL1,2.432185850340755,6
TRAV12-1,2.4238245794660234,4
NSG1,2.423600271433255,5
PRKY,2.4193145801536478,1
TRAT1,2.4128873267113047,6
PITPNC1,2.369129311152974,5
TRBV7-6,2.3676552657917513,6
TRBV7-2,2.3430705956851035,6
TRAV38-1,2.329067960564897,1
KLF3,2.310764552837393,6
LINC00892,2.298263169067212,4
TRBV20-1,2.2886199606971034,8
TRBV4-2,2.2818987489622837,6
TTC39C,2.2809362416917907,7
IGLV2-14,2.280196129542922,5
SELPLG,2.2671170770676987,3
TRBV2,2.2552703844399886,2
TTC16,2.2512763211728504,4
P2RY8,2.2204132818527005,7
TRBV14,2.2168350993019215,2
RASGRP1,2.2082068827903045,7
TOB1,2.1764264789184145,4
RNF125,2.165903370085303,6
P2RX1,2.16142993266728,7
RASA3,2.1549433014821053,6
SLC2A3,2.1442691973630876,6
GLIPR2,2.1349643789395327,6
RNF157,2.1292522662265183,7
NPDC1,2.1129233212396663,3
CASP1,2.1062424720883066,5
GIMAP7,2.106153846166436,9
IL32,2.0924898954458535,13
TRGV2,2.0770999089350553,3
SERPINB6,2.0659532465188386,5
AAK1,2.065422088498627,5
PTGDS,2.0558730486724563,5
ADCY9,2.039529493159104,2
GLRX,2.033573681786495,7
TRBV7-9,2.0322588375164403,9
TSPAN32,2.0218529038724995,6
TRBV6-5,2.009696738360912,3
RAB27A,2.009343602387912,6
CD3E,1.9954846499266177,9
TRBV25-1,1.9916679213307587,4
AC022075.1,1.990026647875249,3
KLRC4,1.9857711974657246,4
ITGB2-AS1,1.9825290934729904,6
RPS4Y1,1.9810377894499405,8
CSGALNACT1,1.970659136035911,4
TRBV4-1,1.9695146763481124,3
GDPD5,1.9686118944809434,6
FUT7,1.9664083081966082,4
PDZD4,1.9635945464010067,3
AL450352.1,1.96306380693365,3
MATK,1.9526422459607524,6
AC004832.6,1.9470096309146414,3
LINC01871,1.9440959413576313,6
SYNM,1.9424384933702428,2
RFLNB,1.9387033213323273,5
TRBV9,1.934927282692266,7
ADAMTS10,1.923654838898117,3
BCL9L,1.9188248032368969,4
PLXDC1,1.9184746877265475,4
SAMD3,1.91786879817038,7
CD7,1.9135324367125,7
FLT3LG,1.9127120159768816,6
TRAV14DV4,1.9027703446512145,3
TRAV8-6,1.902766642051255,4
TRAV6,1.8965322116764305,3
TRBV6-2,1.8945136684727493,6
TRAV8-3,1.8917724716061186,3
AL359220.1,1.8906219468388086,5
TRAV13-2,1.8894377725301283,6
TRAV3,1.887752906100557,3
TRAV12-3,1.885492983785911,4
RORA,1.8804700475336902,7
AKR1C3,1.878045739795981,3
LINC01684,1.8765764670898513,5
TRDV1,1.872486566062334,4
TRAV12-2,1.8724200380646665,4
TRBV6-1,1.8706900873959669,3
TRBV15,1.868510659592295,3
TRAV25,1.8679313946151077,3
CMTM7,1.8661786247995809,6
FCRL6,1.8658970221217297,5
ZFYVE28,1.865402596600965,6
TRBV13,1.8641361568236403,2
TRBV5-6,1.8637997375743973,1
TRBV28,1.8598303477912614,5
TRAV23DV6,1.858736606449417,4
TRAV27,1.8581258829340956,4
LAIR1,1.8568701926084858,4
TRGC2,1.8567960710832232,4
SATB1,1.8504691036214527,4
PRNP,1.8431275032353234,3
TRAV21,1.8343034086663494,3
TRAV8-4,1.8340871825747451,5
CEMIP2,1.8261664203444459,5
TRAV16,1.8242274350709524,3
TOGARAM2,1.8209849819838082,3
NUCB2,1.8169384621301539,6
ZNF467,1.810257783276486,5
TNFSF8,1.7969030062671607,6
TRBV19,1.7928069395040525,5
TRAV4,1.7876129684283273,4
MYOM2,1.78757165377162,4
ANK3,1.7816163166543466,5
PLAAT4,1.7808694784530914,7
AC017002.3,1.7808323702766686,4
MMP23B,1.779236087592005,6
S100B,1.7672376868088602,2
TRGV10,1.764714525591343,5
REEP6,1.7642920632631944,3
ARHGAP10,1.7622604404851778,4
SH2D2A,1.7619621539099088,3
ZNF683,1.7589082083139411,5
A2M-AS1,1.7587055712548498,5
TRGV5,1.758374203532264,5
H2AFJ,1.7508926643654863,4
JAKMIP1,1.7495242894429728,4
B3GAT1,1.7491966657694775,5
AL022311.1,1.7449181861744467,5
GBP5,1.7442339112548741,6
RSAD2,1.737685704947588,2
MYBL1,1.734458366576982,5
CARD19,1.727685592812469,7
TRAV13-1,1.7261841066036077,5
HIST1H2AB,1.720426389114847,6
PLCB1,1.7203074624758876,3
AL034397.3,1.7165188017808608,4
TRAV8-2,1.7146648289713928,5
HPGD,1.7091443047317112,3
PLCH2,1.705734734043112,3
AF165147.1,1.700029516246396,5
LINC02362,1.699948993383064,5
BAIAP2,1.697803616087243,4
GADD45G,1.6959528122529632,4
ZDHHC14,1.6938716352627892,5
TRG-AS1,1.6904030490378097,5
MAF,1.688188199764979,4
WDR86,1.6861914130961169,5
SLC22A15,1.686180478907074,6
TRGV9,1.6858222589774423,6
KLRG1,1.68514416420018,8
CLIC3,1.6752637582718417,5
SLCO3A1,1.6741278804090114,4
ITK,1.672855415381229,6
AOAH,1.6719948099611182,5
BTBD11,1.671000855613706,3
DPYD,1.6687744037329293,5
NTNG2,1.660664412801966,4
PRDM1,1.658323918312887,5
LCNL1,1.655012434442674,1
NELL2,1.654655324968289,6
CD247,1.6526492651003326,3
OSM,1.6486180373828339,3
TRERF1,1.6400943562781714,4
ASPH,1.6350162502747656,3
AC108134.3,1.6317075063129727,3
TRAV29DV5,1.6309274119538253,4
MSLN,1.6239821349870596,5
RNF11,1.6161180044558787,6
AGTRAP,1.6148711317418003,6
RBMS1,1.6138283751002367,4
IL2RB,1.612843416208669,4
ST8SIA6,1.612495065280466,2
LGR6,1.6103368517506047,5
NACC2,1.6009320813044061,4
ASCL2,1.599638876754517,5
TMEM231,1.5989655691083475,5
FAR2,1.595099996563468,4
TRGV4,1.585093884167782,2
TRAV17,1.584587716810132,6
AREG,1.5824063596228342,4
SCD5,1.5809691408028554,2
INPP4B,1.5783621521095108,5
SLC15A2,1.575974213910928,4
RALGPS2,1.5699927995637162,5
SAP30L-AS1,1.5677167982497124,5
TRBV7-3,1.5621877523348533,3
CD3D,1.558344151301459,9
ADGRG1,1.551337807589339,6
GABARAPL1,1.549737048829626,4
CACNB1,1.5486633716153786,4
CDC14A,1.5486596365035141,6
AC007569.1,1.5420801608212402,8
GAS7,1.5338063617560558,5
GZMM,1.5321369153258473,7
IGHM,1.5311614619583036,4
CHRM3-AS2,1.5286851118151994,4
TC2N,1.5281739151902318,6
PLEKHF1,1.5270441284941405,3
PRR5L,1.5262114081554516,7
ZBTB16,1.5211355146665964,3
PROK2,1.516212770862136,2
GIMAP4,1.5158496137652675,6
PAX8-AS1,1.514116749773135,4
TIMP1,1.512186669799478,7
CD96,1.5070894538086563,8
TRBV5-1,1.5015182851117406,7
SCGB3A1,1.4983898101027762,3
RAP1GAP2,1.4970106685314144,5
PIK3R5,1.4957136545852052,5
TNIP3,1.4946522626458907,2
AL135818.1,1.492424363734645,4
TBC1D4,1.4880353559488524,5
PRKCH,1.4813757509157295,7
PCSK5,1.47887991154379,2
RETN,1.4768452195097572,2
TNIK,1.4753515927683825,7
POU5F2,1.4708239887005952,4
CD8B,1.4694509733590417,7
CD4,1.4685639987581856,5
MYO1F,1.4671072661278737,7
PPM1L,1.4624124816508943,2
TCF7,1.4616397860888037,9
IL18RAP,1.4573398718269046,4
PDZD2,1.4563491694535085,2
TRGV8,1.455436191877166,3
LINC00299,1.4546807082325397,3
LINC01355,1.4539205831077007,5
ITM2A,1.4507911912468083,4
C19orf38,1.4495201999676104,4
IGHA2,1.4494487395802995,6
ETS2,1.4403487818518963,3
THEMIS,1.4400766176705826,5
NCR3,1.4338273002051722,3
HPSE,1.432292852460049,4
RGS9,1.431473829834127,4
ANTXR2,1.4252558056692413,4
HRH2,1.424466185214908,2
IQGAP2,1.423755062352375,3
IGHE,1.4224651310237302,7
IRF4,1.4221828273534323,6
LAIR2,1.4220224856339474,2
SMARCD3,1.4210388537555942,4
S1PR5,1.4187697139878033,5
LAT,1.4162368284394373,6
PADI4,1.4156717601013793,2
ITGA6,1.4155145315960393,5
MIR4435-2HG,1.414979790462863,5
H1F0,1.4090663162456134,2
DST,1.4081748910345866,3
SCML1,1.407874859417602,3
CD84,1.407818739523785,5
KIR3DL1,1.4077763565469237,4
ZCCHC18,1.4036536164448725,3
CD8A,1.4036246246029747,9
