method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,400,0.15,3,gene_0161,0.7857142857142857,0.5994478964158411,0.013937282229965157,0.042435795740589366,0.5248658657073975
Partial_Pearson,400,0.15,3,gene_0161,0.7746806039488967,0.5676308726446541,0.010452961672473868,0.06331993104418648,0.17084097862243652
PGAA_linear,400,0.15,3,gene_0205,0.6826364692218351,0.4084663866097982,0.003484320557491289,0.09916743906150094,0.3854179382324219
Partial_Pearson,400,0.15,3,gene_0205,0.7375145180023228,0.4561126654304993,0.003484320557491289,0.06770753329338974,0.09987306594848633
PGAA_linear,400,0.15,3,gene_0251,0.5914634146341463,0.22678675479541904,0.006968641114982578,0.04899374587095118,0.3234062194824219
Partial_Pearson,400,0.15,3,gene_0251,0.5714285714285714,0.2322014008063984,0.006968641114982578,0.04278706605135238,0.177886962890625
PGAA_linear,400,0.15,3,gene_0207,0.7674216027874564,0.45352656666170277,0.006968641114982578,0.10525489196039253,0.5192022323608398
Partial_Pearson,400,0.15,3,gene_0207,0.8466898954703832,0.5198612368892939,0.013937282229965157,0.07802140651348877,0.10920071601867676
PGAA_linear,400,0.15,5,gene_0111,0.7790360046457607,0.5381115482203556,0.003484320557491289,0.10600818639486759,0.4518918991088867
Partial_Pearson,400,0.15,5,gene_0111,0.7984901277584204,0.5470035028778996,0.013937282229965157,0.12926566646101742,0.1199638843536377
PGAA_linear,400,0.15,5,gene_0298,0.7984901277584204,0.6148949728321143,0.013937282229965157,0.10743027368282093,0.44329309463500977
Partial_Pearson,400,0.15,5,gene_0298,0.7502903600464577,0.5703309127173368,0.006968641114982578,0.16086954298067713,0.1533951759338379
PGAA_linear,400,0.15,5,gene_0240,0.7424506387921022,0.5543755171592438,0.0,0.04154465942384475,0.42415809631347656
Partial_Pearson,400,0.15,5,gene_0240,0.8153310104529617,0.6203526056746822,0.0,0.06235288304713671,0.13830089569091797
PGAA_linear,400,0.15,5,gene_0075,0.5824622531939605,0.20787032195809024,0.017421602787456445,0.134054657567364,0.4532642364501953
Partial_Pearson,400,0.15,5,gene_0075,0.5717189314750291,0.20782132997578737,0.017421602787456445,0.1283747332701669,0.14569592475891113
PGAA_linear,400,0.15,10,gene_0111,0.6736353077816493,0.10271313056194861,0.03484320557491289,0.1364213744270748,0.422443151473999
Partial_Pearson,400,0.15,10,gene_0111,0.640534262485482,0.1396500477552438,0.0313588850174216,0.1350268491542509,0.1284499168395996
PGAA_linear,400,0.15,10,gene_0183,0.6138211382113821,0.23081003553380652,0.0,0.10360970787129742,0.4672420024871826
Partial_Pearson,400,0.15,10,gene_0183,0.6530197444831591,0.21873059518303203,0.0,0.08476085688783874,0.13979506492614746
