gene,S2,p_value_perm,n_peaks_on,n_peaks_off
ZNF648,1.0152150677688423,0.001996007984031936,2,4
GRM5-AS1,0.9939722973047742,0.001996007984031936,2,6
SYP-AS1,0.990441491458086,0.001996007984031936,4,5
MFAP3,0.9833816079334856,0.001996007984031936,3,5
RP11-330A16.1,0.9674438944587797,0.001996007984031936,2,3
AC006373.1,0.9550705339875395,0.001996007984031936,2,8
APOA1,0.9515137185440088,0.001996007984031936,2,4
SDF2L1,0.9497451362640806,0.001996007984031936,6,5
CCIN,0.9338228739599208,0.001996007984031936,3,6
LINC01050,0.9108294728407731,0.001996007984031936,3,6
RPS6KA4,0.9072905605893685,0.001996007984031936,3,4
RP11-84C10.3,0.9055530511011268,0.001996007984031936,3,4
TMED4,0.903762018010018,0.001996007984031936,2,4
PPP1R36,0.9037602874989175,0.001996007984031936,4,4
RP4-622L5.7,0.9002804490101968,0.001996007984031936,1,4
CTD-2245F17.2,0.9002665512894991,0.001996007984031936,3,3
RP4-799P18.2,0.8949138727467215,0.001996007984031936,3,7
COL4A2-AS2,0.8931592906129231,0.001996007984031936,3,4
PRG2,0.893148784236812,0.001996007984031936,5,5
PGS1,0.8915556380138404,0.001996007984031936,4,4
ARNTL,0.8896924828714101,0.001996007984031936,3,4
PHF6,0.8896397450403569,0.001996007984031936,3,6
ALOX15,0.8896186490325514,0.001996007984031936,3,5
AC005009.2,0.8896133749524333,0.001996007984031936,3,4
PRSS58,0.8896116169187791,0.001996007984031936,4,5
CFC1B,0.8896081008410476,0.001996007984031936,2,4
CCZ1B,0.8860815100085118,0.001996007984031936,5,7
CWC25,0.8860762148747258,0.001996007984031936,3,3
RP11-112L6.3,0.8860709197092961,0.001996007984031936,3,4
RBM11,0.8843147092324374,0.001996007984031936,7,6
RP11-488C13.6,0.8843005605932511,0.001996007984031936,2,7
PACSIN3,0.8825869011313711,0.001996007984031936,3,5
VCX3B,0.8825372829524442,0.001996007984031936,3,4
CC2D2B,0.8807846806319574,0.001996007984031936,4,3
HCFC1R1,0.880763372528041,0.001996007984031936,2,4
WDR41,0.8790161294930241,0.001996007984031936,3,3
RP11-86A5.1,0.8754736685172525,0.001996007984031936,1,6
GDF15,0.8719706249339114,0.001996007984031936,4,5
RP11-806H10.4,0.8719544823618431,0.001996007984031936,3,4
PSMC3IP,0.8719419268213974,0.001996007984031936,3,3
RP11-685A21.1,0.8701589980554117,0.001996007984031936,3,7
MRPS21,0.8701518086788884,0.001996007984031936,2,5
RP11-73M7.1,0.8683958217489107,0.001996007984031936,4,4
RP11-381K20.4,0.8683904187741398,0.001996007984031936,5,4
SERPINB3,0.868390418774139,0.001996007984031936,2,6
TRAJ25,0.8683850157657512,0.001996007984031936,3,7
PRAMEF14,0.8683850157657509,0.001996007984031936,2,4
CLDN6,0.8683832147554839,0.001996007984031936,2,4
CTD-2091N23.1,0.8666777826131908,0.001996007984031936,2,1
CACNA1F,0.8666272535685239,0.001996007984031936,4,3
MCF2L-AS1,0.8666164255327949,0.001996007984031936,4,6
ABCA9,0.86661462084702,0.001996007984031936,4,6
KB-1043D8.8,0.8648604938582416,0.001996007984031936,3,7
PRAMEF2,0.8631662206186655,0.001996007984031936,3,6
RP11-95H11.1,0.8631118619823784,0.001996007984031936,3,4
MS4A14,0.8613723900349686,0.001996007984031936,2,1
IGBP1-AS2,0.8613433388120723,0.001996007984031936,2,6
DES,0.8613378915986953,0.001996007984031936,3,4
RP11-846C15.2,0.8613251813001799,0.001996007984031936,2,4
CHRNB4,0.8613251813001795,0.001996007984031936,1,7
CTD-2553L13.10,0.8613215497518674,0.001996007984031936,4,3
GPKOW,0.8613161024006912,0.001996007984031936,4,5
FASTKD2,0.8596348562887984,0.001996007984031936,3,7
RP11-197K3.1,0.859611204533933,0.001996007984031936,5,5
TIGD2,0.8595620795789561,0.001996007984031936,4,7
EID1,0.8595475234975585,0.001996007984031936,2,5
RP11-397O4.1,0.8595475234975579,0.001996007984031936,2,5
MAX,0.8577734748227183,0.001996007984031936,4,4
CDH12,0.8561254619648313,0.001996007984031936,4,4
FBLN1,0.8560377711460042,0.001996007984031936,3,4
RP11-685G9.2,0.856037771146004,0.001996007984031936,3,6
RP11-99H20.1,0.8560085388767988,0.001996007984031936,2,2
AC007349.5,0.8542472797148392,0.001996007984031936,4,6
RP11-1C1.4,0.8542417872522748,0.001996007984031936,3,5
RP11-173E2.2,0.8542417872522746,0.001996007984031936,3,7
AC144568.2,0.854236294754395,0.001996007984031936,2,5
TP53,0.8524970584522419,0.001996007984031936,2,4
LINC01076,0.8524805471287884,0.001996007984031936,4,7
ZNF385A,0.8524732086601561,0.001996007984031936,2,4
ACTB,0.8524732086601559,0.001996007984031936,3,5
VAMP8,0.852467704767225,0.001996007984031936,2,4
RP11-146N18.1,0.8507046301470046,0.001996007984031936,3,4
SRI,0.850704630147004,0.001996007984031936,2,6
TFAP2C,0.8489415785028038,0.001996007984031936,3,5
RNASE7,0.8489305248878418,0.001996007984031936,3,4
CTD-2130O13.1,0.8472505444684538,0.001996007984031936,5,5
CTD-2026K11.2,0.8472320849259365,0.001996007984031936,4,4
SYS1-DBNDD2,0.8471767038850436,0.001996007984031936,1,4
RP11-20I20.2,0.8471674733595806,0.001996007984031936,3,6
ANO7,0.8471582427335435,0.001996007984031936,4,5
RSBN1,0.8453933451363977,0.001996007984031936,2,4
TMEM89,0.8436451476076808,0.001996007984031936,2,5
RP11-830F9.5,0.8436451476076805,0.001996007984031936,5,4
ART5,0.8436247553091543,0.001996007984031936,4,4
GLYCTK,0.8419286151295318,0.001996007984031936,4,3
TM6SF2,0.8418896045730911,0.001996007984031936,4,4
ESR2,0.841867312014943,0.001996007984031936,3,4
RP11-430H10.4,0.8418673120149428,0.001996007984031936,3,5
RP11-229P13.22,0.8418617387831702,0.001996007984031936,2,3
ZNF853,0.8418543077500804,0.001996007984031936,2,5
SLC7A6,0.8401974073046122,0.001996007984031936,3,2
ZFX-AS1,0.8401378394312093,0.001996007984031936,4,5
HCFC2,0.8401210852058253,0.001996007984031936,3,4
CD81,0.8400987457188849,0.001996007984031936,4,3
QRICH1,0.840093160754331,0.001996007984031936,2,4
LRRC40,0.8400875757526471,0.001996007984031936,1,5
CECR6,0.8400857140771686,0.001996007984031936,2,6
RP11-16B13.1,0.8384141262741741,0.001996007984031936,4,3
UGDH-AS1,0.8383693557365682,0.001996007984031936,5,6
RP11-544M22.13,0.838324582808001,0.001996007984031936,4,4
IGHV1-58,0.8383227172174178,0.001996007984031936,3,3
ALK,0.836561613523647,0.001996007984031936,3,5
