gene,S2,p_value_perm
SLC45A1,0.0080660460086426,0.0079840319361277
DLX2,0.0080660460086426,0.0039920159680638
ATP5E,0.0080037590069306,0.0019960079840319
LINC01410,0.0078139195237394,0.0079840319361277
TAAR9,0.0077818293695774,0.0119760479041916
PROP1,0.0077818293695774,0.0119760479041916
ETNK2,0.0077818293695774,0.0039920159680638
FHL2,0.0077818293695774,0.0059880239520958
DICER1,0.0064061329109811,0.2674650698602794
RP11-330A16.1,0.0063669513023815,0.0059880239520958
RPAIN,0.0063669513023815,0.0179640718562874
CTC-526N19.1,0.0063669513023815,0.0259481037924151
NDST3,0.0063669513023815,0.0159680638722554
PCDHAC1,0.0060443617526446,0.0319361277445109
FITM1,0.0060443617526446,0.0379241516966067
AC004941.3,0.0058336917184184,0.0079840319361277
RP11-119D18.1,0.0057035558300738,0.0119760479041916
CTD-2192J16.22,0.0057035558300738,0.0119760479041916
PLPP1,0.0057035558300738,0.0119760479041916
UBA3,0.0057035558300738,0.0159680638722554
SPTBN2,0.0056595122687835,0.0319361277445109
AC008074.4,0.0056595122687835,0.0139720558882235
LST1,0.0056595122687835,0.0279441117764471
AL132709.8,0.0056595122687835,0.0079840319361277
RP5-907D15.3,0.0051985939693278,0.0219560878243512
RP11-697E22.1,0.0051985939693278,0.0039920159680638
THBD,0.0051985939693278,0.0159680638722554
INHA,0.0050023493793316,0.0139720558882235
MS4A14,0.0049520732351856,0.0399201596806387
DMRTC1,0.0047456453071853,0.0359281437125748
CHST9,0.0047456453071853,0.0179640718562874
ARL6IP5,0.0047456453071853,0.0239520958083832
PDE7B,0.0047456453071853,0.0219560878243512
CTC-281M20.4,0.0047456453071853,0.0319361277445109
RP11-272D20.2,0.0047456453071853,0.0079840319361277
RP11-334A14.8,0.0047456453071853,0.0259481037924151
ZMYM6,0.0047456453071853,0.0558882235528942
LINC01618,0.0047456453071853,0.0818363273453093
RP11-197K3.1,0.0047456453071853,0.0758483033932135
AC092171.2,0.0047456453071853,0.059880239520958
PDCL3,0.0047456453071853,0.0319361277445109
