gene,S3
CD74,0.17279689041346558
IGHV1-46,0.1042755034685916
IGLV3-25,0.10061764389053973
IGLV4-69,0.09855113596635512
MS4A1,0.06783296512879211
TYROBP,0.065189372623502
IGLC7,0.056951278628702084
IGLC6,0.05388792229051553
RPLP0,0.05365347280059396
IGKV3-11,0.048719625875868644
TRPM4,0.04668865377016829
HLA-DQB1,0.042512966358183135
CD79A,0.040690390402639665
RPL32,0.035509859992677306
PAGE2B,0.0342383429302302
IGHV1-24,0.03383270947715289
SAT1,0.03069659010125214
RPL12,0.028489593572642136
RPS6,0.026508710207455266
HLA-DRA,0.0259705729627413
IGLC1,0.02356909665849649
IGKC,0.02246295745353244
IGHM,0.013749868336900839
RPS18,0.0134622252944272
IFITM2,0.01010548741144035
ITGB2,0.009363744929977713
IL32,0.008333573518576998
NEAT1,0.006168565942957116
ZFP36L2,0.00253767380279335
FCGR2B,0.0021073322996993937
CMTM5,0.0
TRAV29DV5,0.0
TRAV30,0.0
GZMB,0.0
GZMH,0.0
TRAV26-2,0.0
LTB4R,0.0
TRAV34,0.0
AL136295.17,0.0
TRAV38-2DV8,0.0
TRAV38-1,0.0
TRDV3,0.0
TRDC,0.0
TRDV2,0.0
TRAV41,0.0
TRAV35,0.0
COCH,0.0
TRAV36DV7,0.0
TRAV40,0.0
TRAV39,0.0
CEBPE,0.0
LAT,0.0
NFKBIA,0.0
RTN1,0.0
NPC2,0.0
PNMA1,0.0
AC005280.2,0.0
ACTN1,0.0
ARG2,0.0
MAX,0.0
PLEKHG3,0.0
SYNE2,0.0
AL136038.2,0.0
AL355916.2,0.0
AL359220.1,0.0
PRKCH,0.0
LGALS3,0.0
AL132639.3,0.0
SAMD4A,0.0
DDHD1,0.0
AL139317.5,0.0
AL139317.3,0.0
PTGER2,0.0
PTGDR,0.0
FRMD6-AS1,0.0
PYGL,0.0
CDKL1,0.0
TRAV26-1,0.0
AL359397.2,0.0
AL627171.1,0.0
TRAV27,0.0
TRAV22,0.0
TRAV25,0.0
RNASE2,0.0
RNASE6,0.0
AL355075.4,0.0
RASA3,0.0
MCF2L,0.0
TNFSF13B,0.0
MBNL2,0.0
KCTD12,0.0
TBC1D4,0.0
AL359513.1,0.0
AL137060.3,0.0
DLEU2,0.0
SETDB2,0.0
AL157813.1,0.0
LPAR6,0.0
RB1,0.0
TPT1,0.0
TSC22D1,0.0
SERP2,0.0
ENOX1,0.0
DGKH,0.0
RGCC,0.0
AL138820.1,0.0
FRY-AS1,0.0
FRY,0.0
LINC00426,0.0
SPATA13,0.0
MMP17,0.0
RNASE1,0.0
ARHGEF40,0.0
TRAV24,0.0
TRAV1-1,0.0
TRDV1,0.0
TRAV23DV6,0.0
FOS,0.0
TRAV21,0.0
TRAV20,0.0
TRAV19,0.0
TRAV17,0.0
TRAV16,0.0
TRAV8-6,0.0
TRAV12-3,0.0
TRAV9-2,0.0
TRAV14DV4,0.0
TRAV13-2,0.0
TRAV8-4,0.0
TRAV12-2,0.0
TRAV13-1,0.0
TRAV8-3,0.0
TRAV8-2,0.0
TRAV12-1,0.0
TRAV10,0.0
TRAV8-1,0.0
TRAV6,0.0
TRAV5,0.0
TRAV4,0.0
TRAV3,0.0
TRAV2,0.0
TRAV1-2,0.0
MLH3,0.0
AC007262.2,0.0
LINC01220,0.0
GABPB1-AS1,0.0
AC023024.1,0.0
ADAMTS17,0.0
AC036108.2,0.0
SYNM,0.0
ARRDC4,0.0
SLCO3A1,0.0
FURIN,0.0
TTLL13P,0.0
ANPEP,0.0
TM6SF1,0.0
AC103858.3,0.0
FAH,0.0
AC009093.2,0.0
BCL2A1,0.0
TMEM266,0.0
NPTN-IT1,0.0
HEXA-AS1,0.0
AC011939.3,0.0
TPM1,0.0
RORA,0.0
LIPC,0.0
AQP9,0.0
LINC00926,0.0
AC010999.2,0.0
RAB27A,0.0
AC011912.1,0.0
FAM214A,0.0
PCSK6,0.0
HBA1,0.0
PDIA2,0.0
AC099489.1,0.0
SULT1A1,0.0
APOBR,0.0
IL4R,0.0
PLK1,0.0
AC092119.2,0.0
IGSF6,0.0
AC005632.3,0.0
CRYM,0.0
ACSM3,0.0
BMERB1,0.0
AC007216.3,0.0
SNN,0.0
SOCS1,0.0
RHBDL1,0.0
CIITA,0.0
ADCY9,0.0
NLRC3,0.0
MEFV,0.0
AC108134.3,0.0
MMP25,0.0
PRSS27,0.0
AC005363.2,0.0
MAPK8IP3,0.0
AC009041.2,0.0
MSLN,0.0
CCDC78,0.0
DMXL2,0.0
ATP8B4,0.0
AF111167.2,0.0
AC051619.8,0.0
IGHG2,0.0
IGHG4,0.0
IGHE,0.0
IGHA2,0.0
CRIP1,0.0
CRIP2,0.0
JAG2,0.0
GPR132,0.0
PLD4,0.0
AL049840.4,0.0
CKB,0.0
TNFAIP2,0.0
ANKRD9,0.0
PPP2R5C,0.0
WARS,0.0
BCL11B,0.0
SERPINA1,0.0
IFI27,0.0
SLC24A4,0.0
GLT1D1,0.0
AL135818.1,0.0
TTC7B,0.0
AL162171.3,0.0
LINC01146,0.0
SPNS1,0.0
AC007686.3,0.0
BATF,0.0
IGHA1,0.0
IGHG3,0.0
AC026471.4,0.0
AC020658.5,0.0
PATL2,0.0
AC009996.1,0.0
AC090519.2,0.0
SPN,0.0
FRMD5,0.0
MAP1A,0.0
AC020659.1,0.0
PLA2G4B,0.0
LTK,0.0
NUSAP1,0.0
CCDC9B,0.0
INAFM2,0.0
THBS1,0.0
ITGAX,0.0
RASGRP1,0.0
SLC12A6,0.0
AC010809.2,0.0
GOLGA8O,0.0
OTUD7A,0.0
