target,panel_gene,present_in_h5ad,in_ranking_universe,hvg_flag
KLF1,HBB,True,True,False
KLF1,HBA1,True,True,False
KLF1,HBA2,True,True,False
KLF1,AHSP,True,True,False
KLF1,ALAS2,True,True,False
KLF1,GYPA,True,True,False
KLF1,GYPB,True,True,False
KLF1,HEMGN,True,True,False
KLF1,TFR2,True,True,False
KLF1,SLC25A37,True,True,False
KLF1,FECH,True,True,False
KLF1,HMBS,True,True,False
KLF1,UROS,True,True,False
KLF1,BLVRB,True,True,False
KLF1,TFRC,True,True,False
KLF1,SLC25A39,True,True,False
CEBPE,ELANE,True,True,False
CEBPE,CTSG,True,True,False
CEBPE,LYZ,True,True,False
CEBPE,MPO,True,True,False
CEBPE,GFI1,True,True,False
CEBPE,AZU1,True,True,False
CEBPE,PRTN3,True,True,False
CEBPE,DEFA1,True,True,False
CEBPE,RNASE2,True,True,False
CEBPA,CEBPB,True,True,False
CEBPA,CSF3R,True,True,False
CEBPA,GFI1,True,True,False
CEBPA,GFI1B,True,True,False
CEBPA,GATA1,True,True,False
CEBPA,GATA2,True,True,False
CEBPA,SPI1,True,True,False
CEBPA,MPO,True,True,False
CEBPA,ELANE,True,True,False
