gene,S3
RP11-84C10.3,0.13589512287488503
RP3-406A7.7,0.13323303032007416
TOM1L2,0.13071154573397425
RP11-386I8.6,0.130454989226771
TMEM205,0.12996371258977835
RP11-856M7.4,0.12938493769599368
AQP1,0.1292472337756312
CWC25,0.12917339697565833
LINC01036,0.12866326909653214
POT1,0.12766970876899464
IGHD2-21,0.12740067840201696
C14orf142,0.12722036040507945
ACSS3,0.1265209102754472
SLC26A1,0.12631434214470438
TMEM17,0.1258021575807211
CTD-2532N20.1,0.12525121338951895
SDF2L1,0.12489564379913976
ATP6AP1L,0.12450545084159348
RP11-73M7.1,0.12431935429955843
DEFB113,0.12423441792001899
OR51B4,0.12379487222339947
RP11-710F7.2,0.12363594490913421
CTD-2531D15.4,0.12353733676498102
CTA-398F10.1,0.12339679339730125
AL365181.2,0.12339542097243683
JHDM1D-AS1,0.12239269239139094
CDON,0.12234594695611811
TSN,0.12233822342753076
RASD1,0.12220792694885318
TMPO,0.12183506610129502
RP11-20I23.13,0.12183111892666076
STK32B,0.12172468766197841
RP1-251M9.3,0.12172108505109325
MROH1,0.12139576819716602
ROBO3,0.12105991066315447
CCDC69,0.1209404703841539
RN7SL832P,0.1203849365552827
KLRF2,0.11990357685527986
RP11-6I2.4,0.11971806741247892
ITGB6,0.11953115361829703
TGFB2,0.11915227367780457
ZNF235,0.11907701645426894
CNTNAP4,0.11892732612209933
RAB33A,0.11879467891677642
MAL2,0.11781142872866912
RP11-687D19.1,0.11766831998491334
RP11-173A6.3,0.11754223840938938
MORC4,0.11674140247190845
SPTBN5,0.11669325736449743
PTCHD1-AS,0.11666841563836439
CTC-281M20.4,0.11666204405189973
RP11-804A23.4,0.11663723142101379
LAIR1,0.11656343723981433
LINC01050,0.11655780448917596
RP5-936J12.1,0.11650651844696824
LCN2,0.11637744105368064
C2CD4D,0.11582516395697606
RP11-53O19.3,0.11564982213200636
STX8,0.11557901440277707
ARL10,0.11553991225999027
FAM131B,0.1153576639372389
NDUFA13,0.11515801751503929
PRUNE2,0.11501317535674627
LINC01076,0.11461753066801705
AC159540.1,0.1145684226490058
HOXA5,0.11451709693729306
ZNF7,0.11426490391850841
PRSS58,0.11423935092251014
TP53,0.11404217635060832
RP11-56N19.5,0.11372234021182948
ZC3H11A,0.11370314913147705
AC010412.1,0.11348237994995447
LMAN1L,0.11333726747863615
TIMM13,0.11322671463601885
CT47A7,0.11308675839760607
SPI1,0.11301206518864104
LYL1,0.1130054261144533
ESR2,0.1130008419207007
RP11-327J17.2,0.11282575569040088
AC073842.19,0.11277466145365267
CEACAM18,0.11242316017522302
CCDC50,0.11231636839544823
PGAM1,0.11222165946610296
RP11-360D2.1,0.11216164986678745
TRPC1,0.11215713110684788
RP4-799D16.1,0.11201158535435063
AC004535.2,0.11191384988700381
C6orf1,0.11179698875007915
BEND3,0.11158923087788608
CDH12,0.11145760667172322
ELOVL2,0.11133101330521455
AP000769.1,0.11116311026273884
RP11-360I2.1,0.1111515615758254
PRKCA,0.11114826213883511
RP11-553L6.5,0.11112136686591256
DES,0.11110567999338539
EFHD2,0.11109934368820262
PRLR,0.11102526844189686
GPLD1,0.11100298384208784
AZU1,0.11097113757967225
PGK2,0.11078958425995644
AP001057.1,0.11062989458891703
POLR1D,0.11061007277879575
OR5R1,0.11045427189203672
RPS7,0.11032963225961723
ACAA1,0.1102346904713869
STAU2,0.1101530445704686
RP11-16C1.1,0.11013422189305277
EIF3J-AS1,0.11009672824078898
NUBP1,0.11006844944682559
RP11-182J1.5,0.11006030597259553
AC006273.4,0.10978044485350491
RP11-571L19.7,0.10975295204874325
HDAC1,0.10969774620101003
AC124944.3,0.10968298135303733
SS18,0.1096342173499103
ANKRD6,0.109620942354125
IGFN1,0.10957778855783395
CSTL1,0.10957190327859223
XXbac-BPG116M5.17,0.109543398797328
RP4-715N11.2,0.10944444394593145
PACSIN3,0.10937906377507645
RP11-656D10.3,0.10932883687129191
RP11-1084I9.2,0.10926347677988524
MTUS2,0.10918482219845416
COL8A1,0.10916349935631064
WWC3,0.10912599002455092
RP11-426J5.2,0.10908151438446367
ATXN2L,0.1089894130942426
CTC-339F2.2,0.1089246341509007
PRAMEF2,0.10888970103640627
AL035610.2,0.10880074012236829
AC006150.1,0.10877228730150623
HEATR1,0.10875709379818232
RP11-498P14.5,0.1087412153172913
AC116609.1,0.10864525385819057
RPL3,0.10862503649752586
TRDV1,0.10862328734847626
RP11-153F1.2,0.10860818839114827
ODF3B,0.10851080416113845
