gene,S2,p_value_perm,target
AP006222.2,0.5659760972354279,0.3034825870646766,CEBPE
RP4-669L17.2,0.642020411372958,0.06965174129353234,CEBPE
RP4-669L17.10,0.7375073131434171,0.004975124378109453,CEBPE
OR4F29,0.68268783107857,0.7512437810945274,CEBPE
SAMD11,0.6084104219385849,0.03980099502487562,CEBPE
MRPL20,0.6243249674526885,0.029850746268656716,CEBPE
VWA1,0.6932925087865848,0.03482587064676617,CEBPE
ATAD3B,0.695063350743721,0.0945273631840796,CEBPE
TMEM240,0.6932947646398393,0.3333333333333333,CEBPE
CDK11B,0.7375263984270315,0.004975124378109453,CEBPE
RP11-181G12.2,0.8153407500066019,0.004975124378109453,CEBPE
ARHGEF16,0.7534329498041281,0.004975124378109453,CEBPE
PLEKHG5,0.7233585739504074,0.014925373134328358,CEBPE
RP11-334N17.1,0.6243274725031838,0.2736318407960199,CEBPE
SLC45A1,0.7675917267315444,0.2835820895522388,CEBPE
SPSB1,0.7074500872464923,0.04975124378109453,CEBPE
PEX14,0.6402445393613508,0.05970149253731343,CEBPE
RP4-635E18.9,0.6951038515362598,0.12935323383084577,CEBPE
RP11-56N19.5,0.5960305058219858,0.21393034825870647,CEBPE
PRAMEF1,0.6791529864636113,0.34328358208955223,CEBPE
PRAMEF2,0.8631662206186655,0.004975124378109453,CEBPE
PRAMEF14,0.8683850157657509,0.004975124378109453,CEBPE
EFHD2,0.691532963418233,0.004975124378109453,CEBPE
CLCNKA,0.8117901441982796,0.004975124378109453,CEBPE
RP11-276H7.2,0.7941987833616969,0.004975124378109453,CEBPE
RP5-875O13.1,0.5411937505600485,0.572139303482587,CEBPE
MRTO4,0.710980628248804,0.0945273631840796,CEBPE
PLA2G2A,0.7074500872464925,0.14427860696517414,CEBPE
PLA2G5,0.7870279120635059,0.004975124378109453,CEBPE
RP4-749H3.2,0.6897575926086918,0.1791044776119403,CEBPE
CELA3A,0.7481585876791206,0.004975124378109453,CEBPE
C1QA,0.7711166594120407,0.004975124378109453,CEBPE
TCEB3-AS1,0.709225272833686,0.004975124378109453,CEBPE
HMGCL,0.6455405408899979,0.009950248756218905,CEBPE
GRHL3,0.7605051871085805,0.004975124378109453,CEBPE
SRRM1,0.755201523081613,0.004975124378109453,CEBPE
RP4-799D16.1,0.6649926915820713,0.5572139303482587,CEBPE
TMEM57,0.7658231762023645,0.004975124378109453,CEBPE
RP1-187B23.1,0.7782231313193287,0.004975124378109453,CEBPE
RP1-317E23.3,0.6915329634182333,0.6417910447761194,CEBPE
AUNIP,0.6950881015084662,0.2885572139303483,CEBPE
ZNF593,0.6191354699090387,0.05970149253731343,CEBPE
CATSPER4,0.5960856067345601,0.26865671641791045,CEBPE
ARID1A,0.8242765297332149,0.208955223880597,CEBPE
TRNP1,0.6809146635824878,0.07462686567164178,CEBPE
IFI6,0.6773913454112483,0.7014925373134329,CEBPE
RPA2,0.6791621976907274,0.004975124378109453,CEBPE
RP11-460I13.2,0.7322207593365313,0.004975124378109453,CEBPE
EPB41,0.657949203435134,0.004975124378109453,CEBPE
SNRNP40,0.7304672009911155,0.004975124378109453,CEBPE
RP11-73M7.1,0.8683958217489107,0.6268656716417911,CEBPE
RP11-73M7.6,0.3572610896569349,0.5373134328358209,CEBPE
RP4-622L5.7,0.9002804490101968,0.004975124378109453,CEBPE
HDAC1,0.7517143111642074,0.004975124378109453,CEBPE
GJB5,0.6049353534794137,0.17412935323383086,CEBPE
ZMYM6NB,0.7994158899721154,0.004975124378109453,CEBPE
ZMYM6,0.7711126030275717,0.004975124378109453,CEBPE
NCDN,0.7852613106115119,0.004975124378109453,CEBPE
AGO3,0.6685883695618717,0.0845771144278607,CEBPE
RP1-144F13.3,0.6120088771030212,0.3681592039800995,CEBPE
RP11-656D10.3,0.5801053995910632,0.05970149253731343,CEBPE
EXO5,0.7269151224891647,0.004975124378109453,CEBPE
EDN2,0.624347512545319,0.3333333333333333,CEBPE
P3H1,0.6985982844055054,0.03980099502487562,CEBPE
SZT2-AS1,0.6349363854890414,0.004975124378109453,CEBPE
CCDC24,0.7888619324936906,0.004975124378109453,CEBPE
SLC6A9,0.695117351276047,0.27860696517412936,CEBPE
TMEM53,0.7870597063537595,0.004975124378109453,CEBPE
PTCH2,0.6827084488560897,0.1791044776119403,CEBPE
TESK2,0.7056881660928117,0.09950248756218906,CEBPE
CYP4B1,0.70214215060094,0.004975124378109453,CEBPE
LINC01562,0.7658129651041482,0.22885572139303484,CEBPE
BTF3L4,0.732237846538049,0.004975124378109453,CEBPE
RP11-334A14.8,0.6986184326304614,0.004975124378109453,CEBPE
RP5-1024G6.5,0.822405483393764,0.004975124378109453,CEBPE
TM2D1,0.7145571997608501,0.004975124378109453,CEBPE
FOXD3,0.760507243592374,0.004975124378109453,CEBPE
PGM1,0.7640362032709869,0.004975124378109453,CEBPE
AK4,0.7817241334674918,0.004975124378109453,CEBPE
LEPR,0.7675815391602665,0.004975124378109453,CEBPE
IL12RB2,0.8082529658929859,0.004975124378109453,CEBPE
LRRC40,0.8400875757526471,0.004975124378109453,CEBPE
HHLA3,0.6207878293795149,0.07960199004975124,CEBPE
RP5-952N6.1,0.6526340764009322,0.12935323383084577,CEBPE
RP11-262K1.1,0.7959494781653913,0.004975124378109453,CEBPE
LINC01360,0.6844518350103548,0.004975124378109453,CEBPE
RP11-386I14.4,0.7092362986431862,0.024875621890547265,CEBPE
PTGFR,0.6826809583476895,0.004975124378109453,CEBPE
LINC01140,0.6491572322954411,0.05970149253731343,CEBPE
GFI1,0.5323537484895118,0.8855721393034826,CEBPE
ABCA4,0.6420325913118222,0.208955223880597,CEBPE
RP11-57H12.3,0.7109872274220588,0.004975124378109453,CEBPE
RP11-147C23.1,0.7835046988253969,0.004975124378109453,CEBPE
RP11-413P11.1,0.7675876517192586,0.004975124378109453,CEBPE
RP5-936J12.1,0.6490777228551384,0.7910447761194029,CEBPE
RP11-153F1.2,0.714541878526492,0.004975124378109453,CEBPE
PRMT6,0.6915668865375307,0.12437810945273632,CEBPE
RP11-475E11.9,0.7056925985429239,0.16417910447761194,CEBPE
RSBN1,0.8453933451363977,0.004975124378109453,CEBPE
HIPK1-AS1,0.6880026460270552,0.3582089552238806,CEBPE
TSPAN2,0.5447510241859859,0.32338308457711445,CEBPE
HAO2,0.7376493806319963,0.004975124378109453,CEBPE
NBPF26,0.6880026460270554,0.0845771144278607,CEBPE
CH17-118O6.3,0.700369109403244,0.23880597014925373,CEBPE
RP11-763B22.6,0.6826809583476895,0.6169154228855721,CEBPE
RP5-998N21.7,0.6190419989105457,0.2537313432835821,CEBPE
GPR89B,0.5394367596251531,0.21393034825870647,CEBPE
FCGR1A,0.7128194282991145,0.07462686567164178,CEBPE
HIST2H2AA3,0.7446005872874759,0.004975124378109453,CEBPE
ANP32E,0.7746558364590485,0.004975124378109453,CEBPE
MRPS21,0.8701518086788884,0.004975124378109453,CEBPE
CTSS,0.827713116892348,0.004975124378109453,CEBPE
RP11-98D18.3,0.691551055955608,0.43781094527363185,CEBPE
C2CD4D,0.7395381862487941,0.01990049751243781,CEBPE
LCE1D,0.6243199573215422,0.4527363184079602,CEBPE
PGLYRP3,0.7287051304673196,0.009950248756218905,CEBPE
UBE2Q1,0.7162994889353996,0.582089552238806,CEBPE
LENEP,0.7587366086991811,0.263681592039801,CEBPE
ZBTB7B,0.6190723153752988,0.024875621890547265,CEBPE
TRIM46,0.583642562080319,0.009950248756218905,CEBPE
YY1AP1,0.7852613106115117,0.004975124378109453,CEBPE
SYT11,0.7021443780220183,0.12935323383084577,CEBPE
KIAA0907,0.677412124393111,0.2736318407960199,CEBPE
AL365181.2,0.6685486018064527,0.3482587064676617,CEBPE
RP11-284F21.11,0.7924659301863983,0.004975124378109453,CEBPE
HAPLN2,0.7887984879171793,0.004975124378109453,CEBPE
PRCC,0.771118687596274,0.004975124378109453,CEBPE
OR6N1,0.7800096835418271,0.004975124378109453,CEBPE
CADM3,0.6349708692071523,0.10945273631840796,CEBPE
RP11-190A12.8,0.7852593189551432,0.004975124378109453,CEBPE
LY9,0.6933353687433411,0.17412935323383086,CEBPE
ITLN2,0.7021421506009393,0.07462686567164178,CEBPE
F11R,0.7057081118990788,0.03980099502487562,CEBPE
RP11-544M22.13,0.838324582808001,0.004975124378109453,CEBPE
PPOX,0.6827015763327684,0.03980099502487562,CEBPE
FCGR2B,0.518214182313852,0.32338308457711445,CEBPE
ATF6,0.5977964483731267,0.34328358208955223,CEBPE
RP11-359K18.3,0.8136048692080023,0.004975124378109453,CEBPE
CCDC190,0.6101866716129193,0.373134328358209,CEBPE
RXRG,0.7217135124638037,0.004975124378109453,CEBPE
LRRC52,0.7605339773756691,0.024875621890547265,CEBPE
RP11-276E17.2,0.5358909048743802,0.29850746268656714,CEBPE
CREG1,0.6632288102415317,0.1691542288557214,CEBPE
RP11-360D2.1,0.6844838241864014,0.5124378109452736,CEBPE
CENPL,0.7728811913292222,0.004975124378109453,CEBPE
RASAL2,0.5765872250223261,0.004975124378109453,CEBPE
ABL2,0.702151060242858,0.7014925373134329,CEBPE
AXDND1,0.5307796784111879,0.11442786069651742,CEBPE
RP11-12M5.3,0.604873301932995,0.15422885572139303,CEBPE
STX6,0.6809399286230821,0.900497512437811,CEBPE
ZNF648,1.0152150677688423,0.004975124378109453,CEBPE
RP11-538D16.3,0.8224073850918072,0.1044776119402985,CEBPE
LINC01036,0.7958767731925818,0.004975124378109453,CEBPE
RP11-309H21.2,0.7021889249598066,0.004975124378109453,CEBPE
RP5-1011O1.2,0.8153714402773469,0.06467661691542288,CEBPE
RP11-101E13.5,0.6632288102415319,0.4577114427860697,CEBPE
RP11-563D10.1,0.6650044507705486,0.36318407960199006,CEBPE
ATP6V1G3,0.6915601020467943,0.1691542288557214,CEBPE
RP11-553K8.2,0.560659381883351,0.32338308457711445,CEBPE
IGFN1,0.6809307414440554,0.42786069651741293,CEBPE
ATP2B4,0.6596987525947946,0.004975124378109453,CEBPE
ZC3H11A,0.7499124880583549,0.004975124378109453,CEBPE
ETNK2,0.5324947460085515,0.3034825870646766,CEBPE
LRRN2,0.6826969946121177,0.0945273631840796,CEBPE
RP11-23I7.1,0.6119449870842539,0.07462686567164178,CEBPE
RP11-534L20.5,0.7887965051919379,0.004975124378109453,CEBPE
LAMB3,0.7729297551578774,0.1044776119402985,CEBPE
SYT14,0.6048939864890682,0.009950248756218905,CEBPE
TRAF5,0.7799615605406992,0.004975124378109453,CEBPE
BATF3,0.7286836678526921,0.004975124378109453,CEBPE
TGFB2,0.7393351384375026,0.004975124378109453,CEBPE
LYPLAL1-AS1,0.6084027101445587,0.19402985074626866,CEBPE
RP11-95P13.1,0.7039040602827131,0.3681592039800995,CEBPE
RP11-400N13.2,0.6667730171636111,0.03482587064676617,CEBPE
RP11-400N13.3,0.7941101625779409,0.7213930348258707,CEBPE
TAF1A,0.6986005231258632,0.48258706467661694,CEBPE
MIA3,0.7109784285107736,0.22388059701492538,CEBPE
RP4-559A3.7,0.7021354682953074,0.004975124378109453,CEBPE
ACBD3,0.7375073131434166,0.03482587064676617,CEBPE
ADCK3,0.5411966404022347,0.6567164179104478,CEBPE
MRPL55,0.781826160763134,0.004975124378109453,CEBPE
RP11-543E8.1,0.5624279356075608,0.07960199004975124,CEBPE
GNPAT,0.7481878530434812,0.014925373134328358,CEBPE
RP4-799P18.2,0.8949138727467215,0.004975124378109453,CEBPE
TARBP1,0.7834987104451633,0.004975124378109453,CEBPE
IRF2BP2,0.7198213894069376,0.004975124378109453,CEBPE
RBM34,0.7728973796111551,0.004975124378109453,CEBPE
RP5-940F7.2,0.6403031631032033,0.09950248756218906,CEBPE
LGALS8-AS1,0.5252794372867431,0.6766169154228856,CEBPE
HEATR1,0.6897575926086918,0.1691542288557214,CEBPE
RP11-544D21.2,0.7923415869743964,0.004975124378109453,CEBPE
GREM2,0.7535055989573297,0.004975124378109453,CEBPE
WDR64,0.753457858874349,0.004975124378109453,CEBPE
DESI2,0.8082819903573383,0.004975124378109453,CEBPE
RP11-173A6.3,0.8277509061450359,0.07462686567164178,CEBPE
RP11-439E19.9,0.6279368300120695,0.024875621890547265,CEBPE
OR14A16,0.6951308507536632,0.12935323383084577,CEBPE
OR2AK2,0.737524277864352,0.004975124378109453,CEBPE
OR2M2,0.7021376957375841,0.004975124378109453,CEBPE
OR2M4,0.5429853817363921,0.5771144278606966,CEBPE
OR2T10,0.622619199465615,0.19402985074626866,CEBPE
OR2T27,0.5323772506692477,0.21393034825870647,CEBPE
AC079779.7,0.7341128802096333,0.004975124378109453,CEBPE
FAM150B,0.7181137805234329,0.004975124378109453,CEBPE
AC092159.3,0.7870338735907637,0.004975124378109453,CEBPE
AC116609.1,0.7729176144867781,0.03482587064676617,CEBPE
RPS7,0.6844883939466531,0.5174129353233831,CEBPE
SOX11,0.6048862298634307,0.5174129353233831,CEBPE
LINC01247,0.781730135441729,0.004975124378109453,CEBPE
