gene,W_observed,S2,perturbation,target_gene
RP11-54O7.1,5.9367667514252175e-05,0.0024720076154476694,SPI1_pDS255,SPI1
SAMD11,0.0009644201374211007,0.06593059489600708,SPI1_pDS255,SPI1
FAM132A,0.0010882703152741092,0.13907505235148968,SPI1_pDS255,SPI1
SLC35E2,0.00017674768600378567,0.059138132987940975,SPI1_pDS255,SPI1
C1orf174,0.010886872090383106,0.030238630729202916,SPI1_pDS255,SPI1
LINC01134,0.0002476904653595661,0.018242253709475045,SPI1_pDS255,SPI1
PHF13,0.017793511527549346,0.038737835897597925,SPI1_pDS255,SPI1
ERRFI1,0.0006006500103427864,0.02771483307816811,SPI1_pDS255,SPI1
RP4-635E18.8,0.0039002225688262644,0.04006622255630175,SPI1_pDS255,SPI1
RP4-635E18.6,0.017162979650507126,0.03432331785457618,SPI1_pDS255,SPI1
FBXO2,0.00018916441185543378,0.043837895983175106,SPI1_pDS255,SPI1
MTHFR,0.01270019189612513,0.02802588442429307,SPI1_pDS255,SPI1
TMEM51,0.0026505425280198857,0.04083256894048817,SPI1_pDS255,SPI1
FBLIM1,0.0005737295083324905,0.015609604130608155,SPI1_pDS255,SPI1
RP11-169K16.9,0.03158766397232809,0.0720338304607298,SPI1_pDS255,SPI1
ZBTB17,0.015192649322151497,0.017666697707910378,SPI1_pDS255,SPI1
ARHGEF19,0.007051944506014535,0.02464666438458126,SPI1_pDS255,SPI1
C1orf134,9.976026344096177e-05,0.0024215733758523915,SPI1_pDS255,SPI1
RP4-798A10.7,0.00014565457850358745,0.0017957489723489945,SPI1_pDS255,SPI1
ACTL8,0.006684846465671552,0.014792333348345219,SPI1_pDS255,SPI1
RP1-43E13.2,0.0012985542567068634,0.02642266357703621,SPI1_pDS255,SPI1
TMCO4,2.89985450471612e-05,0.010773503258613025,SPI1_pDS255,SPI1
PINK1-AS,0.0002205027161178191,0.05028697707517623,SPI1_pDS255,SPI1
ECE1,0.005872446164339306,0.0038461459595058945,SPI1_pDS255,SPI1
LUZP1,0.02745273032741373,0.06636198757939703,SPI1_pDS255,SPI1
E2F2,0.007409871538162787,0.020692466559539404,SPI1_pDS255,SPI1
ID3,0.00998333622645628,0.042718917813155725,SPI1_pDS255,SPI1
SYF2,0.03146960095151999,0.04283732147216062,SPI1_pDS255,SPI1
C1orf63,0.014412671013134138,0.028646450605862794,SPI1_pDS255,SPI1
