dataset_id	display_name	accession_or_source	public_landing_page	data_type	analysis_role	evidence_level	cells_used	primary_manuscript_items	raw_data_status	included_source_files	rebuild_commands	limitations
norman2019	Norman 2019 K562 CRISPRa	GSE133344	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344	Perturb-seq CRISPRa	CEBPE PGAA-H ranking example; six-perturbation PGAA-H calibration; multi-perturbation PGAA-W extension (KLF1, CEBPE, CEBPA)	Experimental perturbation screen	111668 total; CEBPE 566; six selected perturbations 663-1197 each	Figure 3; Figure 4; Supplementary Figures 2-3; Supplementary Tables 3-5	Partial raw/processed workflow; full multi-perturbation rerun requires processed Norman h5ad input (verified from clean archive when NORMAN2019_H5AD supplied)	scripts/norman2019_prt_s1_full.csv;scripts/norman2019_prt_s2_nbins20.csv;scripts/norman2019_prt_s2_calibrated.csv;scripts/table_sceptre_vs_pgaa.csv;scripts/norman_multi_perturbation_adjustment_ablation.csv;figure_source_data/fig3_norman_s2_volcano.csv;figure_source_data/fig3_elane_ranks.csv;figure_source_data/cebpe_target_ranks.csv;figure_source_data/fig4_calibration.csv	scripts/benchmark_norman_multi_perturbation.py;source-data reproduction from included CSVs;full rerun requires processed Norman h5ad input set via NORMAN2019_H5AD;benchmark_norman_multi_perturbation.py also writes PGAA-W adjustment ablation output	Processed h5ad input is required for full rerun; 500 PGAA-H permutations support ranking evidence rather than genome-wide FDR discovery
adamson2016	Adamson 2016 K562 CRISPRi UPR	GSE90546	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90546	Perturb-seq CRISPRi	Independent UPR ranking benchmark	Experimental perturbation screen	5680 after QC; five selected UPR perturbations 468-686 each; 1759 non-targeting controls	Figure 2; Supplementary Figure 1; Supplementary Tables 1-2	Source-data reproduction from curated benchmark CSVs plus raw 10X001 sanity rerun	scripts/adamson2016_full_results.csv;scripts/adamson2016_results.csv;figure_source_data/fig6_adamson_results.csv;figure_source_data/adamson_gene_level_scores.csv;figure_source_data/adamson_bhlhe40_distribution.csv	python3 scripts/rebuild_adamson_full_results.py; python3 scripts/benchmark_adamson2016.py	Raw script loads GSE90546 GSM2406675_10X001 and reproduces the selected-target AUROC scale; final PDF table rebuilt from curated source-data CSV
cll2018	CLL 20k	GSE111014	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111014	Observational scRNA-seq	PGAA-W marker recovery and PGAA-W/PGAA-H complementarity	Observational marker-recovery analysis	36601 available; 20000 subsampled	Supplementary Figure 5; Supplementary Figure 7; Supplementary Table 6; Supplementary Methods (CLL rank-score analysis)	Source-data reproduction from included summary/figure CSVs; AUROC 0.958 computed against 13-gene BCR marker set	scripts/cll20k_tcl1a_s1.csv;scripts/cll20k_tcl1a_s2.csv;figure_source_data/fig5_cll_s1_top100.csv;figure_source_data/fig5_cll_s2_top100.csv;figure_source_data/fig5_overlap.txt;figure_source_data/fig2_multidataset.csv	Source-data reproduction only; no single raw-GEO command in submission package	Virtual TCL1A grouping is not an experimental intervention and should not be interpreted causally
sepsis2021	Sepsis 20k	GSE167363	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167363	Observational scRNA-seq	PGAA-W marker recovery	Observational marker-recovery analysis	64244 available; 20000 subsampled	Figure 5; Supplementary Table 6	Source-data reproduction from included summary CSVs	figure_source_data/fig2_multidataset.csv	Source-data reproduction only	Marker recovery only; not a perturbation screen
ra2021	RA 10k PBMC/monocyte dataset	GSE159117	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159117	Observational scRNA-seq	PGAA-W marker recovery	Observational marker-recovery analysis	10499	Figure 5; Supplementary Table 6	Source-data reproduction from included summary CSVs	figure_source_data/fig2_multidataset.csv	Source-data reproduction only	Marker recovery only; not a perturbation screen
pbmc3k	10x Genomics PBMC 3k demo	10x Genomics PBMC 3k demo	https://www.10xgenomics.com/resources/datasets/3-k-pbm-cs-from-a-healthy-donor-1-standard-1-1-0	Observational scRNA-seq	PGAA-W marker recovery and scale check	Observational marker-recovery analysis	2700	Figure 5; Supplementary Table 6	Source-data reproduction from included summary CSVs	figure_source_data/fig2_multidataset.csv	Source-data reproduction only	Demo dataset; not a perturbation screen
ibd2018	IBD 10k gut epithelial dataset	GSE116222	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116222	Observational scRNA-seq	PGAA-W marker recovery	Observational marker-recovery analysis	11175	Figure 5; Supplementary Table 6	Source-data reproduction from included summary CSVs	figure_source_data/fig2_multidataset.csv	Source-data reproduction only	Marker recovery only; not a perturbation screen
gse112274	CORTAD-seq PC-9 EGFR T790M	GSE112274	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112274	Same-cell targeted DNA and scRNA-seq	Matched EGFR T790M event-expression association pilot	Observational same-cell event-expression evidence	507 total; 156 event-high; 274 event-low; 77 transition excluded	Recharter event-expression extension	Public processed matrices downloaded from GEO	data/external/GSE112274/GSE112274_cell_gene_FPKM.csv.gz;data/external/GSE112274/GSE112274_cell_mutation_AF.csv.gz;data/external/GSE112274/GSE112274_cell_mutation_DP.csv.gz;evidence/gse112274_event_expression_summary.tsv;evidence/gse112274_t790m_pgaa.s1.csv;evidence/gse112274_t790m_pgaa.s2.csv	python3 scripts/import_gse112274_event_expression.py ...; python3 -m pgaa.cli ...	Observational association only; T790M high/low is not an intervention; no antigen-presentation or T-cell claim
gse129221	PC9 parental and acquired gefitinib-resistant PC9GR	GSE129221	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129221	Bulk RNA-seq with RNA-read-confirmed genotype	Independent clone-level T790M-expression stress test	Clone-level matched genotype-expression evidence	3 parental T790M-negative and 3 untreated PC9GR T790M-positive replicates	Recharter cross-system replication audit	Public processed FPKM matrix downloaded from GEO	data/external/GSE129221/GSE129221_fpkm.txt.gz;evidence/t790m_cross_system_replication_summary.tsv;docs/T790M_CROSS_SYSTEM_REPLICATION_AUDIT.md	python3 scripts/audit_t790m_cross_system_replication.py ...	Not same-cell evidence; T790M is confounded with acquired resistant clone and prolonged gefitinib selection; only six untreated replicates
gse75602	PC9 parental, tolerant, and T790M evolutionary series	GSE75602	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75602	Bulk RNA-seq evolutionary time course	Stage-resolved EGFR-expression trajectory stress test	Clone-level evolutionary-context evidence	2 vehicle-state replicates each for parental, gefitinib-tolerant, WZ4002-tolerant, early T790M-positive GR2, and late T790M-positive GR3	Recharter evolutionary-path audit	Public processed CPM matrix downloaded from GEO	data/external/GSE75602/GSE75602_CPM.txt.gz;evidence/gse75602_t790m_evolution_stages.tsv;evidence/gse75602_t790m_evolution_contrasts.tsv;docs/GSE75602_T790M_EVOLUTION_TRAJECTORY_AUDIT.md	python3 scripts/audit_t790m_evolution_trajectory.py ...	Not same-cell evidence; only two replicates per state; minimum one-sided exact permutation p is 0.167; descriptive comparator-path analysis only
gse255958	PC9 dynamic osimertinib evolution series	GSE255958	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255958	Bulk RNA-seq evolutionary panel	Independent PC9 branch-axis reinforcement and mixed module-direction check	Clone-level evolutionary-context evidence	3 replicates each for PC9 control, osimertinib 48h, osimertinib 9d, PC9-R osimertinib 48h, and internal YAP control states	Recharter branch-axis reinforcement audit	Public genes.results archive downloaded from GEO	data/external/GSE255958/GSE255958_RAW.tar;evidence/gse255958_pc9_branch_projection_summary.tsv;evidence/gse255958_pc9_branch_projection_details.tsv;docs/GSE255958_PC9_EVOLUTION_AUDIT.md	scripts/audit_gse255958_pc9_branch_projection.py	Supports the adaptive-stress branch axis in the osimertinib-exposed PC9 states, but the frozen down-module direction is mixed rather than cleanly preserved
gse249721	EGFR-mutant lung cancer drug-tolerant and expanded resistant states	GSE249721	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249721	Bulk RNA-seq treatment-state panel	Resistance-state bifurcation discovery and held-out stage validation	Multi-cell-line treatment-context evidence	44 samples across PC9, PC9-3, HCC4006, H3255, and HCC827 treatment states	Recharter stable resistance-state bifurcation audit	Public processed expression matrix downloaded from GEO	data/external/GSE249721/GSE249721_all_samples_processed_data.tsv.gz;evidence/gse249721_resistance_context_effects.tsv.gz;evidence/gse249721_resistance_branch_genes.tsv;evidence/gse249721_resistance_branch_validation.tsv;evidence/gse249721_resistance_branch_summary.tsv;evidence/gse249721_resistance_branch_enrichment.tsv;docs/RESISTANCE_STATE_BIFURCATION_AUDIT.md	python3 scripts/audit_resistance_branching.py ...; python3 scripts/enrich_resistance_branches.py ...	DTC discovery and DTEC validation use independent state samples from the same public study; prospective cross-study branch assignment remains the next validation step
gse193258	Four-model osimertinib drug-tolerant-persister landscape	GSE193258	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193258	Bulk RNA-seq with accompanying combination drug screens	Prospective frozen resistance-branch assignment and quantitative vulnerability calibration	Independent multi-model DTP and pharmacologic evidence	60 RNA-seq samples plus 319 summarized drug-screen rows; four transcriptome-matched lines tested in upfront and sequential formats	Prospective resistance-branch validation and branch-by-drug interaction discovery	Public processed log2 TPM matrix and publisher supplementary drug-screen workbooks downloaded	data/external/GSE193258/GSE193258_RNAseq_log2TPM_abundance.tsv.gz;data/external/GSE193258/41698_2022_337_MOESM2_ESM.xlsx;data/external/GSE193258/41698_2022_337_MOESM3_ESM.xlsx;evidence/gse193258_prospective_branch_assignments.tsv;evidence/gse193258_branch_trajectories.tsv;evidence/gse193258_branch_vulnerability_predictions.tsv;evidence/gse193258_drug_screen_normalized.tsv;evidence/gse193258_branch_drug_associations.tsv;evidence/gse193258_lead_atm_interaction.tsv;docs/GSE193258_PROSPECTIVE_BRANCH_AUDIT.md;docs/GSE193258_BRANCH_VULNERABILITY_CALIBRATION.md	python3 scripts/classify_gse193258_resistance_branches.py ...; python3 scripts/calibrate_gse193258_branch_vulnerabilities.py ...	Classifier was frozen before external expression download; ATM lead interaction uses four overlapping lines, two screen formats, and all 24 exact rank permutations
