state_layer	state	state_family	permission_rank	maximum_allowed_interpretation
row_claim	failure_or_guardrail	failure	0	failure_or_guardrail_only
row_claim	manual_review_required	unresolved	0	manual_review_required
row_claim	restricted_use	guardrail	1	restricted_or_diagnostic_use
row_claim	calibration_support	guardrail	1	calibration_statement_only
row_claim	descriptive_only	decision	1	descriptive_statement
row_claim	comparative_support	decision	2	bounded_comparative_support
decision	failed_or_limited_state	failure	0	no_positive_claim
decision	manual_review_state	unresolved	0	manual_review_required
decision	descriptive_comparator_state	decision	1	descriptive_statement
decision	provisional_responder_state	decision	1	descriptive_statement
decision	comparator_supported_state	decision	2	bounded_comparator_support
decision	supported_responder_state	decision	2	bounded_comparative_support
external	external_same_context_blocked	replication	2	internal_ceiling_only
external	external_same_context_unresolved	replication	2	internal_ceiling_only
external	external_same_context_discordant	replication	2	replication_claim_blocked
external	external_same_context_concordant	replication	3	bounded_computational_same_context_replication
validation	direct_biological_validation	wet_lab	4	outside_current_compiler
