dataset_id	stability_gate_pass	specificity_gate_pass	dual_gate_state	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	genetic_perturbation	primary_or_in_vivo	mouse_system	split_independence_tier	annotation_basis	log2_recorded_split_levels	minimum_equal_group_fraction
cui2023_lymph_node_cytokine	0	0	neither_stable_nor_specific	14	24	24	0	1	0	2	primary human lymph-node cells; biological replicate split	3.807354922057604	1.0
lara2023_bone_marrow_crispr	0	1	specific_but_not_stable	3	70	70	1	1	1	1	mouse bone-marrow transplant CRISPR; recorded timepoint split	1.584962500721156	1.0
liang2023_liver_organoid_crispr	1	1	stable_and_specific	9	70	70	1	1	1	2	mouse organoid CRISPR; independently handled sample split	3.169925001442312	1.0
mcfarland2020_cancer_mixseq_drug	1	1	stable_and_specific	2	70	70	0	0	0	1	human cancer cell-line drug screen; treatment-time split	1.0	1.0
santinha2023_brain_aav_crispr	0	0	neither_stable_nor_specific	12	70	70	1	1	1	0	mouse in-vivo brain CRISPR; sequencing-lane split	3.584962500721156	1.0
schiebinger2019_mesc_cytokine	1	1	stable_and_specific	2	70	70	0	0	1	2	mouse embryonic stem-cell transition; biological replicate split	1.0	1.0
shifrut2018_primary_t_crispr	1	1	stable_and_specific	2	70	70	1	1	0	2	primary human T-cell CRISPR; donor split	1.0	1.0
sunshine2023_calu3_crispri	1	1	stable_and_specific	8	70	70	1	0	0	0	human Calu-3 CRISPRi; GEM-group split	3.0	1.0
tian2021_ipsc_neuron_crispra	0	0	neither_stable_nor_specific	2	70	70	1	0	0	1	human iPSC-derived neuron CRISPRa; experimental-batch split	1.0	1.0
wessels2023_myeloid_cas13	1	1	stable_and_specific	8	23	70	1	0	0	2	human myeloid CRISPR-Cas13; independently tagged sample split	3.0	0.32857142857142857
