dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	AHR	all	AHR	268	290	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	ARID1A	all	ARID1A	118	114	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	2
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	ARRDC3	all	ARRDC3	250	245	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	3
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	ATL1	all	ATL1	194	185	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	4
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	BAK1	all	BAK1	722	735	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	BCL2L11	all	BCL2L11	291	291	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	6
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	BCORL1	all	BCORL1	262	271	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	7
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	BPGM	all	BPGM	236	228	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	8
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	C19orf26	all	C19orf26	433	439	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	9
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	C3orf72	all	C3orf72	135	129	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	10
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CBFA2T3	all	CBFA2T3	320	338	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	11
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CBL	all	CBL	341	322	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	12
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CDKN1A	all	CDKN1A	171	189	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	13
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CDKN1B	all	CDKN1B	258	292	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	14
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CDKN1C	all	CDKN1C	106	124	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	15
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	CEBPA	all	CEBPA	196	264	6038	5817	70	True	descending_minimum_equal_group_size_then_unit_id	technical_batch_holdout_4_vs_4	/Volumes/MOVESPEED/public_db_backup_2026-05-06/.openclaw/agents/stat_expert/projects/scRipple/data/norman_k562_sc.h5ad	16
