dataset_id	platform	split_strength	analysis_unit	excluded_feature	repeat	method	n_per_group	n_evaluated_features	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_feature_spearman	pseudo_all_feature_spearman	split_seed	sampling_seed
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	0	pgaa_w	70	4999	0.42	0.06	0.36	0.3726581572737117	0.2516633059144842	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	0	pgaa_h	70	4999	0.04	0.05	-0.01	-0.0152988410261489	0.0258302286582591	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	0	absolute_mean_shift	70	4999	0.42	0.04	0.38	0.2176644379212695	0.0611810420696951	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	0	welch_abs_t	70	4999	0.31	0.02	0.29	0.1402283960273447	0.0034139343595009	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	1	pgaa_w	70	4999	0.39	0.08	0.31	0.3895398001662647	0.255133994632183	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	1	pgaa_h	70	4999	0.06	0.06	0.0	0.0305886036290728	0.0307074396999712	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	1	absolute_mean_shift	70	4999	0.37	0.05	0.32	0.2164869338061117	0.0487067075406636	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	1	welch_abs_t	70	4999	0.32	0.04	0.28	0.1388896955448179	-0.0103919525804414	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	2	pgaa_w	70	4999	0.32	0.06	0.26	0.3380654303249606	0.2642454949573348	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	2	pgaa_h	70	4999	0.05	0.02	0.03	0.0137747171013561	0.0409414559216226	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	2	absolute_mean_shift	70	4999	0.34	0.03	0.31	0.1610597532308891	0.0588922945736008	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	2	welch_abs_t	70	4999	0.26	0.02	0.24	0.0962490711370665	0.0093873679902553	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	3	pgaa_w	70	4999	0.4	0.05	0.35	0.3844479876047239	0.2326712483488935	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	AHR	3	pgaa_h	70	4999	0.05	0.07	-0.02	0.0221586213171188	0.0456711617352048	pgaa-cross-platform-dual-gate-v1	pgaa-cross-platform-matched-controls-v1
