method	omitted_dataset_id	n_remaining_platforms	n_platforms	n_stability_pass	n_specificity_pass	n_stable_and_specific	n_stable_but_not_specific	n_specific_but_not_stable	n_neither	cross_platform_interpretation	recurrence_survives_omission
absolute_mean_shift	datlinger2017_jurkat_crispr	4	4	4	3	3	1	0	0	no_recurrent_decoupling_demonstrated	False
pgaa_h	datlinger2017_jurkat_crispr	4	4	1	1	0	1	1	2	no_recurrent_decoupling_demonstrated	False
pgaa_w	datlinger2017_jurkat_crispr	4	4	4	2	2	2	0	0	recurrent_stability_specificity_decoupling	True
welch_abs_t	datlinger2017_jurkat_crispr	4	4	1	3	1	0	2	1	no_recurrent_decoupling_demonstrated	False
absolute_mean_shift	nadig2024_hepg2_crispri	4	4	3	2	2	1	0	1	no_recurrent_decoupling_demonstrated	False
pgaa_h	nadig2024_hepg2_crispri	4	4	1	1	0	1	1	2	no_recurrent_decoupling_demonstrated	False
pgaa_w	nadig2024_hepg2_crispri	4	4	3	1	1	2	0	1	recurrent_stability_specificity_decoupling	True
welch_abs_t	nadig2024_hepg2_crispri	4	4	1	2	1	0	1	2	no_recurrent_decoupling_demonstrated	False
absolute_mean_shift	norman2019_k562_crispra	4	4	3	2	2	1	0	1	no_recurrent_decoupling_demonstrated	False
pgaa_h	norman2019_k562_crispra	4	4	1	1	0	1	1	2	no_recurrent_decoupling_demonstrated	False
pgaa_w	norman2019_k562_crispra	4	4	3	1	1	2	0	1	recurrent_stability_specificity_decoupling	True
welch_abs_t	norman2019_k562_crispra	4	4	0	2	0	0	2	2	no_recurrent_decoupling_demonstrated	False
absolute_mean_shift	replogle2022_k562_crispri	4	4	3	2	2	1	0	1	no_recurrent_decoupling_demonstrated	False
pgaa_h	replogle2022_k562_crispri	4	4	1	0	0	1	0	3	no_recurrent_decoupling_demonstrated	False
pgaa_w	replogle2022_k562_crispri	4	4	3	2	2	1	0	1	no_recurrent_decoupling_demonstrated	False
welch_abs_t	replogle2022_k562_crispri	4	4	1	2	1	0	1	2	no_recurrent_decoupling_demonstrated	False
absolute_mean_shift	sciplex3_a549_drug	4	4	3	3	3	0	0	1	no_recurrent_decoupling_demonstrated	False
pgaa_h	sciplex3_a549_drug	4	4	0	1	0	0	1	3	no_recurrent_decoupling_demonstrated	False
pgaa_w	sciplex3_a549_drug	4	4	3	2	2	1	0	1	no_recurrent_decoupling_demonstrated	False
welch_abs_t	sciplex3_a549_drug	4	4	1	3	1	0	2	1	no_recurrent_decoupling_demonstrated	False
