method	platform_event	n_platforms	n_event	proportion	exact_ci_low	exact_ci_high	confidence_level
absolute_mean_shift	stability_pass	5	4	0.8	0.2835820638819105	0.9949492366205319	0.95
absolute_mean_shift	specificity_pass	5	3	0.6	0.14663279963467313	0.9472550494736831	0.95
absolute_mean_shift	stable_but_not_specific	5	1	0.2	0.0050507633794680575	0.7164179361180896	0.95
pgaa_h	stability_pass	5	1	0.2	0.0050507633794680575	0.7164179361180896	0.95
pgaa_h	specificity_pass	5	1	0.2	0.0050507633794680575	0.7164179361180896	0.95
pgaa_h	stable_but_not_specific	5	1	0.2	0.0050507633794680575	0.7164179361180896	0.95
pgaa_w	stability_pass	5	4	0.8	0.2835820638819105	0.9949492366205319	0.95
pgaa_w	specificity_pass	5	2	0.4	0.052744950526316906	0.8533672003653269	0.95
pgaa_w	stable_but_not_specific	5	2	0.4	0.052744950526316906	0.8533672003653269	0.95
welch_abs_t	stability_pass	5	1	0.2	0.0050507633794680575	0.7164179361180896	0.95
welch_abs_t	specificity_pass	5	3	0.6	0.14663279963467313	0.9472550494736831	0.95
welch_abs_t	stable_but_not_specific	5	0	0.0	0.0	0.5218237501049815	0.95
