dataset_id	platform	split_strength	method	n_units	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_units_positive_margin	wilcoxon_one_sided_p	holm_adjusted_p	stability_threshold	specificity_alpha	stability_gate_pass	specificity_gate_pass	dual_gate_state
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	absolute_mean_shift	16	0.065	0.06	0.0099999999999999	9.0	0.06994708300584358	0.27978833202337433	0.2	0.05	False	False	neither_stable_nor_specific
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	pgaa_h	16	0.02	0.02	0.0	4.0	0.17497392881433493	0.27978833202337433	0.2	0.05	False	False	neither_stable_nor_specific
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	pgaa_w	16	0.07500000000000001	0.07	0.00499999999999995	8.0	0.12297998654814413	0.27978833202337433	0.2	0.05	False	False	neither_stable_nor_specific
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	welch_abs_t	16	0.02	0.02	0.0	6.0	0.09191266839660911	0.27978833202337433	0.2	0.05	False	False	neither_stable_nor_specific
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	absolute_mean_shift	16	0.245	0.05	0.17999999999999994	14.0	0.0004893532626585275	0.00195741305063411	0.2	0.05	True	True	stable_and_specific
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	pgaa_h	16	0.04	0.03	0.0	7.0	0.7020584547174111	0.7020584547174111	0.2	0.05	False	False	neither_stable_nor_specific
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	pgaa_w	16	0.265	0.08	0.16	14.0	0.0004907698762608342	0.00195741305063411	0.2	0.05	True	True	stable_and_specific
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	welch_abs_t	16	0.12000000000000001	0.02	0.095	13.0	0.0007344249831079184	0.00195741305063411	0.2	0.05	False	True	specific_but_not_stable
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	absolute_mean_shift	16	0.30000000000000004	0.045	0.27	15.0	0.0003274791716928478	0.000979966172122706	0.2	0.05	True	True	stable_and_specific
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	pgaa_h	16	0.05	0.045	0.0	6.0	0.32752163157752456	0.32752163157752456	0.2	0.05	False	False	neither_stable_nor_specific
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	pgaa_w	16	0.32999999999999996	0.06	0.275	15.0	4.57763671875e-05	0.00018310546875	0.2	0.05	True	True	stable_and_specific
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	welch_abs_t	16	0.22499999999999998	0.02	0.20999999999999996	15.0	0.00032665539070756864	0.000979966172122706	0.2	0.05	True	True	stable_and_specific
sciplex3_a549_drug	A549 multiplexed drug perturbation	biological_replicate_holdout_1_vs_1	absolute_mean_shift	16	0.235	0.23	0.005	8.0	0.1723521110034788	0.6894084440139152	0.2	0.05	True	False	stable_but_not_specific
sciplex3_a549_drug	A549 multiplexed drug perturbation	biological_replicate_holdout_1_vs_1	pgaa_h	16	0.23	0.225	-0.00999999999999995	6.0	0.7435124301863213	1.0	0.2	0.05	True	False	stable_but_not_specific
sciplex3_a549_drug	A549 multiplexed drug perturbation	biological_replicate_holdout_1_vs_1	pgaa_w	16	0.28	0.265	0.0	7.0	0.4168926761543519	1.0	0.2	0.05	True	False	stable_but_not_specific
sciplex3_a549_drug	A549 multiplexed drug perturbation	biological_replicate_holdout_1_vs_1	welch_abs_t	16	0.08	0.08499999999999999	0.0	8.0	0.5698699951171875	1.0	0.2	0.05	False	False	neither_stable_nor_specific
replogle2022_k562_crispri	K562 CRISPRi genome-scale Perturb-seq	technical_batch_holdout_24_vs_24	absolute_mean_shift	16	0.675	0.575	0.08			0.0184799056491497	0.2	0.05	True	True	stable_and_specific
replogle2022_k562_crispri	K562 CRISPRi genome-scale Perturb-seq	technical_batch_holdout_24_vs_24	pgaa_h	16	0.03	0.015	0.015			0.0093167253985772	0.2	0.05	False	True	specific_but_not_stable
replogle2022_k562_crispri	K562 CRISPRi genome-scale Perturb-seq	technical_batch_holdout_24_vs_24	pgaa_w	16	0.82	0.81	0.0149999999999999			0.1398769752539879	0.2	0.05	True	False	stable_but_not_specific
replogle2022_k562_crispri	K562 CRISPRi genome-scale Perturb-seq	technical_batch_holdout_24_vs_24	welch_abs_t	16	0.07	0.01	0.065			0.0019574130506341	0.2	0.05	False	True	specific_but_not_stable
