dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	BACH2|stimulated	absolute_mean_shift	0.07	0.07	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	BACH2|stimulated	pgaa_h	0.03	0.04	0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	BACH2|stimulated	pgaa_w	0.08	0.09	-0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	BACH2|stimulated	welch_abs_t	0.01	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	DOK2|stimulated	absolute_mean_shift	0.07	0.07	-0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	DOK2|stimulated	pgaa_h	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	DOK2|stimulated	pgaa_w	0.08	0.09	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	DOK2|stimulated	welch_abs_t	0.02	0.02	-0.0099999999999999	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	EGR1|stimulated	absolute_mean_shift	0.07	0.05	0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	EGR1|stimulated	pgaa_h	0.01	0.03	-0.01	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	EGR1|stimulated	pgaa_w	0.07	0.07	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	EGR1|stimulated	welch_abs_t	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	FOS|stimulated	absolute_mean_shift	0.07	0.04	0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	FOS|stimulated	pgaa_h	0.02	0.02	0.0	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	FOS|stimulated	pgaa_w	0.09	0.04	0.03	5
datlinger2017_jurkat_crispr	Jurkat CRISPR with TCR stimulation	experimental_replicate_holdout_3_vs_3	FOS|stimulated	welch_abs_t	0.01	0.01	0.0	5
