method	stability_threshold	specificity_alpha	n_platforms	n_stability_pass	n_specificity_pass	n_stable_and_specific	n_stable_but_not_specific	n_specific_but_not_stable	n_neither	cross_platform_interpretation
absolute_mean_shift	0.1	0.05	5	4	3	3	1	0	1	no_recurrent_decoupling_demonstrated
pgaa_h	0.1	0.05	5	1	1	0	1	1	3	no_recurrent_decoupling_demonstrated
pgaa_w	0.1	0.05	5	4	2	2	2	0	1	recurrent_stability_specificity_decoupling
welch_abs_t	0.1	0.05	5	2	3	2	0	1	2	no_recurrent_decoupling_demonstrated
absolute_mean_shift	0.15	0.05	5	4	3	3	1	0	1	no_recurrent_decoupling_demonstrated
pgaa_h	0.15	0.05	5	1	1	0	1	1	3	no_recurrent_decoupling_demonstrated
pgaa_w	0.15	0.05	5	4	2	2	2	0	1	recurrent_stability_specificity_decoupling
welch_abs_t	0.15	0.05	5	1	3	1	0	2	2	no_recurrent_decoupling_demonstrated
absolute_mean_shift	0.2	0.05	5	4	3	3	1	0	1	no_recurrent_decoupling_demonstrated
pgaa_h	0.2	0.05	5	1	1	0	1	1	3	no_recurrent_decoupling_demonstrated
pgaa_w	0.2	0.05	5	4	2	2	2	0	1	recurrent_stability_specificity_decoupling
welch_abs_t	0.2	0.05	5	1	3	1	0	2	2	no_recurrent_decoupling_demonstrated
absolute_mean_shift	0.25	0.05	5	2	3	2	0	1	2	no_recurrent_decoupling_demonstrated
pgaa_h	0.25	0.05	5	0	1	0	0	1	4	no_recurrent_decoupling_demonstrated
pgaa_w	0.25	0.05	5	4	2	2	2	0	1	recurrent_stability_specificity_decoupling
welch_abs_t	0.25	0.05	5	0	3	0	0	3	2	no_recurrent_decoupling_demonstrated
absolute_mean_shift	0.3	0.05	5	2	3	2	0	1	2	no_recurrent_decoupling_demonstrated
pgaa_h	0.3	0.05	5	0	1	0	0	1	4	no_recurrent_decoupling_demonstrated
pgaa_w	0.3	0.05	5	2	2	1	1	1	2	no_recurrent_decoupling_demonstrated
welch_abs_t	0.3	0.05	5	0	3	0	0	3	2	no_recurrent_decoupling_demonstrated
