priority	queue_role	candidate_id	source_study	laboratory_group	cell_context	cell_context_class	perturbation_mechanism	source_file	source_url	source_md5	source_doi
1	primary	cui2023_lymph_node_cytokine	CuiHacohen2023	Cui_Hacohen	draining_lymph_node_immune_cells	primary_immune_tissue	cytokine_stimulation	CuiHacohen2023.h5ad	https://zenodo.org/api/records/13350497/files/CuiHacohen2023.h5ad/content	5af564a044c81fd6a5fbe59876833b38	https://doi.org/10.1038/s41586-023-06816-9
2	primary	frangieh2021_melanoma_crispr	FrangiehIzar2021	Frangieh_Izar	melanoma_patient_model	melanoma_patient_model	CRISPR_Cas9	FrangiehIzar2021_RNA.h5ad	https://zenodo.org/api/records/13350497/files/FrangiehIzar2021_RNA.h5ad/content	dc438f53c476a3dd562898654d48ed15	https://doi.org/10.1038/s41588-021-00779-1
3	primary	liang2023_liver_organoid_crispr	LiangWang2023	Liang_Wang	mouse_liver_organoid	liver_organoid	CRISPR_Cas9	LiangWang2023.h5ad	https://zenodo.org/api/records/13350497/files/LiangWang2023.h5ad/content	a5e91f79c0c8350ec1a8c331a5a3738b	https://doi.org/10.1186/s13059-023-03084-8
4	primary	santinha2023_brain_aav_crispr	SantinhaPlatt2023	Santinha_Platt	mouse_brain_neurons	in_vivo_brain_neuron	AAV_CRISPR_Cas9	SantinhaPlatt2023.h5ad	https://zenodo.org/api/records/13350497/files/SantinhaPlatt2023.h5ad/content	fd5a384a2812dd191434021cc1fdf9d0	https://doi.org/10.1038/s41586-023-06570-y
5	primary	shifrut2018_primary_t_crispr	ShifrutMarson2018	Shifrut_Marson	primary_human_T_cells	primary_T_cell	CRISPR_Cas9_TCR	ShifrutMarson2018.h5ad	https://zenodo.org/api/records/13350497/files/ShifrutMarson2018.h5ad/content	813253590e31611560045333b7ffb637	https://doi.org/10.1016/j.cell.2018.10.024
6	primary	tian2021_ipsc_neuron_crispra	TianKampmann2021	Tian_Kampmann	human_iPSC_derived_neurons	iPSC_neuron	CRISPRa	TianKampmann2021_CRISPRa.h5ad	https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRa.h5ad/content	67a9b324ce46b74a8ca09370de45ded6	https://doi.org/10.1038/s41593-021-00862-0
7	primary	xu2023_hek293_crispri	XuCao2023	Xu_Cao	HEK293	embryonic_kidney_cell_line	CRISPRi	XuCao2023.h5ad	https://zenodo.org/api/records/13350497/files/XuCao2023.h5ad/content	3efb25a2927c5c228f04f783f18004d8	https://doi.org/10.1038/s41587-023-01948-9
8	primary	zhao2021_glioblastoma_drug	ZhaoSims2021	Zhao_Sims	human_glioblastoma_patient_tissue	glioblastoma_patient_tissue	drug	ZhaoSims2021.h5ad	https://zenodo.org/api/records/13350497/files/ZhaoSims2021.h5ad/content	2034fe859694fb5458a35cc37a8753c5	https://doi.org/10.1186/s13073-021-00894-y
9	primary	joung2023_hesc_tf_overexpression	JoungZhang2023	Joung_Zhang	human_embryonic_stem_cells	hESC	TF_overexpression	JoungZhang2023_combinatorial.h5ad	https://zenodo.org/api/records/13350497/files/JoungZhang2023_combinatorial.h5ad/content	e3d5f50d228b4d90652b6146e97c605c	https://doi.org/10.1016/j.cell.2022.11.026
10	primary	wessels2023_myeloid_cas13	WesselsSatija2023	Wessels_Satija	myeloid_cell_line	myeloid_cell_line	CRISPR_Cas13	WesselsSatija2023.h5ad	https://zenodo.org/api/records/13350497/files/WesselsSatija2023.h5ad/content	6897bfdcda928a678208fecf4eeb282e	https://doi.org/10.1038/s41592-022-01705-x
11	alternate	gehring2019_neural_stem_drug	GehringPachter2019	Gehring_Pachter	mouse_neural_stem_cells	neural_stem_cell	drug	GehringPachter2019.h5ad	https://zenodo.org/api/records/13350497/files/GehringPachter2019.h5ad/content	8348716d9d00c9526be4f51748ea7b98	https://doi.org/10.1038/s41587-019-0372-z
