priority	candidate_id	queue_role	destination	status	size_bytes	expected_md5	observed_md5
1	cui2023_lymph_node_cytokine	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/cui2023_lymph_node_cytokine/CuiHacohen2023.h5ad	curl_failed_18	0	5af564a044c81fd6a5fbe59876833b38	
2	frangieh2021_melanoma_crispr	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	downloaded_and_verified	1458928348	dc438f53c476a3dd562898654d48ed15	dc438f53c476a3dd562898654d48ed15
3	liang2023_liver_organoid_crispr	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/liang2023_liver_organoid_crispr/LiangWang2023.h5ad	downloaded_and_verified	364166137	a5e91f79c0c8350ec1a8c331a5a3738b	a5e91f79c0c8350ec1a8c331a5a3738b
4	santinha2023_brain_aav_crispr	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/santinha2023_brain_aav_crispr/SantinhaPlatt2023.h5ad	downloaded_and_verified	939335004	fd5a384a2812dd191434021cc1fdf9d0	fd5a384a2812dd191434021cc1fdf9d0
5	shifrut2018_primary_t_crispr	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/shifrut2018_primary_t_crispr/ShifrutMarson2018.h5ad	downloaded_and_verified	871481676	813253590e31611560045333b7ffb637	813253590e31611560045333b7ffb637
6	tian2021_ipsc_neuron_crispra	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/tian2021_ipsc_neuron_crispra/TianKampmann2021_CRISPRa.h5ad	downloaded_and_verified	154788473	67a9b324ce46b74a8ca09370de45ded6	67a9b324ce46b74a8ca09370de45ded6
7	xu2023_hek293_crispri	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	downloaded_and_verified	336637209	3efb25a2927c5c228f04f783f18004d8	3efb25a2927c5c228f04f783f18004d8
8	zhao2021_glioblastoma_drug	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	downloaded_and_verified	586888140	2034fe859694fb5458a35cc37a8753c5	2034fe859694fb5458a35cc37a8753c5
9	joung2023_hesc_tf_overexpression	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	downloaded_and_verified	834073300	e3d5f50d228b4d90652b6146e97c605c	e3d5f50d228b4d90652b6146e97c605c
10	wessels2023_myeloid_cas13	primary	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/wessels2023_myeloid_cas13/WesselsSatija2023.h5ad	downloaded_and_verified	219393529	6897bfdcda928a678208fecf4eeb282e	6897bfdcda928a678208fecf4eeb282e
13	mcfarland2020_cancer_mixseq_drug	alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/mcfarland2020_cancer_mixseq_drug/McFarlandTsherniak2020.h5ad	downloaded_and_verified	1459410830	03204a96b7b5dd96fc3cf33418222cd9	03204a96b7b5dd96fc3cf33418222cd9
14	weinreb2020_hematopoietic_cytokine	alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	downloaded_and_verified	228524613	5fbde4a188969399b18b5cd675807be4	5fbde4a188969399b18b5cd675807be4
15	schiebinger2019_mesc_cytokine	alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/schiebinger2019_mesc_cytokine/SchiebingerLander2019_GSE115943.h5ad	downloaded_and_verified	1640956517	ee695cd9e437cd27681b74b867adc994	ee695cd9e437cd27681b74b867adc994
16	chang2021_pc9_drug	alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/chang2021_pc9_drug/ChangYe2021.h5ad	downloaded_and_verified	501823050	9c68660b093ebb3611d114893766fc97	9c68660b093ebb3611d114893766fc97
17	sunshine2023_calu3_crispri	alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/sunshine2023_calu3_crispri/SunshineHein2023.h5ad	verified_complete_partial	743672579	739f42ccb24815c4ac1d8ca6d4aa85d8	739f42ccb24815c4ac1d8ca6d4aa85d8
19	dixit2016_k562_tf_crispr	amendment_alternate	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/dixit2016_k562_tf_crispr/DixitRegev2016_K562_TFs_13_days.h5ad	verified_complete_partial	121166672	b594d224cf17b268cd7e02efc976cea7	b594d224cf17b268cd7e02efc976cea7
