dataset_id	platform	split_strength	analysis_unit	excluded_feature	repeat	method	n_per_group	n_evaluated_features	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_feature_spearman	pseudo_all_feature_spearman	split_seed	sampling_seed
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	0	pgaa_w	70	4999	0.05	0.02	0.03	0.2217887534342832	0.1795505616935896	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	0	pgaa_h	70	4999	0.01	0.03	-0.0199999999999999	-0.018982184559386	0.0408057905544237	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	0	absolute_mean_shift	70	4999	0.03	0.02	0.0099999999999999	0.0387917653214376	0.0312285965071114	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	0	welch_abs_t	70	4999	0.0	0.01	-0.01	-0.0041101602796508	0.002369883676729	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	1	pgaa_w	70	4999	0.06	0.03	0.03	0.199728099334146	0.1635390234427936	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	1	pgaa_h	70	4999	0.01	0.03	-0.0199999999999999	-0.0039170874259642	0.0045935845620807	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	1	absolute_mean_shift	70	4999	0.06	0.03	0.03	0.04832803833972	0.0212030738476247	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	1	welch_abs_t	70	4999	0.02	0.0	0.02	0.0032391368071087	-0.0121204750439701	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	2	pgaa_w	70	4999	0.01	0.07	-0.06	0.2206500291866921	0.2545014106905174	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	2	pgaa_h	70	4999	0.05	0.04	0.01	0.0353097634721598	0.0531465020498219	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	2	absolute_mean_shift	70	4999	0.0	0.07	-0.07	0.0350594763420957	0.0818491450908379	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	2	welch_abs_t	70	4999	0.01	0.03	-0.0199999999999999	-0.0245156384013199	0.0268579973877266	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	3	pgaa_w	70	4999	0.06	0.03	0.03	0.2017386885828963	0.1931511608056617	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	3	pgaa_h	70	4999	0.0	0.04	-0.04	0.0065322267513851	0.0174186889186742	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	3	absolute_mean_shift	70	4999	0.05	0.03	0.02	0.0278429979440041	0.026258197334156	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	3	welch_abs_t	70	4999	0.03	0.02	0.0099999999999999	-0.0154094364134629	-0.0107243346873804	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	pgaa_w	70	4999	0.07	0.07	0.0	0.2225600548734611	0.1694630693326882	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	pgaa_h	70	4999	0.02	0.04	-0.02	0.0144881679588241	0.0254416116835075	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	absolute_mean_shift	70	4999	0.05	0.07	-0.02	0.060303440383191	0.0230005294249246	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	experimental_batch_holdout_1_vs_1	ACHE	ACHE	4	welch_abs_t	70	4999	0.02	0.06	-0.0399999999999999	0.010713854223683	0.0057024359976774	pgaa-cross-platform-dual-gate-v2	pgaa-cross-platform-matched-controls-v2
