dataset_id	platform	split_strength	method	n_units	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_units_positive_margin	wilcoxon_one_sided_p	holm_adjusted_p	stability_threshold	specificity_alpha	stability_gate_pass	specificity_gate_pass	dual_gate_state
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	absolute_mean_shift	16	0.09	0.08	0.0099999999999999	10	0.00805210560606349	0.03220842242425396	0.2	0.05	False	True	specific_but_not_stable
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	pgaa_h	16	0.03	0.03	0.0	3	0.6261349176879327	1.0	0.2	0.05	False	False	neither_stable_nor_specific
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	pgaa_w	16	0.11	0.08	0.014999999999999899	9	0.02912161933707037	0.0873648580112111	0.2	0.05	False	False	neither_stable_nor_specific
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	biological_replicate_holdout_7_vs_7	welch_abs_t	16	0.02	0.02	0.0	4	0.5206472221192128	1.0	0.2	0.05	False	False	neither_stable_nor_specific
lara2023_bone_marrow_crispr	Mouse bone-marrow transplant CRISPR-Cas9	recorded_timepoint_holdout_1_vs_1	absolute_mean_shift	16	0.125	0.05	0.08	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	False	True	specific_but_not_stable
lara2023_bone_marrow_crispr	Mouse bone-marrow transplant CRISPR-Cas9	recorded_timepoint_holdout_1_vs_1	pgaa_h	16	0.04	0.04	0.005	8	0.14358229979186216	0.14358229979186216	0.2	0.05	False	False	neither_stable_nor_specific
lara2023_bone_marrow_crispr	Mouse bone-marrow transplant CRISPR-Cas9	recorded_timepoint_holdout_1_vs_1	pgaa_w	16	0.14	0.06	0.08499999999999995	16	1.52587890625e-05	6.103515625e-05	0.2	0.05	False	True	specific_but_not_stable
lara2023_bone_marrow_crispr	Mouse bone-marrow transplant CRISPR-Cas9	recorded_timepoint_holdout_1_vs_1	welch_abs_t	16	0.06	0.01	0.03999999999999995	15	4.57763671875e-05	9.1552734375e-05	0.2	0.05	False	True	specific_but_not_stable
liang2023_liver_organoid_crispr	Mouse liver organoid CRISPR-Cas9	recorded_sample_holdout_4_vs_5	absolute_mean_shift	16	0.185	0.10500000000000001	0.06	15	7.62939453125e-05	0.00030517578125	0.2	0.05	False	True	specific_but_not_stable
liang2023_liver_organoid_crispr	Mouse liver organoid CRISPR-Cas9	recorded_sample_holdout_4_vs_5	pgaa_h	16	0.035	0.03	0.00999999999999995	9	0.022191149357129947	0.022191149357129947	0.2	0.05	False	True	specific_but_not_stable
