candidate_id	platform	source_h5ad	laboratory_group	cell_context_class	perturbation_mechanism	split_column	split_strength	contract_status	n_selected_units	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	detail
cui2023_lymph_node_cytokine	Primary lymph-node immune cells, cytokine stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/cui2023_lymph_node_cytokine/CuiHacohen2023.h5ad	Cui_Hacohen	primary_immune_tissue	cytokine_stimulation	bio_replicate	biological_replicate_holdout_7_vs_7	ready_for_scoring	16	14	24	24	result_blind_contract_compiled
lara2023_bone_marrow_crispr	Mouse bone-marrow transplant CRISPR-Cas9	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/lara2023_bone_marrow_crispr/LaraAstiasoHuntly2023_exvivo.h5ad	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	time	recorded_timepoint_holdout_1_vs_1	ready_for_scoring	16	3	70	70	result_blind_contract_compiled
liang2023_liver_organoid_crispr	Mouse liver organoid CRISPR-Cas9	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/liang2023_liver_organoid_crispr/LiangWang2023.h5ad	Liang_Wang	liver_organoid	CRISPR_Cas9	sample	recorded_sample_holdout_4_vs_5	ready_for_scoring	16	9	70	70	result_blind_contract_compiled
mcfarland2020_cancer_mixseq_drug	Human multi-lineage cancer Mix-seq drug panel	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/mcfarland2020_cancer_mixseq_drug/McFarlandTsherniak2020.h5ad	McFarland_Tsherniak	cancer_cell_line	drug	time	treatment_time_holdout_1_vs_1	ready_for_scoring	16	2	70	70	result_blind_contract_compiled
santinha2023_brain_aav_crispr	Mouse in vivo brain AAV CRISPR-Cas9	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/santinha2023_brain_aav_crispr/SantinhaPlatt2023.h5ad	Santinha_Platt	in_vivo_brain_neuron	AAV_CRISPR_Cas9	lane	recorded_sequencing_lane_holdout_6_vs_6	ready_for_scoring	16	12	70	70	result_blind_contract_compiled
schiebinger2019_mesc_cytokine	Mouse embryonic stem-cell state transition	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/schiebinger2019_mesc_cytokine/SchiebingerLander2019_GSE115943.h5ad	Schiebinger_Lander	mESC	cytokine	replicate	biological_replicate_holdout_1_vs_1	ready_for_scoring	16	2	70	70	result_blind_contract_compiled
shifrut2018_primary_t_crispr	Primary human T-cell CRISPR-Cas9	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/shifrut2018_primary_t_crispr/ShifrutMarson2018.h5ad	Shifrut_Marson	primary_T_cell	CRISPR_Cas9_TCR	patient	donor_holdout_1_vs_1	ready_for_scoring	16	2	70	70	result_blind_contract_compiled
sunshine2023_calu3_crispri	Human Calu-3 epithelial CRISPRi	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/sunshine2023_calu3_crispri/SunshineHein2023.h5ad	Sunshine_Hein	lung_epithelial_cell_line	CRISPRi	gem_group	recorded_gem_group_holdout_4_vs_4	ready_for_scoring	16	8	70	70	result_blind_contract_compiled
tian2021_ipsc_neuron_crispra	Human iPSC-derived neuron CRISPRa	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/tian2021_ipsc_neuron_crispra/TianKampmann2021_CRISPRa.h5ad	Tian_Kampmann	iPSC_neuron	CRISPRa	batch	experimental_batch_holdout_1_vs_1	ready_for_scoring	16	2	70	70	result_blind_contract_compiled
wessels2023_myeloid_cas13	Human myeloid-cell CRISPR-Cas13	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/wessels2023_myeloid_cas13/WesselsSatija2023.h5ad	Wessels_Satija	myeloid_cell_line	CRISPR_Cas13	HTO	sample_tag_holdout_4_vs_4	ready_for_scoring	16	8	23	70	result_blind_contract_compiled
