candidate_id	source_path	read_status	n_cells	n_features	obs_columns	var_columns	layers	matrix_source_audited	sample_min	sample_max	sample_integer_fraction	uns_keys
cui2023_lymph_node_cytokine	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/cui2023_lymph_node_cytokine/CuiHacohen2023.h5ad	readable_backed	96034.0	31053.0	"[""ncounts"", ""ngenes"", ""channel"", ""ncounts_tags"", ""nFeature_HTO"", ""MULTI_ID"", ""MULTI_classification"", ""percent_mito"", ""RNA_snn_res.1.5"", ""seurat_clusters"", ""cluster_manual"", ""celltype"", ""channel_hashtag"", ""perturbation"", ""bio_replicate"", ""nperts"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""organism"", ""percent_ribo"", ""cytokine_family""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	30.0	1.0	[]
frangieh2021_melanoma_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	readable_backed	218331.0	23712.0	"[""library_preparation_protocol"", ""perturbation_2"", ""MOI"", ""sgRNA"", ""UMI_count"", ""guide_id"", ""umap_x"", ""umap_y"", ""perturbation"", ""tissue_type"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""perturbation_type_2"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	8.0	1.0	[]
liang2023_liver_organoid_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/liang2023_liver_organoid_crispr/LiangWang2023.h5ad	readable_backed	41383.0	17444.0	"[""guide_id"", ""guide_sequence"", ""perturbation"", ""sample"", ""medium"", ""perturbation_type"", ""nperts"", ""organism"", ""tissue_type"", ""disease"", ""celltype"", ""cancer"", ""cell_line"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	61.0	1.0	[]
santinha2023_brain_aav_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/santinha2023_brain_aav_crispr/SantinhaPlatt2023.h5ad	readable_backed	100134.0	30556.0	"[""lane"", ""ncounts"", ""ngenes"", ""cell_name"", ""cell_types"", ""cell_types_broad"", ""cell_types_neuro"", ""gRNA_read_count"", ""gRNA_umi_count"", ""perturbation"", ""guide_id"", ""organism"", ""disease"", ""cancer"", ""perturbation_type"", ""tissue_type"", ""tissue"", ""nperts"", ""percent_mito"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	142.0	1.0	[]
shifrut2018_primary_t_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/shifrut2018_primary_t_crispr/ShifrutMarson2018.h5ad	readable_backed	52236.0	33694.0	"[""sample"", ""patient"", ""guide_id"", ""guide_counts"", ""target"", ""perturbation"", ""perturbation_2"", ""disease"", ""cancer"", ""tissue_type"", ""organism"", ""perturbation_type"", ""perturbation_type_2"", ""nperts"", ""celltype"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	6.0	1.0	[]
tian2021_ipsc_neuron_crispra	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/tian2021_ipsc_neuron_crispra/TianKampmann2021_CRISPRa.h5ad	readable_backed	21193.0	33538.0	"[""guide_id"", ""perturbation"", ""tissue_type"", ""celltype"", ""cancer"", ""disease"", ""perturbation_type"", ""organism"", ""batch"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo"", ""percent_hemo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	18.0	1.0	[]
xu2023_hek293_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	readable_backed	98315.0	59429.0	"[""perturbation"", ""ncounts"", ""nascent_UMI_counts"", ""nascent_ratio"", ""guide_id"", ""gRNA_UMI_counts"", ""nascent_MT_ratio"", ""Cell_cycle_phase"", ""whole_exon_ratio"", ""new_exon_ratio"", ""target"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""nperts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	"[""nascent_counts""]"	X	0.0	3.0	1.0	[]
zhao2021_glioblastoma_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	readable_backed	165748.0	60725.0	"[""sample"", ""GEO"", ""Sample"", ""tissue"", ""age"", ""sex"", ""location"", ""diagnosis"", ""library"", ""dose_value"", ""dose_unit"", ""perturbation"", ""tissue_type"", ""cancer"", ""disease"", ""celltype"", ""organism"", ""perturbation_type"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts"", ""chembl-ID""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	7.0	1.0	[]
joung2023_hesc_tf_overexpression	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	readable_backed	167947.0	37302.0	"[""ngenes"", ""percent_mito"", ""ncounts"", ""batch"", ""TF"", ""louvain"", ""perturbation"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""perturbation_type"", ""nperts"", ""percent_ribo""]"	"[""n_cells-0"", ""n_cells-1"", ""n_cells-2"", ""n_cells-3"", ""n_cells-4"", ""n_cells-5"", ""n_cells-6"", ""n_cells-7"", ""n_cells-8"", ""ncounts"", ""ncells""]"	[]	X	0.0	3.6815948486328125	0.958251953125	"[""hvg"", ""louvain"", ""louvain_colors"", ""neighbors"", ""pca"", ""umap""]"
wessels2023_myeloid_cas13	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/wessels2023_myeloid_cas13/WesselsSatija2023.h5ad	readable_backed	30707.0	21052.0	"[""ncounts"", ""ngenes"", ""percent_mito"", ""Cell_cycle_phase"", ""ncounts_HTO"", ""HTO"", ""ncounts_ADT"", ""10X_lane"", ""guides"", ""nCount_GUIDE"", ""CRISPRcas13_Array"", ""perturbation"", ""Guide.Class"", ""UMI.g1"", ""UMI.g2"", ""ID.g1"", ""ID.g2"", ""fraction.g1.over.all"", ""fraction.g1.over.g2"", ""g1.by.g2"", ""nperts"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	67.0	1.0	[]
