priority	queue_role	candidate_id	source_study	laboratory_group	cell_context	cell_context_class	perturbation_mechanism	source_file	source_url	source_md5	expression_outcome_status
1	primary_priority	papalexi2021_thp1_crispr	PapalexiSatija2021	Papalexi_Satija	human_THP1_immune_screen	THP1_immune_state	CRISPR_Cas9	PapalexiSatija2021_eccite_RNA.h5ad	https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_RNA.h5ad/content	d9e8bfe20b0e7b0919be042e8fcf6d03	not_scored_by_pgaa
2	primary_priority	frangieh2021_melanoma_crispr	FrangiehIzar2021	Frangieh_Izar	melanoma_patient_model	melanoma_patient_model	CRISPR_Cas9	FrangiehIzar2021_RNA.h5ad	https://zenodo.org/api/records/13350497/files/FrangiehIzar2021_RNA.h5ad/content	dc438f53c476a3dd562898654d48ed15	not_scored_by_pgaa
3	primary_priority	joung2023_hesc_tf_overexpression	JoungZhang2023	Joung_Zhang	human_embryonic_stem_cells	hESC	TF_overexpression	JoungZhang2023_combinatorial.h5ad	https://zenodo.org/api/records/13350497/files/JoungZhang2023_combinatorial.h5ad/content	e3d5f50d228b4d90652b6146e97c605c	not_scored_by_pgaa
4	primary_priority	xu2023_hek293_crispri	XuCao2023	Xu_Cao	HEK293	embryonic_kidney_cell_line	CRISPRi	XuCao2023.h5ad	https://zenodo.org/api/records/13350497/files/XuCao2023.h5ad/content	3efb25a2927c5c228f04f783f18004d8	not_scored_by_pgaa
5	primary_priority	zhao2021_glioblastoma_drug	ZhaoSims2021	Zhao_Sims	human_glioblastoma_patient_tissue	glioblastoma_patient_tissue	drug	ZhaoSims2021.h5ad	https://zenodo.org/api/records/13350497/files/ZhaoSims2021.h5ad/content	2034fe859694fb5458a35cc37a8753c5	not_scored_by_pgaa
6	primary_priority	aissa2021_pc9_drug	AissaBenevolenskaya2021	Aissa_Benevolenskaya	human_PC9_drug_response	lung_cancer_cell_line	drug	AissaBenevolenskaya2021.h5ad	https://zenodo.org/api/records/13350497/files/AissaBenevolenskaya2021.h5ad/content	c1ee47cc82052c1eed78f3a2e3eea30c	not_scored_by_pgaa
7	primary_priority	lotfollahi2023_perturbation_atlas	LotfollahiTheis2023	Lotfollahi_Theis	multi_context_perturbation_atlas	multi_context_atlas	mixed	LotfollahiTheis2023.h5ad	https://zenodo.org/api/records/13350497/files/LotfollahiTheis2023.h5ad/content	2bde6413480830b290bacd2071a98bcb	not_scored_by_pgaa
8	primary_priority	weinreb2020_hematopoietic_cytokine	WeinrebKlein2020	Weinreb_Klein	mouse_hematopoietic_progenitors	hematopoietic_progenitor	cytokine	WeinrebKlein2020.h5ad	https://zenodo.org/api/records/13350497/files/WeinrebKlein2020.h5ad/content	5fbde4a188969399b18b5cd675807be4	not_scored_by_pgaa
9	primary_priority	xie2017_stem_cell_perturbation	XieHon2017	Xie_Hon	mouse_stem_cell_perturbation	stem_cell	genetic	XieHon2017.h5ad	https://zenodo.org/api/records/13350497/files/XieHon2017.h5ad/content	e01981371cf726f3c7281aaf97500a90	not_scored_by_pgaa
10	primary_priority	gehring2019_neural_stem_drug	GehringPachter2019	Gehring_Pachter	mouse_neural_stem_cells	neural_stem_cell	drug	GehringPachter2019.h5ad	https://zenodo.org/api/records/13350497/files/GehringPachter2019.h5ad/content	8348716d9d00c9526be4f51748ea7b98	not_scored_by_pgaa
11	alternate_priority	gasperini2019_k562_enhancer_crispr	GasperiniShendure2019	Gasperini_Shendure	human_K562_enhancer_screen	K562_leukemia	CRISPRi_enhancer	GasperiniShendure2019_highMOI.h5ad	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_highMOI.h5ad/content	04e1af7562c1d0d2dd2f9d1cf01e3560	not_scored_by_pgaa
12	alternate_priority	schraivogel2020_k562_tapseq	SchraivogelSteinmetz2020	Schraivogel_Steinmetz	human_K562_TAP_seq	K562_leukemia	CRISPR_Cas9_TAPseq	SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad/content	f3276b2ee09bc132fa7f471090b9094e	not_scored_by_pgaa
13	alternate_priority	dixit2016_k562_tf_crispr	DixitRegev2016	Dixit_Regev	human_K562_TF_screen	K562_leukemia	CRISPR_Cas9	DixitRegev2016_K562_TFs_13_days.h5ad	https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_13_days.h5ad/content	b594d224cf17b268cd7e02efc976cea7	not_scored_by_pgaa
14	alternate_priority	chang2021_pc9_drug	ChangYe2021	Chang_Ye	PC9_lung_adenocarcinoma	lung_cancer_cell_line	drug	ChangYe2021.h5ad	https://zenodo.org/api/records/13350497/files/ChangYe2021.h5ad/content	9c68660b093ebb3611d114893766fc97	not_scored_by_pgaa
