priority	queue_role	candidate_id	platform	source_h5ad	laboratory_group	cell_context_class	perturbation_mechanism	adapter	split_column	split_strength	minimum_selected_units_gate	contract_status	n_selected_units	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	detail	expansion_queue
1	primary_priority	papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	Papalexi_Satija	THP1_immune_state	CRISPR_Cas9	single_gene_nperts	hto	recorded_hash_tag_holdout_5_levels	8	ready_for_scoring	16	5	70.0	70.0	result_blind_contract_compiled	v3
2	primary_priority	frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	Frangieh_Izar	melanoma_patient_model	CRISPR_Cas9	single_gene_nperts	MOI	recorded_moi_holdout_20_levels	8	ready_for_scoring	16	20	70.0	70.0	result_blind_contract_compiled	v3
3	primary_priority	joung2023_hesc_tf_overexpression	Human hESC TF overexpression	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	Joung_Zhang	hESC	TF_overexpression	generic_condition	batch	recorded_batch_holdout_9_levels	8	below_minimum_units	0	9	0.0	0.0	result_blind_contract_compiled	v3
4	primary_priority	xu2023_hek293_crispri	Human HEK293 CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	Xu_Cao	embryonic_kidney_cell_line	CRISPRi	single_gene_nperts	guide_id	recorded_guide_holdout_489_levels	8	ready_for_scoring	16	489	70.0	70.0	result_blind_contract_compiled	v3
5	primary_priority	zhao2021_glioblastoma_drug	Human glioblastoma drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	Zhao_Sims	glioblastoma_patient_tissue	drug	generic_condition	library	recorded_library_holdout_43_levels	8	below_minimum_units	2	43	70.0	70.0	result_blind_contract_compiled	v3
6	primary_priority	aissa2021_pc9_drug	Human PC9 xenograft drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/aissa2021_pc9_drug/AissaBenevolenskaya2021.h5ad	Aissa_Benevolenskaya	lung_cancer_cell_line	drug	generic_condition	batch	single_recorded_batch	8	metadata_contract_error	0	0			ValueError: at least two batches are required for held-out replication	v3
7	primary_priority	lotfollahi2023_perturbation_atlas	Human A549 perturbation atlas	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/lotfollahi2023_perturbation_atlas/LotfollahiTheis2023.h5ad	Lotfollahi_Theis	multi_context_atlas	mixed	single_gene_nperts	RT_well	recorded_well_holdout_96_levels	8	below_minimum_units	6	96	70.0	70.0	result_blind_contract_compiled	v3
8	primary_priority	weinreb2020_hematopoietic_cytokine	Mouse hematopoietic cytokine perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	Weinreb_Klein	hematopoietic_progenitor	cytokine	generic_condition	library_names	recorded_library_holdout_29_levels	8	ready_for_scoring	16	29	70.0	70.0	result_blind_contract_compiled	v3
9	primary_priority	xie2017_stem_cell_perturbation	Mouse stem-cell genetic perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/xie2017_stem_cell_perturbation/XieHon2017.h5ad	Xie_Hon	stem_cell	genetic	single_gene_nperts	batch	recorded_batch_holdout_16_levels	8	below_minimum_units	1	16	22.0	22.0	result_blind_contract_compiled	v3
10	primary_priority	gehring2019_neural_stem_drug	Mouse neural stem-cell drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/gehring2019_neural_stem_drug/GehringPachter2019.h5ad	Gehring_Pachter	neural_stem_cell	drug	generic_condition	batch	recorded_batch_holdout_4_levels	8	below_minimum_units	0	4	0.0	0.0	result_blind_contract_compiled	v3
11	alternate_priority	gasperini2019_k562_enhancer_crispr	Human K562 enhancer CRISPRi high-MOI screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/gasperini2019_k562_enhancer_crispr/GasperiniShendure2019_highMOI.h5ad	Gasperini_Shendure	K562_leukemia	CRISPRi_enhancer	single_gene_nperts	sample	recorded_sample_holdout_6_levels	8	below_minimum_units	0	6	0.0	0.0	result_blind_contract_compiled	v3
12	alternate_priority	schraivogel2020_k562_tapseq	Human K562 TAP-seq perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/schraivogel2020_k562_tapseq/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad	Schraivogel_Steinmetz	K562_leukemia	CRISPR_Cas9_TAPseq	single_gene_nperts	replicate	recorded_replicate_holdout_13_levels	8	below_minimum_units	0	13	0.0	0.0	result_blind_contract_compiled	v3
13	alternate_priority	dixit2016_k562_tf_crispr	Human K562 TF CRISPR perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/dixit2016_k562_tf_crispr/DixitRegev2016_K562_TFs_13_days.h5ad	Dixit_Regev	K562_leukemia	CRISPR_Cas9	generic_condition	guide_id	recorded_guide_holdout_30_levels	8	below_minimum_units	0	31	0.0	0.0	result_blind_contract_compiled	v3
14	alternate_priority	chang2021_pc9_drug	Human PC9 drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/chang2021_pc9_drug/ChangYe2021.h5ad	Chang_Ye	lung_cancer_cell_line	drug	generic_condition	sample	recorded_sample_holdout_4_levels	8	below_minimum_units	0	4	0.0	0.0	result_blind_contract_compiled	v3
15	v3b_rescue_screen	datlinger2021_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_384_levels	8	below_minimum_units	0	384	0.0	0.0	result_blind_contract_compiled	v3b
16	v3b_rescue_screen	srivatsan2020_sciplex2	Human A549 SciPlex-2 drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex2/SrivatsanTrapnell2020_sciplex2.h5ad	Srivatsan_Trapnell	cancer_cell_line	drug	generic_condition	well	recorded_well_holdout_192_levels	8	below_minimum_units	0	193	0.0	0.0	result_blind_contract_compiled	v3b
17	v3b_rescue_screen	srivatsan2020_sciplex4	Human A549 SciPlex-4 drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex4/SrivatsanTrapnell2020_sciplex4.h5ad	Srivatsan_Trapnell	cancer_cell_line	drug	generic_condition	well	recorded_well_holdout	8	metadata_contract_error	0	0			ValueError: metadata is missing batch column: well	v3b
18	v3b_rescue_screen	tian2019_ipsc_crispri	Human iPSC CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	Tian_Kampmann	iPSC	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_2_levels	8	ready_for_scoring	16	2	70.0	70.0	result_blind_contract_compiled	v3b
19	v3b_rescue_screen	tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	Tian_Kampmann	iPSC_neuron	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_4_levels	8	ready_for_scoring	16	4	70.0	70.0	result_blind_contract_compiled	v3b
20	v3b_rescue_screen	adamson2016_10x001	Human K562 CRISPRi stress-response screen 10X001	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x001/AdamsonWeissman2016_GSM2406675_10X001.h5ad	Adamson_Weissman	K562_leukemia	CRISPRi	single_gene_nperts	perturbation	recorded_perturbation_holdout	8	below_minimum_units	0	10	0.0	0.0	result_blind_contract_compiled	v3b
21	v3b_rescue_screen	adamson2016_10x005	Human K562 CRISPRi stress-response screen 10X005	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x005/AdamsonWeissman2016_GSM2406677_10X005.h5ad	Adamson_Weissman	K562_leukemia	CRISPRi	single_gene_nperts	perturbation	recorded_perturbation_holdout	8	below_minimum_units	0	21	0.0	0.0	result_blind_contract_compiled	v3b
22	v3b_rescue_screen	norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	Norman_Weissman	K562_leukemia	CRISPRa	single_gene_nperts	gemgroup	recorded_gemgroup_holdout_8_levels	8	ready_for_scoring	16	8	70.0	70.0	result_blind_contract_compiled	v3b
23	v3b_rescue_screen	replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	Replogle_Weissman	RPE1_epithelial_cell_line	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_56_levels	8	ready_for_scoring	16	56	70.0	70.0	result_blind_contract_compiled	v3b
24	v3b_rescue_screen	lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_12_levels	8	ready_for_scoring	16	12	70.0	70.0	result_blind_contract_compiled	v3b
25	v3b_rescue_screen	schiebinger2019_reprogramming_gse106340	Mouse reprogramming 2i state-transition perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schiebinger2019_reprogramming_gse106340/SchiebingerLander2019_GSE106340.h5ad	Schiebinger_Lander	cell_reprogramming	cytokine_state_transition	generic_condition	GSM	recorded_gsm_holdout_22_levels	8	below_minimum_units	0	22	0.0	0.0	result_blind_contract_compiled	v3b
26	v3b_rescue_screen	schraivogel2020_k562_tapseq_chr8	Human K562 TAP-seq chromosome 8 CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schraivogel2020_k562_tapseq_chr8/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad	Schraivogel_Steinmetz	K562_leukemia	CRISPR_Cas9_TAPseq	single_gene_nperts	replicate	recorded_replicate_holdout_14_levels	8	below_minimum_units	0	14	0.0	0.0	result_blind_contract_compiled	v3b
27	v3c_rescue_screen	datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	datlinger2017	replicate	recorded_replicate_holdout_6_levels	8	ready_for_scoring	16	6	37.0	58.0	result_blind_contract_compiled	v3c
28	v3c_rescue_screen	dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	Dixit_Regev	K562_leukemia	CRISPR_Cas9	generic_condition	guide_id	recorded_guide_holdout_30_levels	8	below_minimum_units	5	31	70.0	70.0	result_blind_contract_compiled	v3c
29	v3c_rescue_screen	dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	Dixit_Regev	K562_leukemia_high_moi	CRISPR_Cas9_high_MOI	generic_condition	guide_id	recorded_guide_holdout_1728_levels	8	ready_for_scoring	16	1729	34.0	70.0	result_blind_contract_compiled	v3c
30	v3c_rescue_screen	adamson2016_10x010	Human K562 CRISPRi stress-response screen 10X010	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/adamson2016_10x010/AdamsonWeissman2016_GSM2406681_10X010.h5ad	Adamson_Weissman	K562_leukemia	CRISPRi	single_gene_nperts	perturbation	recorded_perturbation_holdout	8	below_minimum_units	0	115	0.0	0.0	result_blind_contract_compiled	v3c
31	v3c_rescue_screen	gasperini2019_lowmoi	Human K562 low-MOI enhancer CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/gasperini2019_lowmoi/GasperiniShendure2019_lowMOI.h5ad	Gasperini_Shendure	K562_leukemia	enhancer_CRISPRi_low_MOI	single_gene_nperts	sample	recorded_sample_holdout_6_levels	8	below_minimum_units	1	6	70.0	70.0	result_blind_contract_compiled	v3c
32	v3c_rescue_screen	papalexi2021_arrayed_rna	Human THP-1 arrayed ECCITE-seq CRISPR RNA	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/papalexi2021_arrayed_rna/PapalexiSatija2021_eccite_arrayed_RNA.h5ad	Papalexi_Satija	THP1_immune_state_arrayed	arrayed_CRISPR_Cas9	single_gene_nperts	hto	recorded_hash_tag_holdout_15_levels	8	below_minimum_units	2	15	36.0	70.0	result_blind_contract_compiled	v3c
33	v3c_rescue_screen	nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	Nadig_OConner	HepG2_liver_cell_line	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	8	ready_for_scoring	16	56	70.0	70.0	result_blind_contract_compiled	v3c
34	v3c_rescue_screen	nadig2024_jurkat	Human Jurkat CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_jurkat/NadigOConner2024_jurkat.h5ad	Nadig_OConner	Jurkat_T_cell	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	8	ready_for_scoring	16	55	70.0	70.0	result_blind_contract_compiled	v3c
35	v3c_rescue_screen	lara2023_leukemia	Mouse leukemia in vivo CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/lara2023_leukemia/LaraAstiasoHuntly2023_leukemia.h5ad	Lara_Astiaso_Huntly	leukemia_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout	8	ready_for_scoring	16	13	70.0	70.0	result_blind_contract_compiled	v3c
