priority	queue_role	candidate_id	platform	source_h5ad	laboratory_group	cell_context_class	perturbation_mechanism	adapter	split_column	split_strength	minimum_selected_units_gate	contract_status	n_selected_units	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	detail	expansion_queue	context_mechanism_source
1	primary_priority	papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	Papalexi_Satija	THP1_immune_state	CRISPR_Cas9	single_gene_nperts	hto	recorded_hash_tag_holdout_5_levels	8	ready_for_scoring	16	5	70.0	70.0	result_blind_contract_compiled	v3	Papalexi_Satija|THP1_immune_state|CRISPR_Cas9
2	primary_priority	frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	Frangieh_Izar	melanoma_patient_model	CRISPR_Cas9	single_gene_nperts	MOI	recorded_moi_holdout_20_levels	8	ready_for_scoring	16	20	70.0	70.0	result_blind_contract_compiled	v3	Frangieh_Izar|melanoma_patient_model|CRISPR_Cas9
4	primary_priority	xu2023_hek293_crispri	Human HEK293 CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	Xu_Cao	embryonic_kidney_cell_line	CRISPRi	single_gene_nperts	guide_id	recorded_guide_holdout_489_levels	8	ready_for_scoring	16	489	70.0	70.0	result_blind_contract_compiled	v3	Xu_Cao|embryonic_kidney_cell_line|CRISPRi
8	primary_priority	weinreb2020_hematopoietic_cytokine	Mouse hematopoietic cytokine perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	Weinreb_Klein	hematopoietic_progenitor	cytokine	generic_condition	library_names	recorded_library_holdout_29_levels	8	ready_for_scoring	16	29	70.0	70.0	result_blind_contract_compiled	v3	Weinreb_Klein|hematopoietic_progenitor|cytokine
18	v3b_rescue_screen	tian2019_ipsc_crispri	Human iPSC CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	Tian_Kampmann	iPSC	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_2_levels	8	ready_for_scoring	16	2	70.0	70.0	result_blind_contract_compiled	v3b	Tian_Kampmann|iPSC|CRISPRi
19	v3b_rescue_screen	tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	Tian_Kampmann	iPSC_neuron	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_4_levels	8	ready_for_scoring	16	4	70.0	70.0	result_blind_contract_compiled	v3b	Tian_Kampmann|iPSC_neuron|CRISPRi
22	v3b_rescue_screen	norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	Norman_Weissman	K562_leukemia	CRISPRa	single_gene_nperts	gemgroup	recorded_gemgroup_holdout_8_levels	8	ready_for_scoring	16	8	70.0	70.0	result_blind_contract_compiled	v3b	Norman_Weissman|K562_leukemia|CRISPRa
23	v3b_rescue_screen	replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	Replogle_Weissman	RPE1_epithelial_cell_line	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_56_levels	8	ready_for_scoring	16	56	70.0	70.0	result_blind_contract_compiled	v3b	Replogle_Weissman|RPE1_epithelial_cell_line|CRISPRi
24	v3b_rescue_screen	lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_12_levels	8	ready_for_scoring	16	12	70.0	70.0	result_blind_contract_compiled	v3b	Lara_Astiaso_Huntly|bone_marrow_in_vivo|CRISPR_Cas9
27	v3c_rescue_screen	datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	datlinger2017	replicate	recorded_replicate_holdout_6_levels	8	ready_for_scoring	16	6	37.0	58.0	result_blind_contract_compiled	v3c	Datlinger_Bock|Jurkat_T_cell|CRISPR_Cas9
29	v3c_rescue_screen	dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	Dixit_Regev	K562_leukemia_high_moi	CRISPR_Cas9_high_MOI	generic_condition	guide_id	recorded_guide_holdout_1728_levels	8	ready_for_scoring	16	1729	34.0	70.0	result_blind_contract_compiled	v3c	Dixit_Regev|K562_leukemia_high_moi|CRISPR_Cas9_high_MOI
33	v3c_rescue_screen	nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	Nadig_OConner	HepG2_liver_cell_line	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	8	ready_for_scoring	16	56	70.0	70.0	result_blind_contract_compiled	v3c	Nadig_OConner|HepG2_liver_cell_line|CRISPR_Cas9
34	v3c_rescue_screen	nadig2024_jurkat	Human Jurkat CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_jurkat/NadigOConner2024_jurkat.h5ad	Nadig_OConner	Jurkat_T_cell	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	8	ready_for_scoring	16	55	70.0	70.0	result_blind_contract_compiled	v3c	Nadig_OConner|Jurkat_T_cell|CRISPR_Cas9
35	v3c_rescue_screen	lara2023_leukemia	Mouse leukemia in vivo CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/lara2023_leukemia/LaraAstiasoHuntly2023_leukemia.h5ad	Lara_Astiaso_Huntly	leukemia_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout	8	ready_for_scoring	16	13	70.0	70.0	result_blind_contract_compiled	v3c	Lara_Astiaso_Huntly|leukemia_in_vivo|CRISPR_Cas9
