priority	queue_role	candidate_id	platform	source_h5ad	laboratory_group	cell_context_class	perturbation_mechanism	adapter	split_column	split_strength	minimum_selected_units_gate	contract_status	n_selected_units	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	detail
1	primary_priority	papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	Papalexi_Satija	THP1_immune_state	CRISPR_Cas9	single_gene_nperts	hto	recorded_hash_tag_holdout_5_levels	8	ready_for_scoring	16	5	70.0	70.0	result_blind_contract_compiled
2	primary_priority	frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	Frangieh_Izar	melanoma_patient_model	CRISPR_Cas9	single_gene_nperts	MOI	recorded_moi_holdout_20_levels	8	ready_for_scoring	16	20	70.0	70.0	result_blind_contract_compiled
3	primary_priority	joung2023_hesc_tf_overexpression	Human hESC TF overexpression	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	Joung_Zhang	hESC	TF_overexpression	generic_condition	batch	recorded_batch_holdout_9_levels	8	below_minimum_units	0	9	0.0	0.0	result_blind_contract_compiled
4	primary_priority	xu2023_hek293_crispri	Human HEK293 CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	Xu_Cao	embryonic_kidney_cell_line	CRISPRi	single_gene_nperts	guide_id	recorded_guide_holdout_489_levels	8	ready_for_scoring	16	489	70.0	70.0	result_blind_contract_compiled
5	primary_priority	zhao2021_glioblastoma_drug	Human glioblastoma drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	Zhao_Sims	glioblastoma_patient_tissue	drug	generic_condition	library	recorded_library_holdout_43_levels	8	below_minimum_units	2	43	70.0	70.0	result_blind_contract_compiled
6	primary_priority	aissa2021_pc9_drug	Human PC9 xenograft drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/aissa2021_pc9_drug/AissaBenevolenskaya2021.h5ad	Aissa_Benevolenskaya	lung_cancer_cell_line	drug	generic_condition	batch	single_recorded_batch	8	metadata_contract_error	0	0			ValueError: at least two batches are required for held-out replication
7	primary_priority	lotfollahi2023_perturbation_atlas	Human A549 perturbation atlas	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/lotfollahi2023_perturbation_atlas/LotfollahiTheis2023.h5ad	Lotfollahi_Theis	multi_context_atlas	mixed	single_gene_nperts	RT_well	recorded_well_holdout_96_levels	8	below_minimum_units	6	96	70.0	70.0	result_blind_contract_compiled
8	primary_priority	weinreb2020_hematopoietic_cytokine	Mouse hematopoietic cytokine perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	Weinreb_Klein	hematopoietic_progenitor	cytokine	generic_condition	library_names	recorded_library_holdout_29_levels	8	ready_for_scoring	16	29	70.0	70.0	result_blind_contract_compiled
9	primary_priority	xie2017_stem_cell_perturbation	Mouse stem-cell genetic perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/xie2017_stem_cell_perturbation/XieHon2017.h5ad	Xie_Hon	stem_cell	genetic	single_gene_nperts	batch	recorded_batch_holdout_16_levels	8	below_minimum_units	1	16	22.0	22.0	result_blind_contract_compiled
10	primary_priority	gehring2019_neural_stem_drug	Mouse neural stem-cell drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/gehring2019_neural_stem_drug/GehringPachter2019.h5ad	Gehring_Pachter	neural_stem_cell	drug	generic_condition	batch	recorded_batch_holdout_4_levels	8	below_minimum_units	0	4	0.0	0.0	result_blind_contract_compiled
