dataset_id	platform	split_strength	analysis_unit	excluded_feature	repeat	method	n_per_group	n_evaluated_features	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_feature_spearman	pseudo_all_feature_spearman	split_seed	sampling_seed
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	0	pgaa_w	70	5000	0.09	0.12	-0.03	0.293622852320914	0.2782509824580392	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	0	pgaa_h	70	5000	0.02	0.07	-0.05	0.0743635706991116	0.0514023343217493	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	0	absolute_mean_shift	70	5000	0.05	0.08	-0.03	0.0709917427344849	0.0476327194961678	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	0	welch_abs_t	70	5000	0.04	0.02	0.02	0.0148308150415885	-0.010887243891751	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	1	pgaa_w	70	5000	0.11	0.08	0.03	0.2813530892381235	0.2886927030037081	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	1	pgaa_h	70	5000	0.01	0.01	0.0	0.0948506855349018	0.0446369128615433	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	1	absolute_mean_shift	70	5000	0.04	0.05	-0.01	0.062507472053799	0.0736896878186617	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	1	welch_abs_t	70	5000	0.0	0.01	-0.01	-0.0041928652557146	0.0032029424002714	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	2	pgaa_w	70	5000	0.11	0.09	0.02	0.2878076476723059	0.2798817373072694	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	2	pgaa_h	70	5000	0.01	0.0	0.01	0.0697153313829219	0.039339623400231	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	2	absolute_mean_shift	70	5000	0.1	0.08	0.02	0.0768447595790117	0.0581960296628247	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	2	welch_abs_t	70	5000	0.02	0.01	0.01	0.0059349373893974	-0.0116650678428826	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	3	pgaa_w	70	5000	0.09	0.06	0.03	0.2988535486581419	0.2917709862308394	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	3	pgaa_h	70	5000	0.05	0.02	0.03	0.0667149015779052	0.0515378010198157	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	3	absolute_mean_shift	70	5000	0.08	0.04	0.04	0.0624017008875562	0.0571169880766795	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	3	welch_abs_t	70	5000	0.04	0.04	0.0	-0.0185827341837553	-0.0032943016679301	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	4	pgaa_w	70	5000	0.16	0.07	0.09	0.2942023463600938	0.2676934440517377	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	4	pgaa_h	70	5000	0.05	0.02	0.03	0.0612960128071481	0.0729316852527879	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	4	absolute_mean_shift	70	5000	0.09	0.04	0.0499999999999999	0.0712141692714033	0.0460323612239231	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	ATF2g1	ATF2g1	4	welch_abs_t	70	5000	0.03	0.02	0.0099999999999999	0.0178748859794244	-0.0040083750404312	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	CAV1g3	CAV1g3	0	pgaa_w	70	5000	0.15	0.15	0.0	0.2794330657373226	0.29143175226527	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	CAV1g3	CAV1g3	0	pgaa_h	70	5000	0.02	0.04	-0.02	0.0581466778306258	0.066116289501522	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	recorded_hash_tag_holdout_5_levels	CAV1g3	CAV1g3	0	absolute_mean_shift	70	5000	0.09	0.1	-0.01	0.0643130780491536	0.060001047797802	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
