dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	A2M	absolute_mean_shift	0.05	0.07	-0.020000000000000004	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	A2M	pgaa_h	0.03	0.02	0.0	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	A2M	pgaa_w	0.06	0.07	-0.019999999999999997	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	A2M	welch_abs_t	0.02	0.02	-0.009999999999999998	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACSL3	absolute_mean_shift	0.1	0.06	0.03	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACSL3	pgaa_h	0.02	0.03	-0.009999999999999998	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACSL3	pgaa_w	0.11	0.07	0.039999999999999994	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACSL3	welch_abs_t	0.04	0.01	0.02	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACTA2	absolute_mean_shift	0.06	0.08	-0.020000000000000004	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACTA2	pgaa_h	0.01	0.02	-0.019999999999999997	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACTA2	pgaa_w	0.09	0.09	-0.01999999999999999	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	ACTA2	welch_abs_t	0.02	0.03	-0.010000000000000002	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	AEBP1	absolute_mean_shift	0.05	0.07	-0.020000000000000004	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	AEBP1	pgaa_h	0.03	0.03	0.0	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	AEBP1	pgaa_w	0.06	0.07	0.0	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	recorded_moi_holdout_20_levels	AEBP1	welch_abs_t	0.01	0.02	-0.01	5
