dataset_id	platform	source_h5ad	source_size_bytes	laboratory_group	cell_context_class	perturbation_mechanism	adapter	split_column	split_strength	ready_selected_units	source_available
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	0	Papalexi_Satija	THP1_immune_state	CRISPR_Cas9	single_gene_nperts	hto	recorded_hash_tag_holdout_5_levels	16	False
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	0	Frangieh_Izar	melanoma_patient_model	CRISPR_Cas9	single_gene_nperts	MOI	recorded_moi_holdout_20_levels	16	False
xu2023_hek293_crispri	Human HEK293 CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	0	Xu_Cao	embryonic_kidney_cell_line	CRISPRi	single_gene_nperts	guide_id	recorded_guide_holdout_489_levels	16	False
weinreb2020_hematopoietic_cytokine	Mouse hematopoietic cytokine perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	0	Weinreb_Klein	hematopoietic_progenitor	cytokine	generic_condition	library_names	recorded_library_holdout_29_levels	16	False
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	0	Tian_Kampmann	iPSC	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_2_levels	16	False
tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	0	Tian_Kampmann	iPSC_neuron	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_4_levels	16	False
norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	0	Norman_Weissman	K562_leukemia	CRISPRa	single_gene_nperts	gemgroup	recorded_gemgroup_holdout_8_levels	16	False
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	0	Replogle_Weissman	RPE1_epithelial_cell_line	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_56_levels	16	False
lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	0	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_12_levels	16	False
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	0	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	datlinger2017	replicate	recorded_replicate_holdout_6_levels	16	False
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	0	Dixit_Regev	K562_leukemia_high_moi	CRISPR_Cas9_high_MOI	generic_condition	guide_id	recorded_guide_holdout_1728_levels	16	False
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	0	Nadig_OConner	HepG2_liver_cell_line	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	16	False
nadig2024_jurkat	Human Jurkat CRISPR perturbation screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_jurkat/NadigOConner2024_jurkat.h5ad	0	Nadig_OConner	Jurkat_T_cell	CRISPR_Cas9	single_gene_nperts	batch	recorded_batch_holdout	16	False
lara2023_leukemia	Mouse leukemia in vivo CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/lara2023_leukemia/LaraAstiasoHuntly2023_leukemia.h5ad	0	Lara_Astiaso_Huntly	leukemia_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout	16	False
