dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	ATF2g1	all	ATF2g1	141	359	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CAV1g3	all	CAV1g3	86	223	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	2
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g1	all	CD86g1	106	295	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	3
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g3	all	CD86g3	70	199	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	4
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g4	all	CD86g4	85	223	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	5
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CMTM6g1	all	CMTM6g1	79	170	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	6
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CMTM6g3	all	CMTM6g3	83	252	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	7
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IFNGR1g1	all	IFNGR1g1	92	193	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	8
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IFNGR1g2	all	IFNGR1g2	73	286	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	9
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IFNGR1g3	all	IFNGR1g3	116	300	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	10
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IFNGR2g1	all	IFNGR2g1	147	432	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	11
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IFNGR2g2	all	IFNGR2g2	122	275	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	12
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	IRF1g1	all	IRF1g1	96	202	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	13
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	JAK2g1	all	JAK2g1	76	192	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	14
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	JAK2g2	all	JAK2g2	102	261	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	15
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	JAK2g4	all	JAK2g4	94	126	668	1718	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	16
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	A2M	all	A2M	1057	274	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	1
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	ACSL3	all	ACSL3	475	121	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	2
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	ACTA2	all	ACTA2	1145	313	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	3
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	AEBP1	all	AEBP1	1058	244	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	4
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	AGA	all	AGA	912	204	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	5
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	AHNAK	all	AHNAK	844	214	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	6
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	APOC2	all	APOC2	919	218	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	7
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	APOD	all	APOD	889	224	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	8
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	APOE	all	APOE	910	217	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	9
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	ARMC6	all	ARMC6	773	134	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	10
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	ATP1B1	all	ATP1B1	923	199	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	11
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	B2M	all	B2M	1098	281	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	12
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	BOLA2	all	BOLA2	547	136	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	13
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	BOLA2B	all	BOLA2B	532	146	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	14
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	BZW2	all	BZW2	805	168	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	15
frangieh2021_melanoma_crispr	Human melanoma CRISPR perturb-seq	C19orf48	all	C19orf48	960	166	49826	7779	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_moi_holdout_20_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	16
