dataset_id	platform	split_strength	analysis_unit	excluded_feature	repeat	method	n_per_group	n_evaluated_features	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_feature_spearman	pseudo_all_feature_spearman	split_seed	sampling_seed
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|stimulated	NFATC1	0	pgaa_w	65	999	0.1	0.1	0.0	0.03164962958950934	0.013831290208043712	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|stimulated	NFATC1	0	pgaa_h	65	999	0.07	0.11	-0.039999999999999994	0.04038194060198701	0.011148911070878436	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|stimulated	NFATC1	0	absolute_mean_shift	65	999	0.1	0.09	0.010000000000000009	-0.03277258420745394	-0.02144572628740965	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|stimulated	NFATC1	0	welch_abs_t	65	999	0.1	0.06	0.04000000000000001	-0.03834869739478958	-0.0335969837573044	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|stimulated	FOS	0	pgaa_w	63	999	0.17	0.16	0.010000000000000009	0.07244860892957085	0.131272587216475	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|stimulated	FOS	0	pgaa_h	63	999	0.06	0.13	-0.07	0.0254123939580671	0.024597966548560075	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|stimulated	FOS	0	absolute_mean_shift	63	999	0.13	0.14	-0.010000000000000009	0.027658427967045197	0.05066457238801927	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|stimulated	FOS	0	welch_abs_t	63	999	0.1	0.15	-0.04999999999999999	0.0070390510751232194	0.022122298651356766	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFKB1|stimulated	NFKB1	0	pgaa_w	63	999	0.16	0.11	0.05	0.09252036806345423	0.07046767408691257	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFKB1|stimulated	NFKB1	0	pgaa_h	63	999	0.13	0.11	0.020000000000000004	0.09852450024993988	0.005239449529861164	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFKB1|stimulated	NFKB1	0	absolute_mean_shift	63	999	0.11	0.09	0.020000000000000004	0.019155692766915207	0.04043421377289112	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFKB1|stimulated	NFKB1	0	welch_abs_t	63	999	0.11	0.08	0.03	0.011777224117905478	0.023085004844523877	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	EGR1|stimulated	EGR1	0	pgaa_w	61	999	0.15	0.12	0.03	0.07090079257614326	0.09289367925039266	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	EGR1|stimulated	EGR1	0	pgaa_h	61	999	0.13	0.07	0.06	0.00012089645446157371	0.029775987716308176	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	EGR1|stimulated	EGR1	0	absolute_mean_shift	61	999	0.14	0.1	0.04000000000000001	-0.000884983182235291	0.03780365535876557	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	EGR1|stimulated	EGR1	0	welch_abs_t	61	999	0.07	0.07	0.0	-0.020426943978046178	-0.007376266045604722	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|unstimulated	FOS	0	pgaa_w	60	999	0.12	0.1	0.01999999999999999	0.016039406139606537	0.07575080491312955	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|unstimulated	FOS	0	pgaa_h	60	999	0.12	0.16	-0.04000000000000001	0.052681013367625595	-0.0051796119271839405	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|unstimulated	FOS	0	absolute_mean_shift	60	999	0.11	0.11	0.0	-0.04029668369951124	0.03673209482027116	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	FOS|unstimulated	FOS	0	welch_abs_t	60	999	0.07	0.09	-0.01999999999999999	-0.05698360083530423	0.009726118904475615	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	JUND|stimulated	JUND	0	pgaa_w	55	999	0.04	0.1	-0.060000000000000005	0.03874321616205383	0.03331437650074924	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	JUND|stimulated	JUND	0	pgaa_h	55	999	0.15	0.14	0.009999999999999981	0.031228620996354373	-8.93679387536783e-06	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	JUND|stimulated	JUND	0	absolute_mean_shift	55	999	0.03	0.07	-0.04000000000000001	0.05725094633711867	-0.0036405664181215274	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	JUND|stimulated	JUND	0	welch_abs_t	55	999	0.12	0.08	0.039999999999999994	0.04178992218671577	-0.013369080503349038	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	BACH2|stimulated	BACH2	0	pgaa_w	54	999	0.16	0.11	0.05	0.09173077686905341	0.04564895556879524	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	BACH2|stimulated	BACH2	0	pgaa_h	54	999	0.16	0.1	0.06	0.04689678738237963	-0.01945115047478734	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	BACH2|stimulated	BACH2	0	absolute_mean_shift	54	999	0.15	0.09	0.06	-0.003155223359632177	0.007402276023518508	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	BACH2|stimulated	BACH2	0	welch_abs_t	54	999	0.14	0.08	0.06000000000000001	-0.018297375531844465	-0.006535232627416994	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|unstimulated	NFATC1	0	pgaa_w	50	999	0.11	0.1	0.009999999999999995	0.08672259834985284	0.10217022633856299	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|unstimulated	NFATC1	0	pgaa_h	50	999	0.13	0.11	0.020000000000000004	-0.017949642389647306	-0.009823880348981759	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|unstimulated	NFATC1	0	absolute_mean_shift	50	999	0.06	0.08	-0.020000000000000004	0.039592614658746916	0.06196344641234419	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	NFATC1|unstimulated	NFATC1	0	welch_abs_t	50	999	0.07	0.06	0.010000000000000009	0.016083566532464327	0.03821034260713619	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	RUNX2|stimulated	RUNX2	0	pgaa_w	49	999	0.13	0.14	-0.010000000000000009	0.07022358229973459	0.05072975981994017	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	recorded_replicate_holdout_6_levels	RUNX2|stimulated	RUNX2	0	pgaa_h	49	999	0.08	0.15	-0.06999999999999999	-0.0195826816996417	0.03954745761684207	pgaa-expansion-v3-ready-panel-v1	pgaa-expansion-v3-ready-panel-matched-controls-v1
