dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFATC1|stimulated	stimulated	NFATC1	65	81	301	404	65	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	FOS|stimulated	stimulated	FOS	68	63	301	404	63	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	2
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFKB1|stimulated	stimulated	NFKB1	63	93	301	404	63	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	3
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	EGR1|stimulated	stimulated	EGR1	61	73	301	404	61	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	4
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	FOS|unstimulated	unstimulated	FOS	62	60	267	348	60	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	5
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	JUND|stimulated	stimulated	JUND	55	55	301	404	55	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	6
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	BACH2|stimulated	stimulated	BACH2	54	64	301	404	54	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	7
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFATC1|unstimulated	unstimulated	NFATC1	50	60	267	348	50	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	8
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	RUNX2|stimulated	stimulated	RUNX2	56	49	301	404	49	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	9
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	BACH2|unstimulated	unstimulated	BACH2	46	53	267	348	46	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	10
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	DOK2|stimulated	stimulated	DOK2	46	59	301	404	46	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	11
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	JUNB|stimulated	stimulated	JUNB	46	61	301	404	46	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	12
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	DOK2|unstimulated	unstimulated	DOK2	45	49	267	348	45	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	13
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NR4A1|unstimulated	unstimulated	NR4A1	45	47	267	348	45	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	14
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	EGR1|unstimulated	unstimulated	EGR1	47	44	267	348	44	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	15
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	RELB|stimulated	stimulated	RELB	40	57	301	404	40	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	16
