dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	ATF2g1	all	ATF2g1	194	306	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	1
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	ATF2g2	all	ATF2g2	107	133	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	2
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	ATF2g4	all	ATF2g4	136	147	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	3
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CAV1g1	all	CAV1g1	87	152	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	4
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CAV1g3	all	CAV1g3	154	155	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	5
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g1	all	CD86g1	162	239	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	6
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g2	all	CD86g2	120	99	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	7
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g3	all	CD86g3	119	150	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	8
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CD86g4	all	CD86g4	157	151	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	9
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CMTM6g1	all	CMTM6g1	80	169	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	10
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CMTM6g2	all	CMTM6g2	97	136	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	11
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	CMTM6g3	all	CMTM6g3	164	171	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	12
papalexi2021_thp1_crispr	Human THP-1 ECCITE-seq CRISPR screen	ETV7g1	all	ETV7g1	126	146	954	1432	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_5_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	13
