priority	candidate_id	source_path	read_status	n_cells	n_features	obs_columns	var_columns	layers	matrix_source_audited	sample_min	sample_max	sample_integer_fraction
1	papalexi2021_thp1_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	readable_backed	20729	18649	"[""hto"", ""guide_id"", ""hto_barcode"", ""gdo_barcode"", ""perturbation"", ""tissue_type"", ""cell_line"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	12.0	1.0
2	frangieh2021_melanoma_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	readable_backed	218331	23712	"[""library_preparation_protocol"", ""perturbation_2"", ""MOI"", ""sgRNA"", ""UMI_count"", ""guide_id"", ""umap_x"", ""umap_y"", ""perturbation"", ""tissue_type"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""perturbation_type_2"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	5.0	1.0
3	joung2023_hesc_tf_overexpression	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	readable_backed	167947	37302	"[""ngenes"", ""percent_mito"", ""ncounts"", ""batch"", ""TF"", ""louvain"", ""perturbation"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""perturbation_type"", ""nperts"", ""percent_ribo""]"	"[""n_cells-0"", ""n_cells-1"", ""n_cells-2"", ""n_cells-3"", ""n_cells-4"", ""n_cells-5"", ""n_cells-6"", ""n_cells-7"", ""n_cells-8"", ""ncounts"", ""ncells""]"	[]	X	0.0	2.9053237438201904	0.9609375
4	xu2023_hek293_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	readable_backed	98315	59429	"[""perturbation"", ""ncounts"", ""nascent_UMI_counts"", ""nascent_ratio"", ""guide_id"", ""gRNA_UMI_counts"", ""nascent_MT_ratio"", ""Cell_cycle_phase"", ""whole_exon_ratio"", ""new_exon_ratio"", ""target"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""nperts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ncounts"", ""ncells""]"	"[""nascent_counts""]"	X	0.0	1.0	1.0
5	zhao2021_glioblastoma_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	readable_backed	165748	60725	"[""sample"", ""GEO"", ""Sample"", ""tissue"", ""age"", ""sex"", ""location"", ""diagnosis"", ""library"", ""dose_value"", ""dose_unit"", ""perturbation"", ""tissue_type"", ""cancer"", ""disease"", ""celltype"", ""organism"", ""perturbation_type"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts"", ""chembl-ID""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	4.0	1.0
6	aissa2021_pc9_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/aissa2021_pc9_drug/AissaBenevolenskaya2021.h5ad	readable_backed	119071	17820	"[""GEO"", ""time"", ""cell_line"", ""perturbation"", ""batch"", ""subseries"", ""replicate"", ""tissue_type"", ""cancer"", ""perturbation_type"", ""disease"", ""celltype"", ""organism"", ""nperts"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""chembl-ID""]"	"[""mt"", ""ribo"", ""ncounts"", ""ncells""]"	[]	X	0.0	1.0	1.0
7	lotfollahi2023_perturbation_atlas	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/lotfollahi2023_perturbation_atlas/LotfollahiTheis2023.h5ad	readable_backed	63430	58347	"[""perturbation"", ""Size_Factor"", ""ncounts"", ""RT_well"", ""Well"", ""nperts"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	4.0	1.0
8	weinreb2020_hematopoietic_cytokine	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	readable_backed	65075	25289	"[""library_names"", ""age"", ""celltype"", ""perturbation"", ""cancer"", ""organism"", ""disease"", ""tissue_type"", ""perturbation_type"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	8.400224685668945	0.9833984375
9	xie2017_stem_cell_perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/xie2017_stem_cell_perturbation/XieHon2017.h5ad	readable_backed	13283	26539	"[""disease"", ""cancer"", ""sex"", ""age"", ""tissue_type"", ""cell_line"", ""organism"", ""perturbation_type"", ""sample"", ""batch"", ""target"", ""guide_id"", ""perturbation"", ""nperts"", ""replicate"", ""filename"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_gene_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	290.0	1.0
10	gehring2019_neural_stem_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/gehring2019_neural_stem_drug/GehringPachter2019.h5ad	readable_backed	20382	13256	"[""batch"", ""disease"", ""cancer"", ""tissue_type"", ""celltype"", ""perturbation"", ""perturbation_2"", ""perturbation_3"", ""perturbation_4"", ""dose_unit"", ""dose_unit_2"", ""dose_unit_3"", ""dose_unit_4"", ""organism"", ""perturbation_type"", ""dose_value"", ""dose_value_2"", ""dose_value_3"", ""dose_value_4"", ""nperts"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	2.150949716567993	0.9326171875
