priority	candidate_id	queue_role	resolved_source_path	source_storage	status	size_bytes	expected_md5	observed_md5
1	papalexi2021_thp1_crispr	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	v3_usb	downloaded_and_verified	147215278	d9e8bfe20b0e7b0919be042e8fcf6d03	d9e8bfe20b0e7b0919be042e8fcf6d03
2	frangieh2021_melanoma_crispr	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/frangieh2021_melanoma_crispr/FrangiehIzar2021_RNA.h5ad	shared_v2_usb	verified_existing	1458928348	dc438f53c476a3dd562898654d48ed15	dc438f53c476a3dd562898654d48ed15
3	joung2023_hesc_tf_overexpression	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/joung2023_hesc_tf_overexpression/JoungZhang2023_combinatorial.h5ad	shared_v2_usb	verified_existing	834073300	e3d5f50d228b4d90652b6146e97c605c	e3d5f50d228b4d90652b6146e97c605c
4	xu2023_hek293_crispri	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xu2023_hek293_crispri/XuCao2023.h5ad	shared_v2_usb	verified_existing	336637209	3efb25a2927c5c228f04f783f18004d8	3efb25a2927c5c228f04f783f18004d8
5	zhao2021_glioblastoma_drug	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/zhao2021_glioblastoma_drug/ZhaoSims2021.h5ad	shared_v2_usb	verified_existing	586888140	2034fe859694fb5458a35cc37a8753c5	2034fe859694fb5458a35cc37a8753c5
6	aissa2021_pc9_drug	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/aissa2021_pc9_drug/AissaBenevolenskaya2021.h5ad	v3_usb	downloaded_and_verified	45919115	c1ee47cc82052c1eed78f3a2e3eea30c	c1ee47cc82052c1eed78f3a2e3eea30c
7	lotfollahi2023_perturbation_atlas	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/lotfollahi2023_perturbation_atlas/LotfollahiTheis2023.h5ad	v3_usb	downloaded_and_verified	235963662	2bde6413480830b290bacd2071a98bcb	2bde6413480830b290bacd2071a98bcb
8	weinreb2020_hematopoietic_cytokine	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	shared_v2_usb	verified_existing	228524613	5fbde4a188969399b18b5cd675807be4	5fbde4a188969399b18b5cd675807be4
9	xie2017_stem_cell_perturbation	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/xie2017_stem_cell_perturbation/XieHon2017.h5ad	v3_usb	downloaded_and_verified	117356359	e01981371cf726f3c7281aaf97500a90	e01981371cf726f3c7281aaf97500a90
10	gehring2019_neural_stem_drug	primary_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/gehring2019_neural_stem_drug/GehringPachter2019.h5ad	shared_v2_usb	verified_existing	73274146	8348716d9d00c9526be4f51748ea7b98	8348716d9d00c9526be4f51748ea7b98
11	gasperini2019_k562_enhancer_crispr	alternate_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/gasperini2019_k562_enhancer_crispr/GasperiniShendure2019_highMOI.h5ad	v3_usb	downloaded_and_verified	418337592	04e1af7562c1d0d2dd2f9d1cf01e3560	04e1af7562c1d0d2dd2f9d1cf01e3560
12	schraivogel2020_k562_tapseq	alternate_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v3/sources/schraivogel2020_k562_tapseq/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad	v3_usb	downloaded_and_verified	21815981	f3276b2ee09bc132fa7f471090b9094e	f3276b2ee09bc132fa7f471090b9094e
13	dixit2016_k562_tf_crispr	alternate_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/dixit2016_k562_tf_crispr/DixitRegev2016_K562_TFs_13_days.h5ad	shared_v2_usb	verified_existing	121166672	b594d224cf17b268cd7e02efc976cea7	b594d224cf17b268cd7e02efc976cea7
14	chang2021_pc9_drug	alternate_priority	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/chang2021_pc9_drug/ChangYe2021.h5ad	shared_v2_usb	verified_existing	501823050	9c68660b093ebb3611d114893766fc97	9c68660b093ebb3611d114893766fc97
