priority	queue_role	candidate_id	platform	source_h5ad	laboratory_group	cell_context_class	perturbation_mechanism	adapter	split_column	split_strength	minimum_selected_units_gate	contract_status	n_selected_units	n_recorded_split_levels	minimum_equal_group_size	maximum_equal_group_size	detail
15	v3b_rescue_screen	datlinger2021_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_384_levels	8	below_minimum_units	0	384	0.0	0.0	result_blind_contract_compiled
16	v3b_rescue_screen	srivatsan2020_sciplex2	Human A549 SciPlex-2 drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex2/SrivatsanTrapnell2020_sciplex2.h5ad	Srivatsan_Trapnell	cancer_cell_line	drug	generic_condition	well	recorded_well_holdout_192_levels	8	below_minimum_units	0	193	0.0	0.0	result_blind_contract_compiled
17	v3b_rescue_screen	srivatsan2020_sciplex4	Human A549 SciPlex-4 drug perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex4/SrivatsanTrapnell2020_sciplex4.h5ad	Srivatsan_Trapnell	cancer_cell_line	drug	generic_condition	well	recorded_well_holdout	8	metadata_contract_error	0	0			ValueError: metadata is missing batch column: well
18	v3b_rescue_screen	tian2019_ipsc_crispri	Human iPSC CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	Tian_Kampmann	iPSC	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_2_levels	8	ready_for_scoring	16	2	70.0	70.0	result_blind_contract_compiled
19	v3b_rescue_screen	tian2021_crispri	Human iPSC-derived neuron CRISPRi screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	Tian_Kampmann	iPSC_neuron	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_4_levels	8	ready_for_scoring	16	4	70.0	70.0	result_blind_contract_compiled
20	v3b_rescue_screen	adamson2016_10x001	Human K562 CRISPRi stress-response screen 10X001	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x001/AdamsonWeissman2016_GSM2406675_10X001.h5ad	Adamson_Weissman	K562_leukemia	CRISPRi	single_gene_nperts	perturbation	recorded_perturbation_holdout	8	below_minimum_units	0	10	0.0	0.0	result_blind_contract_compiled
21	v3b_rescue_screen	adamson2016_10x005	Human K562 CRISPRi stress-response screen 10X005	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x005/AdamsonWeissman2016_GSM2406677_10X005.h5ad	Adamson_Weissman	K562_leukemia	CRISPRi	single_gene_nperts	perturbation	recorded_perturbation_holdout	8	below_minimum_units	0	21	0.0	0.0	result_blind_contract_compiled
22	v3b_rescue_screen	norman2019_k562_crispra	Human K562 CRISPRa perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	Norman_Weissman	K562_leukemia	CRISPRa	single_gene_nperts	gemgroup	recorded_gemgroup_holdout_8_levels	8	ready_for_scoring	16	8	70.0	70.0	result_blind_contract_compiled
23	v3b_rescue_screen	replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	Replogle_Weissman	RPE1_epithelial_cell_line	CRISPRi	single_gene_nperts	batch	recorded_batch_holdout_56_levels	8	ready_for_scoring	16	56	70.0	70.0	result_blind_contract_compiled
24	v3b_rescue_screen	lara2023_bone_marrow_invivo	Mouse in vivo bone-marrow CRISPR-Cas9 perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	single_gene_nperts	sample	recorded_sample_holdout_12_levels	8	ready_for_scoring	16	12	70.0	70.0	result_blind_contract_compiled
25	v3b_rescue_screen	schiebinger2019_reprogramming_gse106340	Mouse reprogramming 2i state-transition perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schiebinger2019_reprogramming_gse106340/SchiebingerLander2019_GSE106340.h5ad	Schiebinger_Lander	cell_reprogramming	cytokine_state_transition	generic_condition	GSM	recorded_gsm_holdout_22_levels	8	below_minimum_units	0	22	0.0	0.0	result_blind_contract_compiled
26	v3b_rescue_screen	schraivogel2020_k562_tapseq_chr8	Human K562 TAP-seq chromosome 8 CRISPR screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schraivogel2020_k562_tapseq_chr8/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad	Schraivogel_Steinmetz	K562_leukemia	CRISPR_Cas9_TAPseq	single_gene_nperts	replicate	recorded_replicate_holdout_14_levels	8	below_minimum_units	0	14	0.0	0.0	result_blind_contract_compiled
