priority	candidate_id	source_study	laboratory_group	cell_context_class	perturbation_mechanism	source_file	rescue_reason	queue_role	size_bytes	source_url	source_md5	expression_outcome_status	metadata_gate_status	best_observed_units	reason
15	datlinger2021_jurkat_crispr	DatlingerBock2021	Datlinger_Bock	Jurkat_T_cell	CRISPR_Cas9	DatlingerBock2021.h5ad	small independent CRISPR perturb-seq file; likely has recorded replicate/control metadata	v3b_rescue_screen	33600780	https://zenodo.org/api/records/13350497/files/DatlingerBock2021.h5ad/content	5cfbcb4770e9c859a07b2cc44fd12066	not_scored_by_pgaa	below_minimum_units	0.0	no nperts=0 or explicit control rows under tested adapters
16	srivatsan2020_sciplex2	SrivatsanTrapnell2020	Srivatsan_Trapnell	cancer_cell_line	drug	SrivatsanTrapnell2020_sciplex2.h5ad	moderate-size drug screen with expected vehicle/dose structure	v3b_rescue_screen	145178504	https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex2.h5ad/content	12a48293a166a859f994551653a2ad8c	not_scored_by_pgaa	below_minimum_units	0.0	control/dose metadata present but held-out well/oligo split lacks matched controls for eligible units
17	srivatsan2020_sciplex4	SrivatsanTrapnell2020	Srivatsan_Trapnell	cancer_cell_line	drug	SrivatsanTrapnell2020_sciplex4.h5ad	second SciPlex design for metadata screening; not automatically counted as independent of sciplex2	v3b_rescue_screen	253335945	https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex4.h5ad/content	9335b581baba2df02ecf92eed4b56ad7	not_scored_by_pgaa	not_audited	not_tested	not_tested
18	tian2019_ipsc_crispri	TianKampmann2019	Tian_Kampmann	iPSC	CRISPRi	TianKampmann2019_iPSC.h5ad	human iPSC CRISPRi file with expected batch metadata	v3b_rescue_screen	350848489	https://zenodo.org/api/records/13350497/files/TianKampmann2019_iPSC.h5ad/content	8279484264b513fd0419dacdc639ecef	not_scored_by_pgaa	not_audited	not_tested	not_tested
19	tian2021_crispri	TianKampmann2021	Tian_Kampmann	iPSC_neuron	CRISPRi	TianKampmann2021_CRISPRi.h5ad	paired CRISPRi complement to existing CRISPRa design; screened as same-lab backup	v3b_rescue_screen	289389479	https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRi.h5ad/content	70d260cf5587fc09d759b9f3e32785c6	not_scored_by_pgaa	not_audited	not_tested	not_tested
20	adamson2016_10x001	AdamsonWeissman2016	Adamson_Weissman	K562_leukemia	CRISPRi	AdamsonWeissman2016_GSM2406675_10X001.h5ad	small CRISPRi stress-response file; useful for quick metadata gate	v3b_rescue_screen	34557246	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad/content	232f7e3756d41602bbe434b50662a76f	not_scored_by_pgaa	below_minimum_units	0.0	nperts=0 present but no independent recorded split supports matched perturbed/control holdout
21	adamson2016_10x005	AdamsonWeissman2016	Adamson_Weissman	K562_leukemia	CRISPRi	AdamsonWeissman2016_GSM2406677_10X005.h5ad	same study backup for split/control feasibility, not independent of adamson2016_10x001	v3b_rescue_screen	139059637	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad/content	8657391920e7f8b3e6fd52745777002a	not_scored_by_pgaa	not_audited	not_tested	not_tested
22	norman2019_k562_crispra	NormanWeissman2019	Norman_Weissman	K562_leukemia	CRISPRa	NormanWeissman2019_filtered.h5ad	known high-quality combinatorial perturb-seq benchmark; excluded from final if Replogle-family overlap is disallowed	v3b_rescue_screen	698680199	https://zenodo.org/api/records/13350497/files/NormanWeissman2019_filtered.h5ad/content	c870e6967d91c017d9da827bab183cd6	not_scored_by_pgaa	not_audited	not_tested	not_tested
23	replogle2022_rpe1_crispri	ReplogleWeissman2022	Replogle_Weissman	RPE1_epithelial_cell_line	CRISPRi	ReplogleWeissman2022_rpe1.h5ad	different cell type from K562 Replogle; treated as same-lab backup until independence audit	v3b_rescue_screen	1236886900	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_rpe1.h5ad/content	cc7f1ec50aeb3a3e1b4a6cfa713d80fa	not_scored_by_pgaa	not_audited	not_tested	not_tested
24	lara2023_bone_marrow_invivo	LaraAstiasoHuntly2023	Lara_Astiaso_Huntly	bone_marrow_in_vivo	CRISPR_Cas9	LaraAstiasoHuntly2023_invivo.h5ad	in vivo mouse perturbation context; same lab as v2 ex vivo file	v3b_rescue_screen	760312556	https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_invivo.h5ad/content	eb199e69f22f0a60646060b5ddba583e	not_scored_by_pgaa	not_audited	not_tested	not_tested
25	schiebinger2019_reprogramming_gse106340	SchiebingerLander2019	Schiebinger_Lander	cell_reprogramming	cytokine_state_transition	SchiebingerLander2019_GSE106340.h5ad	state-transition context distinct from perturb-seq screens; screened as same-lab backup	v3b_rescue_screen	378858726	https://zenodo.org/api/records/13350497/files/SchiebingerLander2019_GSE106340.h5ad/content	8d988c345930195ea6e64a05c762abb3	not_scored_by_pgaa	not_audited	not_tested	not_tested
26	schraivogel2020_k562_tapseq_chr8	SchraivogelSteinmetz2020	Schraivogel_Steinmetz	K562_leukemia	CRISPR_Cas9_TAPseq	SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad	small independent TAP-seq chromosome screen; same lab as chr11 backup	v3b_rescue_screen	21015792	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad/content	916e6b511e164f840c7835291f2bbd51	not_scored_by_pgaa	below_minimum_units	0.0	replicate metadata present but no explicit nperts=0/control rows
