dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	ATP5A1	all	ATP5A1	309	278	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	1
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	ATP5B	all	ATP5B	105	140	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	2
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	FECH	all	FECH	1021	1282	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	3
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	GSR	all	GSR	238	197	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	4
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	HACD2	all	HACD2	488	656	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	5
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	HMGCS1	all	HMGCS1	2524	2305	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	6
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	KIF1A	all	KIF1A	552	700	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	7
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	LSS	all	LSS	85	155	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	8
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	MAP3K12	all	MAP3K12	538	517	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	9
tian2019_ipsc_crispri	Human iPSC CRISPRi screen	MAT2A	all	MAT2A	12758	13031	5324	5363	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_2_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	10
