priority	candidate_id	source_path	read_status	n_cells	n_features	obs_columns	var_columns	layers	matrix_source_audited	sample_min	sample_max	sample_integer_fraction
15	datlinger2021_jurkat_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	readable_backed	39194	25904	"[""sample"", ""cell_line"", ""perturbation"", ""perturbation_2"", ""tissue_type"", ""cancer"", ""celltype"", ""disease"", ""organism"", ""perturbation_type"", ""perturbation_type_2"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	14.0	1.0
16	srivatsan2020_sciplex2	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex2/SrivatsanTrapnell2020_sciplex2.h5ad	readable_backed	24262	58347	"[""ncounts"", ""hash_umis"", ""pval_demultiplexing"", ""qval_demultiplexing"", ""top_to_second_best_ratio"", ""top_oligo"", ""perturbation"", ""dose_value"", ""well"", ""celltype"", ""cell_line"", ""cancer"", ""disease"", ""tissue_type"", ""organism"", ""perturbation_type"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts"", ""chembl-ID""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	8.0	1.0
17	srivatsan2020_sciplex4	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex4/SrivatsanTrapnell2020_sciplex4.h5ad	readable_backed	98437	58347	"[""hash_UMI_counts"", ""dose_value"", ""perturbation"", ""dose_value_2"", ""perturbation_2"", ""cell_line"", ""plate_id"", ""well_id"", ""celltype"", ""cancer"", ""disease"", ""tissue_type"", ""organism"", ""perturbation_type"", ""perturbation_type_2"", ""nperts"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""chembl-ID""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	4.0	1.0
18	tian2019_ipsc_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	readable_backed	275708	33752	"[""guide_id"", ""sgRNA_read_count"", ""sgRNA_umi_count"", ""perturbation"", ""tissue_type"", ""celltype"", ""cancer"", ""disease"", ""perturbation_type"", ""organism"", ""batch"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo""]"	"[""ensemble_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	1.0	1.0
19	tian2021_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	readable_backed	32300	33538	"[""guide_id"", ""perturbation"", ""tissue_type"", ""celltype"", ""cancer"", ""disease"", ""perturbation_type"", ""organism"", ""batch"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo"", ""percent_hemo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	13.0	1.0
20	adamson2016_10x001	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x001/AdamsonWeissman2016_GSM2406675_10X001.h5ad	readable_backed	5768	35635	"[""perturbation"", ""read count"", ""UMI count"", ""tissue_type"", ""cell_line"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	7.0	1.0
21	adamson2016_10x005	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x005/AdamsonWeissman2016_GSM2406677_10X005.h5ad	readable_backed	15006	32738	"[""perturbation"", ""read count"", ""UMI count"", ""tissue_type"", ""cell_line"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	8.0	1.0
22	norman2019_k562_crispra	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	readable_backed	111445	33694	"[""guide_id"", ""read_count"", ""UMI_count"", ""coverage"", ""gemgroup"", ""good_coverage"", ""number_of_cells"", ""tissue_type"", ""cell_line"", ""cancer"", ""disease"", ""perturbation_type"", ""celltype"", ""organism"", ""perturbation"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo""]"	"[""ensemble_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	30.0	1.0
23	replogle2022_rpe1_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	readable_backed	247914	8749	"[""batch"", ""gene"", ""gene_id"", ""transcript"", ""gene_transcript"", ""guide_id"", ""percent_mito"", ""UMI_count"", ""z_gemgroup_UMI"", ""core_scale_factor"", ""core_adjusted_UMI_count"", ""disease"", ""cancer"", ""cell_line"", ""sex"", ""age"", ""perturbation"", ""organism"", ""perturbation_type"", ""tissue_type"", ""ncounts"", ""ngenes"", ""nperts"", ""percent_ribo"", ""celltype""]"	"[""chr"", ""start"", ""end"", ""class"", ""strand"", ""length"", ""in_matrix"", ""mean"", ""std"", ""cv"", ""fano"", ""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	72.0	1.0
24	lara2023_bone_marrow_invivo	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	readable_backed	135836	32287	"[""time"", ""perturbation"", ""guide_id"", ""sample"", ""cellcycle_phase"", ""Mixscape_classification"", ""celltype"", ""organism"", ""disease"", ""cancer"", ""perturbation_type"", ""tissue_type"", ""tissue"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	20.0	1.0
