priority	candidate_id	queue_role	resolved_source_path	source_storage	status	size_bytes	expected_md5	observed_md5
15	datlinger2021_jurkat_crispr	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/datlinger2021_jurkat_crispr/DatlingerBock2021.h5ad	active_usb	verified_existing	33600780	5cfbcb4770e9c859a07b2cc44fd12066	5cfbcb4770e9c859a07b2cc44fd12066
16	srivatsan2020_sciplex2	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex2/SrivatsanTrapnell2020_sciplex2.h5ad	active_usb	verified_existing	145178504	12a48293a166a859f994551653a2ad8c	12a48293a166a859f994551653a2ad8c
17	srivatsan2020_sciplex4	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/srivatsan2020_sciplex4/SrivatsanTrapnell2020_sciplex4.h5ad	active_usb	downloaded_and_verified	253335945	9335b581baba2df02ecf92eed4b56ad7	9335b581baba2df02ecf92eed4b56ad7
18	tian2019_ipsc_crispri	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2019_ipsc_crispri/TianKampmann2019_iPSC.h5ad	active_usb	downloaded_and_verified	350848489	8279484264b513fd0419dacdc639ecef	8279484264b513fd0419dacdc639ecef
19	tian2021_crispri	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/tian2021_crispri/TianKampmann2021_CRISPRi.h5ad	active_usb	downloaded_and_verified	289389479	70d260cf5587fc09d759b9f3e32785c6	70d260cf5587fc09d759b9f3e32785c6
20	adamson2016_10x001	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x001/AdamsonWeissman2016_GSM2406675_10X001.h5ad	active_usb	verified_existing	34557246	232f7e3756d41602bbe434b50662a76f	232f7e3756d41602bbe434b50662a76f
21	adamson2016_10x005	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/adamson2016_10x005/AdamsonWeissman2016_GSM2406677_10X005.h5ad	active_usb	downloaded_and_verified	139059637	8657391920e7f8b3e6fd52745777002a	8657391920e7f8b3e6fd52745777002a
22	norman2019_k562_crispra	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/norman2019_k562_crispra/NormanWeissman2019_filtered.h5ad	active_usb	downloaded_and_verified	698680199	c870e6967d91c017d9da827bab183cd6	c870e6967d91c017d9da827bab183cd6
23	replogle2022_rpe1_crispri	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	active_usb	downloaded_and_verified	1236886900	cc7f1ec50aeb3a3e1b4a6cfa713d80fa	cc7f1ec50aeb3a3e1b4a6cfa713d80fa
24	lara2023_bone_marrow_invivo	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/lara2023_bone_marrow_invivo/LaraAstiasoHuntly2023_invivo.h5ad	active_usb	downloaded_and_verified	760312556	eb199e69f22f0a60646060b5ddba583e	eb199e69f22f0a60646060b5ddba583e
25	schiebinger2019_reprogramming_gse106340	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schiebinger2019_reprogramming_gse106340/SchiebingerLander2019_GSE106340.h5ad	active_usb	downloaded_and_verified	378858726	8d988c345930195ea6e64a05c762abb3	8d988c345930195ea6e64a05c762abb3
26	schraivogel2020_k562_tapseq_chr8	v3b_rescue_screen	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/schraivogel2020_k562_tapseq_chr8/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad	active_usb	verified_existing	21015792	916e6b511e164f840c7835291f2bbd51	916e6b511e164f840c7835291f2bbd51
