dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	EGR1|stimulated	stimulated	EGR1	76	58	419	286	58	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	1
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFATC1|stimulated	stimulated	NFATC1	88	58	419	286	58	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	2
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFKB1|stimulated	stimulated	NFKB1	102	54	419	286	54	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	3
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	RUNX2|stimulated	stimulated	RUNX2	54	51	419	286	51	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	4
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	FOS|stimulated	stimulated	FOS	83	48	419	286	48	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	5
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	BACH2|stimulated	stimulated	BACH2	73	45	419	286	45	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	6
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	JUND|stimulated	stimulated	JUND	68	42	419	286	42	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	7
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFATC3|stimulated	stimulated	NFATC3	43	42	419	286	42	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	8
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	REL|stimulated	stimulated	REL	58	42	419	286	42	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	9
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NR4A1|stimulated	stimulated	NR4A1	51	39	419	286	39	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	10
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	DOK2|stimulated	stimulated	DOK2	67	38	419	286	38	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	11
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	JUNB|stimulated	stimulated	JUNB	69	38	419	286	38	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	12
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	JUN|stimulated	stimulated	JUN	50	37	419	286	37	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	13
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	NFATC1|unstimulated	unstimulated	NFATC1	37	73	221	394	37	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	14
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	PTPN6|stimulated	stimulated	PTPN6	50	37	419	286	37	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	15
datlinger2017_jurkat_crispr	Human Jurkat T-cell CRISPR plus stimulation	RELB|stimulated	stimulated	RELB	60	37	419	286	37	True	descending_minimum_equal_group_size_then_unit_id	recorded_replicate_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/datlinger2017_jurkat_crispr/DatlingerBock2017.h5ad	16
dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	CREB1	all		1802	911	8522	1838	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_30_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	1
dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	E2F4	all		832	864	8522	1838	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_30_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	2
dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	EGR1	all		1448	827	8522	1838	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_30_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	3
dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	ELF1	all		1948	2272	8522	1838	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_30_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	4
dixit2016_k562_tf_7d	Human K562 TF CRISPR perturb-seq 7 days	ELK1	all		1837	896	8522	1838	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_30_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_7d/DixitRegev2016_K562_TFs_7_days.h5ad	5
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	CREB1	all		3625	2303	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	1
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	E2F4	all		2132	104	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	2
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	EGR1	all		1933	3161	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	3
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	ELF1	all		1636	4797	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	4
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	ELK1	all		2930	1941	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	5
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	ETS1	all		1534	1328	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	6
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	GABPA	all		1635	1265	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	7
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC1216445 + ELF1	all		82	95	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	8
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	IRF1	all		2239	347	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	9
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	NR2C2	all		2173	1940	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	10
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	YY1	all		2449	489	2906	7341	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	11
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC393453 + E2F4	all		71	63	2906	7341	63	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	12
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC393453 + ELF1	all		62	187	2906	7341	62	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	13
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC1144056 + ELF1	all		58	115	2906	7341	58	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	14
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC1216445 + ELK1	all		45	59	2906	7341	45	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	15
dixit2016_k562_tf_high_moi	Human K562 TF CRISPR perturb-seq high MOI	INTERGENIC1216445 + ETS1	all		38	34	2906	7341	34	True	descending_minimum_equal_group_size_then_unit_id	recorded_guide_holdout_1728_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/dixit2016_k562_tf_high_moi/DixitRegev2016_K562_TFs_High_MOI.h5ad	16
gasperini2019_lowmoi	Human K562 low-MOI enhancer CRISPRi screen	nan	all	nan	2221	2252	192	177	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_sample_holdout_6_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/gasperini2019_lowmoi/GasperiniShendure2019_lowMOI.h5ad	1
papalexi2021_arrayed_rna	Human THP-1 arrayed ECCITE-seq CRISPR RNA	ETV7	all	ETV7	799	990	985	1024	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_15_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/papalexi2021_arrayed_rna/PapalexiSatija2021_eccite_arrayed_RNA.h5ad	1
papalexi2021_arrayed_rna	Human THP-1 arrayed ECCITE-seq CRISPR RNA	PDL1	all	PDL1	36	199	985	1024	36	True	descending_minimum_equal_group_size_then_unit_id	recorded_hash_tag_holdout_15_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/papalexi2021_arrayed_rna/PapalexiSatija2021_eccite_arrayed_RNA.h5ad	2
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	ADAM10	all	ADAM10	77	84	2457	2519	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	1
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	ANAPC15	all	ANAPC15	97	103	2457	2519	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	2
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	BCAR1	all	BCAR1	174	172	2457	2519	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	3
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	BPTF	all	BPTF	128	114	2457	2519	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	4
nadig2024_hepg2	Human HepG2 CRISPR perturbation screen	BTF3	all	BTF3	96	116	2457	2519	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout	/Volumes/MOVESPEED/pgaa_cross_platform/v3c/sources/nadig2024_hepg2/NadigOConner2024_hepg2.h5ad	5
