evidence_type	severity	recommended_action	n_rows
adamson_decision_benchmark	high	report_as_failure_or_comparator_limit	13
adamson_decision_benchmark	low	allow_comparative_ranking_claim	9
adamson_decision_benchmark	moderate	allow_descriptive_claim_only	3
norman_decision_benchmark	high	report_as_failure_or_comparator_limit	4
norman_decision_benchmark	moderate	allow_descriptive_claim_only	8
s2_calibration	critical	s1_only	1
s2_calibration	high	s1_only	1
s2_calibration	low	interpretation_ready	1
s2_calibration	low	use_with_diagnostic	1
s2_calibration	moderate	prefer_s1	1
s2_calibration	very_high	s2_caution_only	1
s2_parameter_sensitivity	high	reject_for_primary_analysis	1
s2_parameter_sensitivity	low	eligible_default_with_controls	1
s2_parameter_sensitivity	very_high	do_not_tune_on_positive_case	4
