sheet	sample	adaptive_gene_count	replication_gene_count	adaptive_log1p_mean	replication_log1p_mean	axis_difference
raw_count_tolerance	VEH_PC9_parental	49	50	5.0354967370	6.9477457832	-1.9122490462
raw_count_tolerance	GEF_PC9_G01	49	50	6.0137340784	6.5600398421	-0.5463057637
raw_count_tolerance	AZD_PC9_A01	49	50	5.8062816592	6.2439362170	-0.4376545579
raw_count_tolerance	VEH_HCC827	49	50	4.9284081921	6.0076212153	-1.0792130231
raw_count_tolerance	GEF_HCC827	49	50	5.6078100427	5.9839607932	-0.3761507506
raw_count_tolerance	AZD_HCC827	49	50	5.6177622920	5.9985566468	-0.3807943547
raw_count_MIR21	Antictrl_H1975	49	50	4.6022859655	6.1061552302	-1.5038692647
raw_count_MIR21	AntiMIR21_H1975	49	50	4.5049218920	6.1762654005	-1.6713435085
raw_count_MIR21	Antictrl_PC9ER	49	50	5.1405473244	6.3351923849	-1.1946450604
raw_count_MIR21	AntiMIR21_PC9ER	49	50	5.4957033520	6.9042168420	-1.4085134899
raw_count_MIR21	Ctrl_HCC827	49	50	4.8503807556	5.7275880671	-0.8772073115
raw_count_MIR21	MIR21_HCC827	49	50	4.7902196239	5.5983183300	-0.8080987061
raw_count_MIR21	Ctrl_PC9	49	50	5.2086703377	6.7505333704	-1.5418630327
raw_count_MIR21	MIR21_PC9	49	50	4.9222586028	6.4424629812	-1.5202043784
raw_count_MIR21	Scr_AALE	49	50	4.3751416166	6.4145506005	-2.0394089839
raw_count_MIR21	MIR21_AALE	49	50	4.4775843443	6.5142889595	-2.0367046152
