gene,S2,n_peaks_on
GBP1,0.9460066489180811,5
CEACAM5,0.8450158629896375,6
RP11-16E23.4,0.8331490375722329,3
UCP2,0.7465450579084657,5
RP11-147I3.1,0.7172250470943983,4
RNU2-59P,0.7149333321714674,5
SLCO1B3,0.705470827519207,5
ZNF785,0.6849051687484302,6
GXYLT2,0.6837179252791393,5
TMEM128,0.6759902896931372,5
PSMB9,0.674619231407536,4
MUC20,0.6738384345179262,6
RPL17P50,0.6618065452799813,6
RP11-33B1.1,0.657917247935405,7
ARHGAP26-IT1,0.6511094716169055,4
RNU6-125P,0.6505360623597256,3
GLB1,0.647289825268085,3
BMP1,0.6404210879292698,5
RNFT2,0.6391641103421473,4
TBC1D32,0.6345557698969482,5
RP11-213H15.4,0.6116176894454405,5
CTD-2002H8.2,0.611526198015773,3
RP11-66B24.2,0.6111503610446571,5
C1S,0.6083192273838902,3
ZFYVE19,0.5863312346872879,7
ASS1,0.5826116971833527,4
CXorf23,0.5822798195929455,4
MIR616,0.5796271166897498,5
RNF144B,0.5776961623032534,5
FAM117B,0.5644935968123114,7
SMIM19,0.5590238277437026,7
CTB-13F3.1,0.5462940349075602,7
RP11-7F17.1,0.532225608338723,5
SNORA7,0.5297962942050024,6
UGT1A7,0.5281216068369643,6
RP11-363E7.4,0.5244351118002867,5
ACAD10,0.5240531049583114,7
JAK3,0.5235453962571379,2
HDHD2,0.5231950189114636,4
ZNF2,0.5123037650627872,3
SLC25A27,0.5049535076854744,6
ZNF550,0.5047868913982178,6
RP11-152P17.2,0.5028436909708011,5
ALG6,0.49969500729530836,6
RN7SL56P,0.4978195525798088,6
ARSG,0.49367742453390295,5
CTC-338M12.4,0.4924653064268739,6
CCDC121,0.4903334994824813,6
HNRNPA1P33,0.4895515757923986,5
C2ORF15,0.4880200031920892,7
PLCD4,0.4874539096701404,5
TTI2,0.484406260691179,5
RP11-690G19.3,0.4785358934645309,4
RANBP17,0.4681474371892215,7
CTD-3074O7.12,0.46352184278200304,7
MFSD1,0.4629367667458107,4
SP140L,0.45728023861517286,4
CA2,0.45464496495801576,6
ZBED5-AS1,0.45418210637814055,4
AC002558.1,0.45106734456630154,4
BIRC3,0.4416345818956222,2
SLC20A2,0.44005012230390966,5
PARP14,0.4399820066535665,7
RP11-1094M14.11,0.4394942894215773,6
FAM219B,0.4384714245872898,6
RP11-1035H13.3,0.4382967601029522,5
MORC2-AS1,0.43825176118695824,7
AC091038.1,0.43818422669676016,4
NIT1,0.43761471564146354,6
RP3-406A7.7,0.4355125348852554,6
CTD-2325M2.1,0.4330574128977008,7
RP11-818F20.5,0.43135747018193515,3
SGK1,0.4286577287811969,5
SNORD69,0.423012356744978,2
NFX1,0.4215976324807421,5
PIGC,0.4180904970464738,3
KIF11,0.417388582041234,7
LTBP1,0.41450742224768805,5
TMEM184C,0.4133380313783339,6
KRCC1,0.41282978481768606,5
IMMP2L,0.41259192003089334,5
AC008391.1,0.4109110327328281,4
AGPAT6,0.40830340310445085,6
INTS2,0.4081422861772678,5
