rank	gene_id	gene_symbol	locked_discovery_score	present_in_matrix	matrix_rank	coverage_role
1	ENSG00000118849	RARRES1	2.703015102232403	True	1.0	present
2	ENSG00000047457	CP	2.430843673219377	True	2.0	present
3	ENSG00000107159	CA9	2.0242206495990622	True	3.0	present
4	ENSG00000064787	BCAS1	1.935146996596194	True	4.0	present
5	ENSG00000099260	PALMD	1.8868939547697603	True	5.0	present
6	ENSG00000213931	HBE1	1.8680787924782831	True	6.0	present
7	ENSG00000168878	SFTPB	1.744595590949451	True	7.0	present
8	ENSG00000164741	DLC1	1.6653270295049112	True	8.0	present
9	ENSG00000105141	CASP14	1.6074674666427118	True	9.0	present
10	ENSG00000138449	SLC40A1	1.5027580841024246	True	10.0	present
11	ENSG00000133135	RNF128	1.4811709680973193	True	11.0	present
12	ENSG00000074410	CA12	1.3992107347613627	True	12.0	present
13	ENSG00000159167	STC1	1.24843619919819	True	13.0	present
14	ENSG00000182782	HCAR2	1.2144255293307225	True	14.0	present
15	ENSG00000167653	PSCA	1.193387842290115	True	15.0	present
16	ENSG00000143546	S100A8	1.1856050098380764	True	16.0	present
17	ENSG00000165821	SALL2	1.185436095631421	True	17.0	present
18	ENSG00000167183	PRR15L	1.161841139426265	True	18.0	present
19	ENSG00000134258	VTCN1	1.15561884916678	True	19.0	present
20	ENSG00000173175	ADCY5	1.1321034333611784	True	20.0	present
21	ENSG00000179023	KLHDC7A	1.1254821006711393	True	21.0	present
22	ENSG00000163701	IL17RE	1.092417019525429	True	22.0	present
23	ENSG00000204616	TRIM31	1.070405268429468	True	23.0	present
24	ENSG00000176945	MUC20	1.0467466475677436	True	24.0	present
25	ENSG00000226051	ZNF503-AS1	1.0428749274758218	True	25.0	present
26	ENSG00000167355	OR51B5	1.0342678432050951	True	26.0	present
27	ENSG00000198133	TMEM229B	1.0240593075414572	True	27.0	present
28	ENSG00000154928	EPHB1	1.0217196639035997	True	28.0	present
29	ENSG00000162949	CAPN13	1.018690677225631	True	29.0	present
30	ENSG00000115525	ST3GAL5	1.0113183765359717	True	30.0	present
31	ENSG00000231826	LINC01819	1.0004810779433382	False		missing
32	ENSG00000174514	SLC60A1	0.974499508393313	False		missing
33	ENSG00000118855	MFSD1	0.9573672686200144	True	33.0	present
34	ENSG00000263563	UBBP4	0.949362021531303	False		missing
35	ENSG00000106366	SERPINE1	0.94358452086411	True	35.0	present
36	ENSG00000127954	STEAP4	0.9241653631536204	True	36.0	present
37	ENSG00000253525	CPP	0.9168824022542108	False		missing
38	ENSG00000105519	CAPS	0.913548194267738	True	38.0	present
39	ENSG00000095596	CYP26A1	0.8958797346140275	True	39.0	present
40	ENSG00000072858	SIDT1	0.885882779680921	True	40.0	present
41	ENSG00000109107	ALDOC	0.8814156216005005	True	41.0	present
42	ENSG00000084110	HAL	0.8788800718049505	True	42.0	present
43	ENSG00000082684	SEMA5B	0.8762945993544493	True	43.0	present
44	ENSG00000156966	B3GNT7	0.8744645087372813	True	44.0	present
45	ENSG00000204950	LRRC10B	0.873209483603471	True	45.0	present
46	ENSG00000111341	MGP	0.8706775727532543	True	46.0	present
47	ENSG00000171476	HOPX	0.8652447840374101	True	47.0	present
48	ENSG00000132746	ALDH3B2	0.860664910120656	True	48.0	present
49	ENSG00000172478	MAB21L4	0.8587278884958653	False		missing
50	ENSG00000196917	HCAR1	0.8496039688057464	True	50.0	present
