drug	putative_target	n_cell_lines	screen_formats_per_line	spearman_rho	exact_one_sided_p	response_z_range	total_hit_calls	association_rank
AZD0156	ATM	4	2	1.0	0.041666666666666664	2.1518057756759603	3	1
Crizotinib	ALK	4	2	0.7999999999999999	0.16666666666666666	2.63293847039549	3	2
Quisinostat	HDAC	4	2	0.7999999999999999	0.16666666666666666	2.3073674134969493	1	3
AZD8835	PIK3CA	4	2	0.6000000000000001	0.20833333333333334	1.4616225676502779	3	4
AZD4547	FGFR	4	2	0.39999999999999997	0.375	0.46009096847906095	3	5
GSK591	PRMT5	4	2	0.19999999999999998	0.4583333333333333	2.7602454215559113	2	6
Selumetinib	MEK1/2	4	2	0.19999999999999998	0.4583333333333333	0.917506968677364	3	7
BMS-754807	IGF-IR	4	2	0.0	0.5416666666666666	1.7677028699598887	2	8
Abemaciclib	CDK4/6	4	2	0.0	0.5416666666666666	1.118161847099898	5	9
AZD2811	AURKB	4	2	0.0	0.5416666666666666	1.0771922546075132	3	10
Capivasertib	AKT	4	2	0.0	0.5416666666666666	0.8343056308419274	3	11
AZD8186	PIK3CB	4	2	-0.19999999999999998	0.625	1.141557251787383	3	12
Olaparib	PARP	4	2	-0.19999999999999998	0.625	0.9523629684543826	0	13
AZD4205	JAK1	4	2	-0.39999999999999997	0.7916666666666666	0.9077009676099136	0	14
RSL3	GPX4	4	2	-0.6000000000000001	0.8333333333333334	1.941061399247618	2	15
LY3298176	AURKA	4	2	-0.7999999999999999	0.9583333333333334	2.1311510257258552	3	16
AZ'5845	AXL	4	2	-0.7999999999999999	0.9583333333333334	1.504782442436895	0	17
RMC-4550	SHP2	4	2	-0.7999999999999999	0.9583333333333334	0.9334144545659907	0	18
AZD5153	BRD4	4	2	-1.0	1.0	2.1650794076246993	2	19
