Cell line	Drug ID	Putative target	Screen format	Avg. AUC DTP	Avg. AUC DTP Combination	Avg. AUC DMSO	Avg. AUC monotherapy	Combination activity	Monotherapy activity	Label	Screen hit status	combination_activity_z
H1975	Abemaciclib	CDK4/6	upfront	18969.0	5061.0	14522.0	13752.0	13908.0	770.0	Abemaciclib: CDK4/6	hit	0.6799124954451713
H1975	AZ'5845	AXL	upfront	15327.0	7070.0	26010.0	24380.0	8257.0	1630.0	AZ'5845: AXL	none	-0.31927642803570055
H1975	AZ'6197	ERK1/2	upfront	18969.0	13771.0	14522.0	17038.0	5198.0	-2516.0	AZ'6197: ERK1/2	none	-0.8601574963294516
H1975	AZ6102	Tankyrase	upfront	27804.0	11637.0	20657.0	19637.0	16167.0	1020.0	AZ6102: Tankyrase	hit	1.0793405220145023
H1975	AZD0156	ATM	upfront	23997.0	18081.0	26223.0	22297.0	5916.0	3926.0	AZD0156: ATM	none	-0.7332033913817846
H1975	AZD2811	AURKB	upfront	15327.0	4294.0	26010.0	24196.0	11033.0	1814.0	AZD2811: AURKB	hit	0.17156562674803688
H1975	AZD4205	JAK1	upfront	27164.0	18172.0	15857.0	17642.0	8992.0	-1785.0	AZD4205: JAK1	none	-0.18931644595138966
H1975	AZD4547	FGFR	upfront	18969.0	17770.0	14522.0	17389.0	1199.0	-2867.0	AZD4547: FGFR	none	-1.567245888649396
H1975	AZD5153	BRD4	upfront	18969.0	15925.0	14522.0	6025.0	3044.0	8497.0	AZD5153: BRD4	none	-1.2410198111724524
H1975	AZD8186	PIK3CB	upfront	27804.0	13651.0	20657.0	18561.0	14153.0	2096.0	AZD8186: PIK3CB	hit	0.7232324894732749
H1975	AZD8835	PIK3CA	upfront	27804.0	13603.0	20657.0	18243.0	14201.0	2414.0	AZD8835: PIK3CA	hit	0.73171967197674
H1975	BMS-754807	IGF-IR	upfront	28291.0	12497.0	16540.0	17562.0	15794.0	-1022.0	BMS-754807: IGF-IR	hit	1.0133880413104914
H1975	Capivasertib	AKT	upfront	15327.0	3990.0	26010.0	22452.0	11337.0	3558.0	Capivasertib: AKT	hit	0.22531778260331647
H1975	Crizotinib	ALK	upfront	27164.0	9331.0	15857.0	9866.0	17833.0	5991.0	Crizotinib: ALK	hit	1.3739164814056068
H1975	Dasatinib	SRC	upfront	18969.0	1440.0	14522.0	4985.0	17529.0	9537.0	Dasatinib: SRC	hit & mono. activity	1.3201643255503273
H1975	GSK591	PRMT5	upfront	27804.0	25708.0	20657.0	20405.0	2096.0	252.0	GSK591: PRMT5	none	-1.4086416656158902
H1975	K975	TEAD	upfront	23997.0	12097.0	26223.0	24838.0	11900.0	1385.0	K975: TEAD	hit	0.32486536071687705
H1975	LY3298176	AURKA	upfront	27804.0	23248.0	20657.0	20254.0	4556.0	403.0	LY3298176: AURKA	none	-0.9736735623132986
H1975	Olaparib	PARP	upfront	27164.0	21001.0	15857.0	12235.0	6163.0	3622.0	Olaparib: PARP	none	-0.6895297647493699
H1975	Quisinostat	HDAC	upfront	27804.0	5734.0	20657.0	8960.0	22070.0	11697.0	Quisinostat: HDAC	hit & mono. activity	2.1230871536385663
H1975	RMC-4550	SHP2	upfront	27164.0	17835.0	15857.0	17160.0	9329.0	-1303.0	RMC-4550: SHP2	none	-0.12972935212497774
H1975	RSL3	GPX4	upfront	15327.0	13426.0	26010.0	25155.0	1901.0	855.0	RSL3: GPX4	none	-1.4431208445362176
H1975	Selumetinib	MEK1/2	upfront	18969.0	10103.0	14522.0	17138.0	8866.0	-2616.0	Selumetinib: MEK1/2	none	-0.21159530002298582
HCC2935	Abemaciclib	CDK4/6	upfront	12748.0	9299.0	11459.0	8289.0	3449.0	3170.0	Abemaciclib: CDK4/6	none	-0.25381671265581474
HCC2935	AZ'5845	AXL	upfront	11050.0	6331.0	14515.0	13261.0	4719.0	1254.0	AZ'5845: AXL	none	0.09512601698490394
HCC2935	AZ'6197	ERK1/2	upfront	12748.0	9218.0	11459.0	12779.0	3530.0	-1320.0	AZ'6197: ERK1/2	none	-0.23156131021416262
HCC2935	AZ6102	Tankyrase	upfront	19044.0	6186.0	15413.0	14605.0	12858.0	808.0	AZ6102: Tankyrase	hit	2.331381825288691
HCC2935	AZD0156	ATM	upfront	29846.0	30563.0	19215.0	21018.0	-717.0	-1803.0	AZD0156: ATM	none	-1.3984587690993062
HCC2935	AZD2811	AURKB	upfront	12748.0	9004.0	11459.0	8433.0	3744.0	3026.0	AZD2811: AURKB	none	-0.17276308647942734
HCC2935	AZD4205	JAK1	upfront	29846.0	31456.0	19215.0	20783.0	-1610.0	-1568.0	AZD4205: JAK1	none	-1.6438177120671502
HCC2935	AZD4547	FGFR	upfront	12748.0	11767.0	11459.0	10978.0	981.0	481.0	AZD4547: FGFR	none	-0.9319195919891169
HCC2935	AZD5153	BRD4	upfront	12748.0	4313.0	11459.0	12963.0	8435.0	-1504.0	AZD5153: BRD4	none	1.1161269487525503
HCC2935	AZD8186	PIK3CB	upfront	10360.0	5798.0	13875.0	10785.0	4562.0	3090.0	AZD8186: PIK3CB	none	0.05198900237577573
HCC2935	AZD8835	PIK3CA	upfront	10360.0	4474.0	13875.0	11742.0	5886.0	2133.0	AZD8835: PIK3CA	none	0.41576866697759585
HCC2935	BMS-754807	IGF-IR	upfront	29846.0	22157.0	19215.0	20721.0	7689.0	-1506.0	BMS-754807: IGF-IR	none	0.9111574398454824
HCC2935	Capivasertib	AKT	upfront	12748.0	10308.0	11459.0	6508.0	2440.0	4951.0	Capivasertib: AKT	none	-0.5310475899845433
HCC2935	Crizotinib	ALK	upfront	29846.0	33380.0	19215.0	19328.0	-3534.0	-113.0	Crizotinib: ALK	none	-2.172452209570097
HCC2935	Dasatinib	SRC	upfront	10360.0	3809.0	13875.0	10387.0	6551.0	3488.0	Dasatinib: SRC	none	0.5984827734430116
HCC2935	GSK591	PRMT5	upfront	19044.0	16114.0	15413.0	16250.0	2930.0	-837.0	GSK591: PRMT5	none	-0.39641614311528955
HCC2935	K975	TEAD	upfront	11060.0	2026.0	17077.0	14205.0	9034.0	2872.0	K975: TEAD	none	1.2807070235988418
HCC2935	LY3298176	AURKA	upfront	27691.0	24157.0	12485.0	12503.0	3534.0	-18.0	LY3298176: AURKA	none	-0.23046227799482177
HCC2935	Olaparib	PARP	upfront	29846.0	26000.0	19215.0	20816.0	3846.0	-1601.0	Olaparib: PARP	none	-0.14473776488623577
HCC2935	Quisinostat	HDAC	upfront	10360.0	6237.0	13875.0	8247.0	4123.0	5628.0	Quisinostat: HDAC	none	-0.06862978369688215
HCC2935	RMC-4550	SHP2	upfront	29846.0	27184.0	19215.0	19065.0	2662.0	150.0	RMC-4550: SHP2	none	-0.47005130181112625
HCC2935	RSL3	GPX4	upfront	12748.0	6782.0	11459.0	11659.0	5966.0	-200.0	RSL3: GPX4	none	0.4377493113644128
HCC2935	Selumetinib	MEK1/2	upfront	19044.0	9548.0	15413.0	17846.0	9496.0	-2433.0	Selumetinib: MEK1/2	none	1.4076452449327097
HCC827	Abemaciclib	CDK4/6	upfront	25542.0	7893.0	48895.0	48517.0	17649.0	378.0	Abemaciclib: CDK4/6	hit	0.9557383527617241
HCC827	AZ'5845	AXL	upfront	27729.0	23914.0	23435.0	23017.0	3815.0	418.0	AZ'5845: AXL	none	-0.5932647521768244
HCC827	AZ'6197	ERK1/2	upfront	18976.0	9509.0	20031.0	19395.0	9467.0	636.0	AZ'6197: ERK1/2	none	0.039593824454133855
HCC827	AZ6102	Tankyrase	upfront	25542.0	7719.0	48895.0	48752.0	17823.0	143.0	AZ6102: Tankyrase	hit	0.9752212601102356
HCC827	AZD0156	ATM	upfront	20798.0	17445.0	21320.0	20728.0	3353.0	592.0	AZD0156: ATM	none	-0.6449952303090789
HCC827	AZD2811	AURKB	upfront	39553.0	15614.0	30859.0	30974.0	23939.0	-115.0	AZD2811: AURKB	hit	1.6600342563372243
HCC827	AZD4205	JAK1	upfront	20798.0	14954.0	21320.0	19533.0	5844.0	1787.0	AZD4205: JAK1	none	-0.36607613717607873
HCC827	AZD4547	FGFR	upfront	19044.0	7759.0	43928.0	46426.0	11285.0	-2498.0	AZD4547: FGFR	hit	0.24315661502651215
HCC827	AZD5153	BRD4	upfront	25542.0	12336.0	48895.0	42047.0	13206.0	6848.0	AZD5153: BRD4	hit & mono. activity	0.4582523909833541
HCC827	AZD8186	PIK3CB	upfront	13929.0	3911.0	27404.0	24931.0	10018.0	2473.0	AZD8186: PIK3CB	hit	0.10128969772442012
HCC827	AZD8835	PIK3CA	upfront	13929.0	10988.0	27404.0	27481.0	2941.0	-77.0	AZD8835: PIK3CA	none	-0.6911271718469336
HCC827	BMS-754807	IGF-IR	upfront	20798.0	23317.0	21320.0	21271.0	-2519.0	49.0	BMS-754807: IGF-IR	none	-1.3024873679553965
HCC827	Capivasertib	AKT	upfront	13929.0	9345.0	27404.0	28525.0	4584.0	-1121.0	Capivasertib: AKT	none	-0.5071592593549548
HCC827	Crizotinib	ALK	upfront	20798.0	14954.0	21320.0	19533.0	5844.0	1787.0	Crizotinib: ALK	none	-0.36607613717607873
HCC827	Dasatinib	SRC	upfront	39553.0	3887.0	30859.0	25600.0	35666.0	5259.0	Dasatinib: SRC	hit	2.9731150291877637
HCC827	GSK591	PRMT5	upfront	19044.0	23966.0	43928.0	45471.0	-4922.0	-1543.0	GSK591: PRMT5	none	-1.571553036682253
HCC827	K975	TEAD	upfront	23997.0	12097.0	34951.0	35000.0	11900.0	-49.0	K975: TEAD	hit	0.3120186151376302
HCC827	LY3298176	AURKA	upfront	18976.0	8157.0	20031.0	17404.0	10819.0	2627.0	LY3298176: AURKA	hit	0.1909782539667056
HCC827	Olaparib	PARP	upfront	20798.0	23712.0	21320.0	20699.0	-2914.0	621.0	Olaparib: PARP	none	-1.3467158070511551
HCC827	Quisinostat	HDAC	upfront	13929.0	4263.0	27404.0	25117.0	9666.0	2287.0	Quisinostat: HDAC	none	0.06187600009984523
HCC827	RMC-4550	SHP2	upfront	20798.0	13443.0	21320.0	14863.0	7355.0	6457.0	RMC-4550: SHP2	none	-0.1968883612933155
HCC827	RSL3	GPX4	upfront	27382.0	27071.0	35394.0	29107.0	311.0	6287.0	RSL3: GPX4	none	-0.9856101967123654
HCC827	Selumetinib	MEK1/2	upfront	25542.0	11064.0	48895.0	45830.0	14478.0	3065.0	Selumetinib: MEK1/2	hit	0.6006791619448861
PC9	Abemaciclib	CDK4/6	upfront	21337.0	6409.0	30578.0	29713.0	14928.0	865.0	Abemaciclib: CDK4/6	hit	1.0995210329349376
PC9	AZ'5845	AXL	upfront	17393.0	13109.67974	24440.5	24174.0	4283.320258	266.5	AZ'5845: AXL	none	-0.8761379023667293
PC9	AZD0156	ATM	upfront	20672.0	5992.566092	29563.0	30078.0	14679.43391	-515.0	AZD0156: ATM	hit	1.0533870177626568
PC9	AZD2811	AURKB	upfront	16134.0	2500.961583	27958.0	17624.0	13633.03842	10334.0	AZD2811: AURKB	hit & mono. activity	0.8591753881237701
PC9	AZD4205	JAK1	upfront	17834.0	14980.6534	21594.0	20838.0	2853.3466	756.0	AZD4205: JAK1	none	-1.1415418697145436
PC9	AZD4547	FGFR	upfront	14566.0	4375.40255	24131.0	24176.5	10190.59745	-45.5	AZD4547: FGFR	hit	0.2202562823854887
PC9	AZD5153	BRD4	upfront	17202.0	17784.03754	26717.0	26077.0	-582.03754	640.0	AZD5153: BRD4	none	-1.779151223578431
PC9	AZD8186	PIK3CB	upfront	10245.0	7908.504654	30580.0	28780.0	2336.495346	1800.0	AZD8186: PIK3CB	none	-1.2374697720034213
PC9	AZD8835	PIK3CA	upfront	18345.5	10462.22614	36000.0	35527.5	7883.27386	472.5	AZD8835: PIK3CA	none	-0.20798435779363394
