table_id	target_class	n_rows	rank_within_table	n_unique_cell_lines	n_unique_drugs	highlight
Supplementary_Data_1	AXL	32	1	7	4	False
Supplementary_Data_1	BRD4	24	2	7	2	False
Supplementary_Data_1	PIK3CB	22	3	7	1	False
Supplementary_Data_1	HDAC	22	4	7	2	True
Supplementary_Data_1	AURKB	21	5	7	1	False
Supplementary_Data_1	GPX4	20	6	7	2	False
Supplementary_Data_1	PIK3CA	20	7	7	2	False
Supplementary_Data_1	SRC	20	8	7	3	False
Supplementary_Data_1	CDK4/6	20	9	7	2	False
Supplementary_Data_1	IGF-IR	20	10	7	1	False
Supplementary_Data_1	AURKA	19	11	7	3	False
Supplementary_Data_1	ERK1/2	18	12	7	3	False
Supplementary_Data_1	MEK1/2	18	13	7	2	False
Supplementary_Data_1	Tankyrase	18	14	7	3	False
Supplementary_Data_1	TEAD	18	15	7	2	False
Supplementary_Data_1	AKT	18	16	7	1	False
Supplementary_Data_1	ATM	18	17	7	1	True
Supplementary_Data_1	SHP2	16	18	7	1	False
Supplementary_Data_1	FGFR	16	19	7	1	False
Supplementary_Data_1	ALK	16	20	7	2	False
Supplementary_Data_1	PARP	16	21	7	1	False
Supplementary_Data_1	PRMT5	14	22	7	1	False
Supplementary_Data_1	JAK1	14	23	7	1	False
Supplementary_Data_1	HER2	6	24	1	2	False
Supplementary_Data_1	CBP/P300	6	25	1	1	False
Supplementary_Data_1	Porcupine	4	26	1	1	False
Supplementary_Data_1	PKC	4	27	1	2	False
Supplementary_Data_1	ALK5	4	28	1	1	False
Supplementary_Data_1	PAK4	4	29	1	2	False
Supplementary_Data_1	BRD9	4	30	1	2	False
Supplementary_Data_1	ATR	4	31	1	1	False
Supplementary_Data_1	Wee1	4	32	1	1	False
Supplementary_Data_1	Complex I	4	33	1	1	False
Supplementary_Data_1	SIRT1	2	34	1	1	False
Supplementary_Data_1	Sos1	2	35	1	1	False
Supplementary_Data_1	TRPA1	2	36	1	1	False
Supplementary_Data_1	YAP	2	37	1	1	False
Supplementary_Data_1	SETD7	2	38	1	1	False
Supplementary_Data_1	ULK	2	39	1	1	False
Supplementary_Data_1	KDM5	2	40	1	1	False
Supplementary_Data_1	mTOR	2	41	1	1	False
Supplementary_Data_1	MET	2	42	1	1	False
Supplementary_Data_1	MCT4	2	43	1	1	False
Supplementary_Data_1	MCT1/4	2	44	1	1	False
Supplementary_Data_1	MCT1	2	45	1	1	False
Supplementary_Data_1	HMG-CoA reductase	2	46	1	1	False
Supplementary_Data_1	EZH2	2	47	1	1	False
Supplementary_Data_1	DNA-PK	2	48	1	1	False
Supplementary_Data_1	CHK1/2	2	49	1	1	False
Supplementary_Data_1	CDK7	2	50	1	1	False
Supplementary_Data_1	YES1	2	51	1	1	False
Supplementary_Data_2	AURKA	15	1	7	2	False
Supplementary_Data_2	CDK4/6	14	2	7	1	False
Supplementary_Data_2	AXL	14	3	7	1	False
Supplementary_Data_2	GPX4	14	4	7	1	False
Supplementary_Data_2	SHP2	14	5	7	1	False
Supplementary_Data_2	HDAC	14	6	7	1	True
Supplementary_Data_2	PARP	14	7	7	1	False
Supplementary_Data_2	PRMT5	14	8	7	1	False
Supplementary_Data_2	SRC	14	9	7	2	False
Supplementary_Data_2	ALK	14	10	7	1	False
Supplementary_Data_2	AKT	14	11	7	1	False
Supplementary_Data_2	IGF-IR	14	12	7	1	False
Supplementary_Data_2	PIK3CA	14	13	7	1	False
Supplementary_Data_2	PIK3CB	14	14	7	1	False
Supplementary_Data_2	BRD4	14	15	7	1	False
Supplementary_Data_2	FGFR	14	16	7	1	False
Supplementary_Data_2	JAK1	14	17	7	1	False
Supplementary_Data_2	AURKB	14	18	7	1	False
Supplementary_Data_2	ATM	14	19	7	1	True
Supplementary_Data_2	MEK1/2	14	20	7	1	False
Supplementary_Data_2	TEAD	12	21	6	1	False
Supplementary_Data_2	Tankyrase	12	22	6	1	False
Supplementary_Data_2	ERK1/2	12	23	6	1	False
