lead_drug	target_class	n_cell_lines	screen_formats_per_line	spearman_rho	exact_one_sided_p	response_z_range	total_hit_calls	association_rank	positive_tier	next_lower_positive_rho	positive_tier_margin_to_next	exact_significant_positive	replicate_rows	summary_rows	replicate_unique_cell_lines	summary_unique_cell_lines	replicate_unique_drugs	summary_unique_drugs	n_source_tables	source_landscape_rows	specificity_role
AZD0156	ATM	4	2	1.0	0.0416666666666666	2.1518057756759603	3	1	1.0	0.7999999999999999	0.20000000000000007	True	18	14	7	7	1	1	2	32	lead_exact_significant_positive
Crizotinib	ALK	4	2	0.7999999999999999	0.1666666666666666	2.63293847039549	3	2	2.0	0.6000000000000001	0.19999999999999984	False	16	14	7	7	2	1	2	30	runner_up_positive_tier
Quisinostat	HDAC	4	2	0.7999999999999999	0.1666666666666666	2.3073674134969493	1	3	2.0	0.6000000000000001	0.19999999999999984	False	22	14	7	7	2	1	2	36	runner_up_positive_tier
AZD8835	PIK3CA	4	2	0.6000000000000001	0.2083333333333333	1.461622567650278	3	4	3.0	0.3999999999999999	0.20000000000000018	False	20	14	7	7	2	1	2	34	weaker_positive_tier
AZD4547	FGFR	4	2	0.3999999999999999	0.375	0.4600909684790609	3	5	4.0	0.1999999999999999	0.2	False	16	14	7	7	1	1	2	30	weaker_positive_tier
GSK591	PRMT5	4	2	0.1999999999999999	0.4583333333333333	2.7602454215559113	2	6	5.0			False	14	14	7	7	1	1	2	28	weaker_positive_tier
Selumetinib	MEK1/2	4	2	0.1999999999999999	0.4583333333333333	0.917506968677364	3	7	5.0			False	18	14	7	7	2	1	2	32	weaker_positive_tier
BMS-754807	IGF-IR	4	2	0.0	0.5416666666666666	1.767702869959889	2	8				False	20	14	7	7	1	1	2	34	negative_or_inverse
Abemaciclib	CDK4/6	4	2	0.0	0.5416666666666666	1.118161847099898	5	9				False	20	14	7	7	2	1	2	34	negative_or_inverse
AZD2811	AURKB	4	2	0.0	0.5416666666666666	1.0771922546075132	3	10				False	21	14	7	7	1	1	2	35	negative_or_inverse
Capivasertib	AKT	4	2	0.0	0.5416666666666666	0.8343056308419274	3	11				False	18	14	7	7	1	1	2	32	negative_or_inverse
AZD8186	PIK3CB	4	2	-0.1999999999999999	0.625	1.141557251787383	3	12				False	22	14	7	7	1	1	2	36	negative_or_inverse
Olaparib	PARP	4	2	-0.1999999999999999	0.625	0.9523629684543826	0	13				False	16	14	7	7	1	1	2	30	negative_or_inverse
AZD4205	JAK1	4	2	-0.3999999999999999	0.7916666666666666	0.9077009676099136	0	14				False	14	14	7	7	1	1	2	28	negative_or_inverse
RSL3	GPX4	4	2	-0.6000000000000001	0.8333333333333334	1.941061399247618	2	15				False	20	14	7	7	2	1	2	34	negative_or_inverse
LY3298176	AURKA	4	2	-0.7999999999999999	0.9583333333333334	2.1311510257258552	3	16				False	19	15	7	7	3	2	2	34	negative_or_inverse
AZ'5845	AXL	4	2	-0.7999999999999999	0.9583333333333334	1.504782442436895	0	17				False	32	14	7	7	4	1	2	46	negative_or_inverse
RMC-4550	SHP2	4	2	-0.7999999999999999	0.9583333333333334	0.9334144545659908	0	18				False	16	14	7	7	1	1	2	30	negative_or_inverse
AZD5153	BRD4	4	2	-1.0	1.0	2.1650794076246993	2	19				False	24	14	7	7	2	1	2	38	negative_or_inverse
