group	n	adaptive_z_mean	replication_z_mean	axis_z_mean	axis_z_sd	axis_positive_n	axis_negative_n	axis_all_positive	axis_all_negative
PC9_t0	1	0.049221594158825745	0.6991308588178863	-0.6499092646590605		0	1	False	True
PC9_YAP_5SA	3	0.313084630750419	0.644143329072889	-0.33105869832247	0.011233705388605988	0	3	False	True
PC9_D	3	0.18531736463945545	0.5106600304092456	-0.3253426657697901	0.018304714889205372	0	3	False	True
PC9_YAP_WT	3	0.3364712628976021	0.5997009706824237	-0.2632297077848216	0.006448872373690496	0	3	False	True
PC9_EV	3	0.2878211960915134	0.5172459716668386	-0.22942477557532523	0.02243303599974919	0	3	False	True
PC9_YAP_S94A	3	0.3456543166990276	0.5585682768608353	-0.21291396016180772	0.012080554968622979	0	3	False	True
PC9-persister-Osi-d9	3	0.36305080820035923	0.4832277712809591	-0.12017696308059984	0.5371053316009867	2	1	False	False
PC9_d9	1	0.4424107542388699	0.2849646083563334	0.15744614588253647		1	0	True	False
PC9_O9	3	0.5429931985915273	0.28862524090757863	0.25436795768394865	0.0009089549947085226	3	0	True	False
PC9-persister-Osi-d9-VT	3	0.5316495906793883	0.2761833798832443	0.255466210796144	0.02297164035565941	3	0	True	False
PC9_d47	3	0.7217324526091446	0.42414534756465355	0.297587105044491	0.017397496725076195	3	0	True	False
PC9_O2	3	0.5762714445783026	0.2000318223730332	0.37623962220526935	0.0024112327933567494	3	0	True	False
