gene_id	display_name	description	source
ENSG00000118849	RARRES1	retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]	Ensembl_REST_lookup_id
ENSG00000047457	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	Ensembl_REST_lookup_id
ENSG00000107159	CA9	carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]	Ensembl_REST_lookup_id
ENSG00000064787	BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]	Ensembl_REST_lookup_id
ENSG00000099260	PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	Ensembl_REST_lookup_id
ENSG00000213931	HBE1	hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]	Ensembl_REST_lookup_id
ENSG00000168878	SFTPB	surfactant protein B [Source:HGNC Symbol;Acc:HGNC:10801]	Ensembl_REST_lookup_id
ENSG00000164741	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	Ensembl_REST_lookup_id
ENSG00000105141	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]	Ensembl_REST_lookup_id
ENSG00000138449	SLC40A1	solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	Ensembl_REST_lookup_id
ENSG00000133135	RNF128	ring finger protein 128 [Source:HGNC Symbol;Acc:HGNC:21153]	Ensembl_REST_lookup_id
ENSG00000074410	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	Ensembl_REST_lookup_id
ENSG00000159167	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	Ensembl_REST_lookup_id
ENSG00000182782	HCAR2	hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]	Ensembl_REST_lookup_id
ENSG00000167653	PSCA	prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500]	Ensembl_REST_lookup_id
ENSG00000143546	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	Ensembl_REST_lookup_id
ENSG00000165821	SALL2	spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]	Ensembl_REST_lookup_id
ENSG00000167183	PRR15L	proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]	Ensembl_REST_lookup_id
ENSG00000134258	VTCN1	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]	Ensembl_REST_lookup_id
ENSG00000173175	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	Ensembl_REST_lookup_id
