figure_id	panel_id	panel_title	source_kind	item_id	evidence_type	context	primary_method	state	stability_class	cross_dataset_status	x_group	y_value	secondary_value	n_methods	n_pgaa_methods	n_comparative_support	n_descriptive_only	n_failure_or_guardrail	label	allowed_manuscript_use
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	calibration_guardrail::calibration_support::low				calibration_support			calibration_guardrail	2.0							calibration_support (low)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	calibration_guardrail::failure_or_guardrail::critical				failure_or_guardrail			calibration_guardrail	1.0							failure_or_guardrail (critical)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	calibration_guardrail::failure_or_guardrail::high				failure_or_guardrail			calibration_guardrail	1.0							failure_or_guardrail (high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	calibration_guardrail::restricted_use::moderate				restricted_use			calibration_guardrail	1.0							restricted_use (moderate)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	calibration_guardrail::restricted_use::very_high				restricted_use			calibration_guardrail	1.0							restricted_use (very_high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	decision_benchmark::comparative_support::low				comparative_support			decision_benchmark	9.0							comparative_support (low)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	decision_benchmark::descriptive_only::moderate				descriptive_only			decision_benchmark	11.0							descriptive_only (moderate)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	decision_benchmark::failure_or_guardrail::high				failure_or_guardrail			decision_benchmark	17.0							failure_or_guardrail (high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	parameter_guardrail::calibration_support::low				calibration_support			parameter_guardrail	1.0							calibration_support (low)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	parameter_guardrail::failure_or_guardrail::high				failure_or_guardrail			parameter_guardrail	1.0							failure_or_guardrail (high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	parameter_guardrail::failure_or_guardrail::very_high				failure_or_guardrail			parameter_guardrail	4.0							failure_or_guardrail (very_high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	response_specificity_guardrail::comparative_support::low				comparative_support			response_specificity_guardrail	1.0							comparative_support (low)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	response_specificity_guardrail::failure_or_guardrail::high				failure_or_guardrail			response_specificity_guardrail	1.0							failure_or_guardrail (high)	
Figure 1	A_claim_state_distribution	Claim-state and guardrail distribution	claim_summary	response_specificity_guardrail::restricted_use::moderate				restricted_use			response_specificity_guardrail	2.0							restricted_use (moderate)	
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-H histogram-shape	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	adamson_decision_benchmark	0.833	0.0594	5	2	2	0	3	BHLHE40_pDS258 / supported_responder_state	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	PGAA-W Wasserstein	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	adamson_decision_benchmark	0.772	0.0208	5	2	2	0	3	CREB1_pDS269 / supported_responder_state	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	PGAA-H histogram-shape	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	adamson_decision_benchmark	0.769	0.0213	5	2	2	0	3	DDIT3_pDS263 / supported_responder_state	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	PGAA-W Wasserstein	supported_responder_state	pgaa_support_dependent_external_blocked	external_same_context_blocked	adamson_decision_benchmark	0.806	0.0223	5	2	1	3	1	SPI1_pDS255 / supported_responder_state	May support a bounded comparative ranking claim for this endpoint. | internal_only_no_external_replication_claim
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	PGAA-W Wasserstein	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	adamson_decision_benchmark	0.767	0.016	5	2	2	0	3	ZNF326_pDS262 / supported_responder_state	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	norman_decision_benchmark	0.6649999999999999	0.1243981526594456	4	1	0	1	3	CEBPA / provisional_responder_state	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	norman_decision_benchmark	0.6441666666666667	0.0153992895379165	4	1	0	4	0	CEBPE / provisional_responder_state	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	B_responder_state_units	Responder-state decision units	responder_state_unit	norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	norman_decision_benchmark	0.68403125	0.0251735559187905	4	1	0	3	1	KLF1 / provisional_responder_state	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	adamson_decision_benchmark::BHLHE40_pDS258	adamson_decision_benchmark	BHLHE40_pDS258	PGAA-H histogram-shape	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	leave_one_method_stable_external_concordant	5.0	0	5	2	2	0	3	BHLHE40_pDS258: 5/5 preserved	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	adamson_decision_benchmark::CREB1_pDS269	adamson_decision_benchmark	CREB1_pDS269	PGAA-W Wasserstein	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	leave_one_method_stable_external_concordant	5.0	0	5	2	2	0	3	CREB1_pDS269: 5/5 preserved	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	adamson_decision_benchmark::DDIT3_pDS263	adamson_decision_benchmark	DDIT3_pDS263	PGAA-H histogram-shape	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	leave_one_method_stable_external_concordant	5.0	0	5	2	2	0	3	DDIT3_pDS263: 5/5 preserved	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	adamson_decision_benchmark::ZNF326_pDS262	adamson_decision_benchmark	ZNF326_pDS262	PGAA-W Wasserstein	supported_responder_state	leave_one_method_stable_external_concordant	external_same_context_concordant	leave_one_method_stable_external_concordant	5.0	0	5	2	2	0	3	ZNF326_pDS262: 5/5 preserved	May support a bounded comparative ranking claim for this endpoint. | bounded_computational_same_context_replication_allowed
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	norman_decision_benchmark::CEBPA	norman_decision_benchmark	CEBPA	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	method_sensitive_external_blocked	3.0	1	4	1	0	1	3	CEBPA: 3/4 preserved	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	norman_decision_benchmark::CEBPE	norman_decision_benchmark	CEBPE	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	method_sensitive_external_blocked	3.0	1	4	1	0	4	0	CEBPE: 3/4 preserved	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	norman_decision_benchmark::KLF1	norman_decision_benchmark	KLF1	PGAA_S1_Wasserstein	provisional_responder_state	method_sensitive_external_blocked	external_same_context_blocked	method_sensitive_external_blocked	3.0	1	4	1	0	3	1	KLF1: 3/4 preserved	Report descriptively; do not use as a strong superiority claim. | internal_only_no_external_replication_claim
Figure 1	C_unit_stability	Leave-one-method and replication status	stability_summary	adamson_decision_benchmark::SPI1_pDS255	adamson_decision_benchmark	SPI1_pDS255	PGAA-W Wasserstein	supported_responder_state	pgaa_support_dependent_external_blocked	external_same_context_blocked	pgaa_support_dependent_external_blocked	4.0	1	5	2	1	3	1	SPI1_pDS255: 4/5 preserved	May support a bounded comparative ranking claim for this endpoint. | internal_only_no_external_replication_claim
