target_gene	pgaa_w_rank	pgaa_w_percentile	pgaa_h_rank	pgaa_h_percentile	absolute_mean_shift_rank	absolute_mean_shift_percentile	welch_abs_t_rank	welch_abs_t_percentile	mean_shift_top10pct	welch_top10pct	pgaa_w_beats_both_baselines	pgaa_h_beats_both_baselines	analysis_role
DERL2	714	0.0833819922924208	2	0.0002335630036202	544	0.06352913698470163	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
GMPS	60	0.0070068901086067	3167	0.3698470162326288	54	0.006306201097746117	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
RPLP1	1	0.0001167815018101	8413	0.982482774728483	1	0.00011678150181011328	1	0.00011678150181011328	True	True	True	False	post_pilot_exploratory_baseline_audit
VMP1	657	0.0767254466892444	4304	0.5026275837907276	493	0.057573280392385844	32	0.003737008057923625	True	True	False	False	post_pilot_exploratory_baseline_audit
DICER1	273	0.0318813499941609	1	0.0001167815018101	253	0.02954571995795866	1	0.00011678150181011328	True	True	False	True	post_pilot_exploratory_baseline_audit
HECTD1	79	0.0092257386429989	57	0.0066565456031764	51	0.005955856592315777	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
ILF3	27	0.003153100548873	1236	0.1443419362373	20	0.0023356300362022656	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
RPUSD3	185	0.0216045778348709	1	0.0001167815018101	165	0.019268947798668692	1	0.00011678150181011328	True	True	False	True	post_pilot_exploratory_baseline_audit
CWC15	338	0.0394721476118182	31	0.0036202265561135	322	0.03760364358285648	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
EIF3D	206	0.0240569893728833	1703	0.1988788975826229	190	0.022188485343921524	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
UBA2	98	0.0114445871773911	841	0.0982132430223052	99	0.011561368679201215	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
USP5	757	0.0884035968702557	14	0.0016349410253415	573	0.06691580053719491	2	0.00023356300362022657	True	True	False	False	post_pilot_exploratory_baseline_audit
ABCF1	81	0.0094593016466191	697	0.0813967067616489	66	0.007707579119467477	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
BCAS2	248	0.028961812448908	12	0.0014013780217213	227	0.026509400910895715	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
DNTTIP2	213	0.0248744598855541	26	0.0030363190470629	204	0.023823426369263108	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
LSM2	136	0.0158822842461754	4381	0.5116197594301063	127	0.014831250729884386	1	0.00011678150181011328	True	True	False	False	post_pilot_exploratory_baseline_audit
