candidate_dataset_id	target_gene	singlecell_h5ad	contract_status	expression_csv	metadata_csv	pgaa_s1_out	pgaa_s2_out	pgaa_command	allowed_claim_role	claim_use	denominator_rule
replogle_2022_k562_essential_generality	DERL2	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/DERL2.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/DERL2.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/metadata.csv --target DERL2 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/DERL2 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	GMPS	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/GMPS.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/GMPS.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/metadata.csv --target GMPS --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/GMPS --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	RPLP1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/RPLP1.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/RPLP1.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/metadata.csv --target RPLP1 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/RPLP1 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	VMP1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/VMP1.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/VMP1.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/metadata.csv --target VMP1 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/VMP1 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	DICER1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/DICER1.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/DICER1.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/metadata.csv --target DICER1 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/DICER1 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	HECTD1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/HECTD1.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/HECTD1.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/metadata.csv --target HECTD1 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/HECTD1 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	ILF3	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/ILF3.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/ILF3.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/metadata.csv --target ILF3 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/ILF3 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	RPUSD3	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/RPUSD3.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/RPUSD3.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/metadata.csv --target RPUSD3 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/RPUSD3 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	CWC15	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/CWC15.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/CWC15.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/metadata.csv --target CWC15 --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/CWC15 --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
replogle_2022_k562_essential_generality	EIF3D	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/metadata.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/EIF3D.s1.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/EIF3D.s2.csv	python3 -m pgaa.cli --expression /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/expression.csv --metadata /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/metadata.csv --target EIF3D --out-prefix /Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/EIF3D --group-column group --perturbed-value perturbed --control-value control --n-perms 2000 --n-bins 20 --target-only-permutation-p	cross_target_generality_only_not_same_target_replication	cross_target_generality_execution_not_replication	all_16_locked_targets_including_failures
