candidate_dataset_id	target_gene	singlecell_h5ad	contract_status	extraction_status	n_perturbed_cells	n_control_cells	n_control_cells_available	n_genes	expression_csv	metadata_csv	label_columns_used	control_sampling	claim_use	next_action
replogle_2022_k562_essential_generality	DERL2	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	124	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DERL2/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	GMPS	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	123	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/GMPS/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	RPLP1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	117	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPLP1/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	VMP1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	106	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/VMP1/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	DICER1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	158	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/DICER1/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	HECTD1	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	130	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/HECTD1/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	ILF3	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	138	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/ILF3/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	RPUSD3	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	164	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/RPUSD3/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	CWC15	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	184	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/CWC15/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
replogle_2022_k562_essential_generality	EIF3D	/Volumes/MOVESPEED/claude code大电脑备份data/data/data/replogle_2022_k562_essential.h5ad	ready_for_pgaa_input_extraction	extracted_pgaa_cli_inputs	186	1000	10691	8563	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/expression.csv	/Volumes/MOVESPEED/pgaa_replogle/essential_generality_v1/EIF3D/metadata.csv	gene	sha256:pgaa-generality-controls-v1:max=1000:exact=True:metadata=batch	input_extraction_not_replication	Run the PGAA command in the external claim-state contract.
