target_gene	n_target_cells	n_target_batches	target_gene_measured	excluded_current_target	eligible	selection_stratum	selection_order_sha256	selected	n_control_cells	n_control_batches	allowed_claim_role
DERL2	124	42	True	False	True	Q1	0060d33e2bf12ea5178239a169954937c60fbe25f05ac4127e4d56f0b72e184a	True	10691	48	cross_target_generality_only_not_same_target_replication
GMPS	123	44	True	False	True	Q1	031045a8537506fc2eac08c98007728a6d289bfbbe9b6df5c171e8c012906091	True	10691	48	cross_target_generality_only_not_same_target_replication
RPLP1	117	44	True	False	True	Q1	04028873417a21cbb7f3fff831b1e4912c1d2a23c638bfb56a0fe5b381c3d2e9	True	10691	48	cross_target_generality_only_not_same_target_replication
VMP1	106	42	True	False	True	Q1	00a52d2c313e34754c0d5d826b94637feefe436be516dfff503c09416e84e9a7	True	10691	48	cross_target_generality_only_not_same_target_replication
DICER1	158	46	True	False	True	Q2	0155b4d30b079ab510f59c58556f0ba8acf10cfb34b0ec7503f0cbf085871088	True	10691	48	cross_target_generality_only_not_same_target_replication
HECTD1	130	45	True	False	True	Q2	0043cd438a37b066fa495b15090e617fbdc2e85c62842213027b6395582370ed	True	10691	48	cross_target_generality_only_not_same_target_replication
ILF3	138	47	True	False	True	Q2	0128a4bfb2a78e3920ed813adbc433f8412399b57006747c8fb1a59c29549468	True	10691	48	cross_target_generality_only_not_same_target_replication
RPUSD3	164	45	True	False	True	Q2	0049440ed5a558cccb2034c0f829b423188a10627c0f657d0ca26d489ddc640c	True	10691	48	cross_target_generality_only_not_same_target_replication
CWC15	184	48	True	False	True	Q3	032b3bbbf2233363e6f7768c85f75b424fefcbe6993a44188ae9ec5ce993eb31	True	10691	48	cross_target_generality_only_not_same_target_replication
EIF3D	186	47	True	False	True	Q3	016d8794b35c1f528ebed64e1cc0d9e6eedc2b83caa331cd89b27517fbc73b3e	True	10691	48	cross_target_generality_only_not_same_target_replication
UBA2	172	47	True	False	True	Q3	00b1971f513944528ffda32567c982c99241849e12fe204ef8067e4ac3a79d3f	True	10691	48	cross_target_generality_only_not_same_target_replication
USP5	199	48	True	False	True	Q3	039e23ca87fc76286db5b208989663880aedb8140623e60efe87be7c3628f189	True	10691	48	cross_target_generality_only_not_same_target_replication
ABCF1	329	48	True	False	True	Q4	04fbb8691a003a0d36eafe8ea02d112c14a88f19a09ab47134a677203c543ea6	True	10691	48	cross_target_generality_only_not_same_target_replication
BCAS2	227	46	True	False	True	Q4	036bd75e16c99d24ef8dafa609ffebfa641c5559fddf9eecabe25fe9dc9e56bc	True	10691	48	cross_target_generality_only_not_same_target_replication
DNTTIP2	264	48	True	False	True	Q4	0435715557a2328c2491c3aed0e47ea74c94d34092b620f7c5b5e7f6d3bfecd6	True	10691	48	cross_target_generality_only_not_same_target_replication
LSM2	357	48	True	False	True	Q4	0188b7687c7d57f105e0f1aedb2e41b80e25cf7662aa9dbb1c95ddbc5d9d4bc5	True	10691	48	cross_target_generality_only_not_same_target_replication
