target_gene	n_target_cells	n_target_batches	target_gene_measured	excluded_current_target	eligible	selection_stratum	selection_order_sha256	selected	n_control_cells	n_control_batches	allowed_claim_role
AAAS	212	47	True	False	True	Q3	4634d7d15efd20b612e77bb3e0bc8d90eae32a48dc16ec77a320d70f253df097	False	10691	48	cross_target_generality_only_not_same_target_replication
AAMP	99	39	True	False	False	ineligible	a7d904897effdcd5e8e363c4f60e05d3745ee1af382d916f9b6a2fe6dc093695	False	10691	48	cross_target_generality_only_not_same_target_replication
AARS	40	29	True	False	False	ineligible	d649d83ceb2b2d2a0f7046d5cbae3bda522975670d9b4a1f5255e7e35d1a6d41	False	10691	48	cross_target_generality_only_not_same_target_replication
AARS2	181	48	True	False	True	Q3	ac9c68b4d4cb3f2e3f8864242832f0bd4ffab584974eebf7520633f94c30a97e	False	10691	48	cross_target_generality_only_not_same_target_replication
AASDHPPT	49	35	True	False	False	ineligible	a55d5ee23fb1511abe97fc381e217eed1f6684df120f826d38b370ce98bd0316	False	10691	48	cross_target_generality_only_not_same_target_replication
AATF	298	48	True	False	True	Q4	dc30a265ad68e4ca985d390101c38f869c518cd99366cfd39fac5cb9be02b1a6	False	10691	48	cross_target_generality_only_not_same_target_replication
ABCB10	51	31	True	False	False	ineligible	84a12267f22c9696b5b7e80d54875464cc0acb1fb08fe94585e8abc229af7ff6	False	10691	48	cross_target_generality_only_not_same_target_replication
ABCB7	199	48	True	False	True	Q3	b03de1a28db23f5aa32f0b5b28ff96977c2b12371b7c0e54fad708afd9300d11	False	10691	48	cross_target_generality_only_not_same_target_replication
ABCE1	249	47	True	False	True	Q4	3eef9714772a2af739742a9a4c1cbf9ca3ae5444a00baf73e434cef092b1b395	False	10691	48	cross_target_generality_only_not_same_target_replication
ABCF1	329	48	True	False	True	Q4	04fbb8691a003a0d36eafe8ea02d112c14a88f19a09ab47134a677203c543ea6	True	10691	48	cross_target_generality_only_not_same_target_replication
ABCG1	144	46	False	False	False	ineligible	a6541d9e1c3810aee6c49cb09741a515d3ebbeb6aa85aa8de535d4de38d986f4	False	10691	48	cross_target_generality_only_not_same_target_replication
ABHD11	49	29	True	False	False	ineligible	e59f8e2e17049e3d71a019cc7f09a9afd0b3482fc7e9167647e7b2b8bbe29d7e	False	10691	48	cross_target_generality_only_not_same_target_replication
ABHD17A	95	43	True	False	False	ineligible	f1534713693f37eaa24967e0efd1071ef05e4793c5903aa4e54aa0244387b1a8	False	10691	48	cross_target_generality_only_not_same_target_replication
ABT1	107	44	True	False	True	Q1	5fdc40c816cde96d5c71c383dc82e918e6c2e2967e7ecac8458fed77bae255f3	False	10691	48	cross_target_generality_only_not_same_target_replication
ACD	77	39	True	False	False	ineligible	0037702883ec832f7c5a1675cffca77e36429c094150daba77cba3f4c78896c4	False	10691	48	cross_target_generality_only_not_same_target_replication
ACIN1	191	47	True	False	True	Q3	bdc7353c195cddb86689b7a049301e988a55fb2f57625ffdca3a9b307b112e0b	False	10691	48	cross_target_generality_only_not_same_target_replication
ACOT12	180	47	False	False	False	ineligible	3de6843723705258ec5370eb19023b6d6cc060a391e5753d430fbb498987a058	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTB	168	48	True	False	True	Q3	e97f29595bc79c96682bc23b66c0472595ea29cec51fa7255cd619b98c8d9890	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTL6A	55	35	True	False	False	ineligible	c5a19a248674af1177353a4470acd8f130a3339e7f226e1313e1e2799db6b5a7	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR10	116	43	True	False	True	Q1	88a3ed092bdc48b58aa6b2c1bfadb14687640143d091fab2dc58580290019378	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR1A	143	46	True	False	True	Q2	09e029aecc33285d4a41a0e596725cab94d43b66911f6307970d632b03058ad6	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR1B	206	48	True	False	True	Q3	7d0470f867b9a3a840367968a2a9d096160020e959c4b44eb398ee729c4f9087	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR2	236	47	True	False	True	Q4	6f71b82b3a101c1988b127532bb1bacc5e05f406140a808dabd40ca886d7e728	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR3	118	44	True	False	True	Q1	11d8b6d88d44bfd5bd7055801f414784b17f95dd761f89d44c4ad18a1babff40	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR6	108	44	True	False	True	Q1	1a4110b46244b9da5216cbfd0c98e96e2a94424b8a7f3844c0db82c10ad6a077	False	10691	48	cross_target_generality_only_not_same_target_replication
ACTR8	252	47	True	False	True	Q4	7a555cbb60db1ee5194a549a981bf020bb2a39980b90daae7c4a952bf366fe2a	False	10691	48	cross_target_generality_only_not_same_target_replication
ADAT2	85	41	True	False	False	ineligible	5c1a664ddf019886c18c4330ae0e8cdf18fcf3ed9f1add9bf908fc9ea9f36271	False	10691	48	cross_target_generality_only_not_same_target_replication
ADAT3	125	42	False	False	False	ineligible	dfbde3b9fdcd27684a6d194e643639afd84ff1fd846552575bcfb68a89fbad0d	False	10691	48	cross_target_generality_only_not_same_target_replication
ADRM1	105	43	True	False	True	Q1	52a79e91676b3c63583c65f15a4955208495afc1834802955df80b95119b8a36	False	10691	48	cross_target_generality_only_not_same_target_replication
ADSL	133	45	True	False	True	Q2	698a6617817e066d854d8aa2f1eea7cd0ad1873e08f9281f6e88d0ceb4c51e04	False	10691	48	cross_target_generality_only_not_same_target_replication
AFG3L2	15	12	True	False	False	ineligible	e5dd966edd4bb1433dc834762dc813b6da9e44decde498bb5ec93f0d7a9970c7	False	10691	48	cross_target_generality_only_not_same_target_replication
AHCTF1	290	48	True	False	True	Q4	28fa9e17266259ef6041013f775665aeedc432e457d3b8931796f53092e0708b	False	10691	48	cross_target_generality_only_not_same_target_replication
AHCY	147	47	True	False	True	Q2	bfbc7292ffc9eba0fdb3bed56ec295f8905d1481a473649d0a2f5d32986c17e7	False	10691	48	cross_target_generality_only_not_same_target_replication
AIFM1	50	33	True	False	False	ineligible	c9361b90d8a02f5e56270073aa47398ef89bb50f8665d4d685f5a283ccf26b99	False	10691	48	cross_target_generality_only_not_same_target_replication
AKIRIN2	169	47	True	False	True	Q3	b006450dbe02b8cc211643509a0c518e6737f280c741ad9be1f15ff02215f826	False	10691	48	cross_target_generality_only_not_same_target_replication
ALDOA	78	35	True	False	False	ineligible	1577331f856643abeacd9a3efa9e27419e4eab6ef44fac28f4d1bd9d0448ba21	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG1	69	39	True	False	False	ineligible	db80b3c667443176cda5692e6df84ac97c8a07946a4c83de649277102eecaf9d	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG11	97	40	True	False	False	ineligible	79bb85f3abe054f3315c5526e3507a54bba7c78d870cf8c9b551255f3c7ea070	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG13	170	48	True	False	True	Q3	bcace341318e00828d549d06a1de9717101d237518d5de17371f97b1373768c5	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG14	183	47	True	False	True	Q3	2dc47ea93b827de9a085210a7eeeb60f43befcb817791b57c6f3f69748656c72	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG1L	216	46	False	False	False	ineligible	3f037d15b4ecea6c3d2acc2623f6d80a3d53ffed805329f2110b27e1c85d094b	False	10691	48	cross_target_generality_only_not_same_target_replication
ALG2	247	48	True	False	True	Q4	36c98858ef61c35a292602290eb91b745d9ea440768464a1a3123a943741c496	False	10691	48	cross_target_generality_only_not_same_target_replication
ALYREF	319	48	True	False	True	Q4	b1446b213ca29f97d06d357bff66755f6ee7e7c2304157a32b2bd3c44a291355	False	10691	48	cross_target_generality_only_not_same_target_replication
