target_gene	split_seed	analysis_role	method	status	n_discovery_batches	n_validation_batches	n_discovery_perturbed	n_discovery_control	n_validation_perturbed	n_validation_control	n_evaluated_genes	top_k	top_k_overlap	top_k_overlap_fraction	top_k_jaccard	hypergeom_p	all_gene_spearman_rho	median_validation_percentile_of_discovery_top_k	failure_reason	hypergeom_q_bh
DERL2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	53	499	71	501	8562	100	85	0.85	0.7391304347826086	1.440722169545316e-171	0.6669308905793029	0.0059565522074281705		3.841925785454176e-171
DERL2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	53	499	71	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	0.2822899272342726	0.4247839289885541		0.3730840192546508
DERL2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	53	499	71	501	8562	100	67	0.67	0.5037593984962406	1.1899433837665178e-116	0.3777795214286538	0.00823405746320953		1.730826740024026e-116
DERL2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	53	499	71	501	8562	100	7	0.07	0.03626943005181347	0.00015817781793167995	0.026405648415343933	0.46163279607568325		0.00021090375724223994
GMPS	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	65	499	58	501	8562	100	77	0.77	0.6260162601626016	1.8487235648684338e-145	0.6557999128241255	0.006248540060733474		1.8487235648684338e-145
GMPS	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	65	499	58	501	8562	100	3	0.03	0.015228426395939087	0.11154004701974338	0.2899399479149958	0.2737094136883905		0.19829341692398822
GMPS	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	65	499	58	501	8562	100	60	0.6	0.42857142857142855	1.783447419490244e-98	0.34722560676786124	0.009051623452464377		2.3779298926536588e-98
GMPS	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	65	499	58	501	8562	100	11	0.11	0.0582010582010582	1.8913524923945478e-08	0.055156804529680116	0.24048119598224715		3.0261639878312766e-08
RPLP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	59	499	58	501	8562	100	78	0.78	0.639344262295082	1.4854458078647013e-148	0.6727558096219536	0.006248540060733474		1.697652351845373e-148
RPLP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	59	499	58	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	0.29950763859665747	0.32527446858210696		0.3730840192546508
RPLP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	59	499	58	501	8562	100	75	0.75	0.6	2.1403196538188044e-139	0.4695079387296225	0.006248540060733474		4.892159208728696e-139
RPLP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	59	499	58	501	8562	100	12	0.12	0.06382978723404255	1.4787540631715734e-09	0.14738417595993883	0.09524643774818968		2.957508126343147e-09
VMP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	63	499	43	501	8562	100	81	0.81	0.680672268907563	4.116932873521691e-158	0.6332147980754224	0.006131744919411352		6.587092597634706e-158
VMP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	63	499	43	501	8562	100	1	0.01	0.005025125628140704	0.6932466887980352	0.28423837884623526	0.36317449194113527		0.6932466887980352
VMP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	63	499	43	501	8562	100	73	0.73	0.5748031496062992	1.7159553762463278e-133	0.2800251417173074	0.006715720626021958		3.4319107524926556e-133
VMP1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	63	499	43	501	8562	100	1	0.01	0.005025125628140704	0.6932466887980352	0.002634473429528322	0.463326325624854		0.6932466887980352
DICER1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	90	499	68	501	8562	100	77	0.77	0.6260162601626016	1.8487235648684338e-145	0.6430039463665488	0.006248540060733474		1.8487235648684338e-145
DICER1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	90	499	68	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	0.2633449390908771	0.337829946274235		0.3730840192546508
DICER1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	90	499	68	501	8562	100	54	0.54	0.3698630136986301	5.042204870616816e-84	0.3545634408290779	0.010219574865685588		5.042204870616816e-84
DICER1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	90	499	68	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	-0.023430128534292004	0.48458304134548		0.34821175130434073
HECTD1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	65	499	65	501	8562	100	79	0.79	0.6528925619834711	1.0780763921025166e-151	0.6375632002532644	0.006073347348750292		1.4374351894700222e-151
HECTD1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	65	499	65	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	0.2677859135482861	0.4118780658724597		0.3730840192546508
HECTD1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	65	499	65	501	8562	100	55	0.55	0.3793103448275862	2.3040725309224673e-86	0.31008118075648405	0.010102779724363468		2.4576773663172984e-86
HECTD1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	65	499	65	501	8562	100	3	0.03	0.015228426395939087	0.11154004701974338	-0.019990085898711298	0.5498131277738847		0.1274743394511353
ILF3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	76	499	62	501	8562	100	79	0.79	0.6528925619834711	1.0780763921025166e-151	0.6508494093985377	0.006657323055360897		1.4374351894700222e-151
ILF3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	76	499	62	501	8562	100	3	0.03	0.015228426395939087	0.11154004701974338	0.25278525698686294	0.3564587713151133		0.19829341692398822
ILF3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	76	499	62	501	8562	100	59	0.59	0.41843971631205673	5.3623068967893794e-96	0.3466871007401009	0.007650081756598925		6.599762334510006e-96
ILF3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	76	499	62	501	8562	100	15	0.15	0.08108108108108109	3.9242813849251527e-13	0.08177424160500758	0.19241999532819434		8.969786022686063e-13
RPUSD3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	91	499	73	501	8562	100	86	0.86	0.7543859649122807	4.46161098673013e-175	0.6402222958135189	0.0058981546367671105		1.4277155157536416e-174
RPUSD3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	91	499	73	501	8562	100	2	0.02	0.010101010101010102	0.32644851684781945	0.2654440105125249	0.35850268628825044		0.3730840192546508
RPUSD3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	91	499	73	501	8562	100	80	0.8	0.6666666666666666	7.039198374902612e-155	0.30427333805226403	0.006014949778089232		2.252543479968836e-154
