target_gene	method	repeat	status	n_discovery_per_group	n_validation_per_group	observed_top_k_overlap_fraction	pseudo_top_k_overlap_fraction	specificity_margin	observed_all_gene_spearman_rho	pseudo_all_gene_spearman_rho	analysis_role	failure_reason
DERL2	pgaa_w	0	complete	53	71	0.83	0.8	0.029999999999999916	0.6354192832315059	0.6156289534186759	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_h	0	complete	53	71	0.02	0.02	0.0	0.23379944058487556	0.25020928397932424	post_result_matched_control_specificity_stress_test	
DERL2	absolute_mean_shift	0	complete	53	71	0.65	0.59	0.06000000000000005	0.34035056551288884	0.25731851223621616	post_result_matched_control_specificity_stress_test	
DERL2	welch_abs_t	0	complete	53	71	0.08	0.0	0.08	0.03188273164702121	-0.012507606713973952	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_w	1	complete	53	71	0.84	0.76	0.07999999999999996	0.6552762723906017	0.6279309097681951	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_h	1	complete	53	71	0.02	0.03	-0.009999999999999998	0.2528692346450143	0.2338842545157119	post_result_matched_control_specificity_stress_test	
DERL2	absolute_mean_shift	1	complete	53	71	0.62	0.63	-0.010000000000000009	0.3764770872454638	0.3120177978759756	post_result_matched_control_specificity_stress_test	
DERL2	welch_abs_t	1	complete	53	71	0.06	0.04	0.019999999999999997	0.05267381917711168	0.008972620501896077	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_w	2	complete	53	71	0.84	0.85	-0.010000000000000009	0.6476146747255006	0.6280462827017731	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_h	2	complete	53	71	0.03	0.03	0.0	0.25586650174697445	0.23773980330104572	post_result_matched_control_specificity_stress_test	
DERL2	absolute_mean_shift	2	complete	53	71	0.64	0.44	0.2	0.38147438870219963	0.3080619403472208	post_result_matched_control_specificity_stress_test	
DERL2	welch_abs_t	2	complete	53	71	0.04	0.01	0.03	0.05372250678352365	0.01657050963193671	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_w	3	complete	53	71	0.87	0.82	0.050000000000000044	0.6447238069732899	0.6129364412101549	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_h	3	complete	53	71	0.04	0.02	0.02	0.26858380674475935	0.23055804361359108	post_result_matched_control_specificity_stress_test	
DERL2	absolute_mean_shift	3	complete	53	71	0.62	0.41	0.21000000000000002	0.347263478448195	0.25683895733215734	post_result_matched_control_specificity_stress_test	
DERL2	welch_abs_t	3	complete	53	71	0.05	0.04	0.010000000000000002	0.014602126846975538	-0.009251404806696083	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_w	4	complete	53	71	0.79	0.8	-0.010000000000000009	0.6428273305402507	0.6273553406081908	post_result_matched_control_specificity_stress_test	
DERL2	pgaa_h	4	complete	53	71	0.02	0.02	0.0	0.23881682313346655	0.252393537742895	post_result_matched_control_specificity_stress_test	
DERL2	absolute_mean_shift	4	complete	53	71	0.61	0.55	0.05999999999999994	0.35559575580573577	0.3004732599495256	post_result_matched_control_specificity_stress_test	
DERL2	welch_abs_t	4	complete	53	71	0.05	0.01	0.04	0.020327185043146068	0.0017324302379080204	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_w	0	complete	65	58	0.79	0.82	-0.029999999999999916	0.6346376145398075	0.619068006034804	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_h	0	complete	65	58	0.03	0.02	0.009999999999999998	0.2595164660069862	0.24869251754758231	post_result_matched_control_specificity_stress_test	
GMPS	absolute_mean_shift	0	complete	65	58	0.55	0.67	-0.12	0.30934366982071465	0.2741860144939601	post_result_matched_control_specificity_stress_test	
GMPS	welch_abs_t	0	complete	65	58	0.07	0.0	0.07	0.03234152288541465	-0.00656522825725768	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_w	1	complete	65	58	0.83	0.82	0.010000000000000009	0.6271809698245323	0.6141891546878113	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_h	1	complete	65	58	0.03	0.02	0.009999999999999998	0.26536236790284534	0.25715391663725706	post_result_matched_control_specificity_stress_test	
GMPS	absolute_mean_shift	1	complete	65	58	0.59	0.51	0.07999999999999996	0.2920762204609641	0.28127249930941917	post_result_matched_control_specificity_stress_test	
GMPS	welch_abs_t	1	complete	65	58	0.08	0.02	0.06	0.0029705181196529136	0.007583268839505535	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_w	2	complete	65	58	0.76	0.79	-0.030000000000000027	0.6420432304764884	0.6298728352484576	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_h	2	complete	65	58	0.03	0.0	0.03	0.27059466706489826	0.23893260774602285	post_result_matched_control_specificity_stress_test	
GMPS	absolute_mean_shift	2	complete	65	58	0.56	0.65	-0.08999999999999997	0.32629188833808176	0.32505617241489543	post_result_matched_control_specificity_stress_test	
GMPS	welch_abs_t	2	complete	65	58	0.04	0.02	0.02	0.03261991457721642	-0.03719734130921268	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_w	3	complete	65	58	0.78	0.82	-0.039999999999999925	0.6256921232320717	0.6115363938753373	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_h	3	complete	65	58	0.03	0.02	0.009999999999999998	0.24889991486278182	0.22309138023032937	post_result_matched_control_specificity_stress_test	
GMPS	absolute_mean_shift	3	complete	65	58	0.63	0.71	-0.07999999999999996	0.31075506838572925	0.28218885674698674	post_result_matched_control_specificity_stress_test	
GMPS	welch_abs_t	3	complete	65	58	0.06	0.01	0.049999999999999996	0.008506156322941643	-0.0008381245057902323	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_w	4	complete	65	58	0.78	0.8	-0.020000000000000018	0.6335072186538068	0.6205436333942163	post_result_matched_control_specificity_stress_test	
GMPS	pgaa_h	4	complete	65	58	0.01	0.0	0.01	0.25568054976530125	0.23968972808224348	post_result_matched_control_specificity_stress_test	
GMPS	absolute_mean_shift	4	complete	65	58	0.64	0.55	0.08999999999999997	0.30566369363757034	0.29505372098823635	post_result_matched_control_specificity_stress_test	
GMPS	welch_abs_t	4	complete	65	58	0.03	0.0	0.03	0.027746119573523156	-0.012216654291423455	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_w	0	complete	59	58	0.81	0.86	-0.04999999999999993	0.6575282896916803	0.6152527991068432	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_h	0	complete	59	58	0.04	0.01	0.03	0.27915743663476983	0.23649268853895272	post_result_matched_control_specificity_stress_test	
RPLP1	absolute_mean_shift	0	complete	59	58	0.77	0.67	0.09999999999999998	0.41825590914657934	0.2956878001953061	post_result_matched_control_specificity_stress_test	
RPLP1	welch_abs_t	0	complete	59	58	0.15	0.0	0.15	0.11187234524023909	0.0016109529857374406	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_w	1	complete	59	58	0.75	0.79	-0.040000000000000036	0.6573313975607844	0.615951019988416	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_h	1	complete	59	58	0.0	0.03	-0.03	0.26108382052313	0.2507066491684456	post_result_matched_control_specificity_stress_test	
RPLP1	absolute_mean_shift	1	complete	59	58	0.65	0.55	0.09999999999999998	0.41449890645736853	0.2840187749789033	post_result_matched_control_specificity_stress_test	
RPLP1	welch_abs_t	1	complete	59	58	0.12	0.03	0.09	0.09162342336842438	0.007469116537469128	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_w	2	complete	59	58	0.8	0.72	0.08000000000000007	0.6545977063761532	0.6234433369861735	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_h	2	complete	59	58	0.01	0.0	0.01	0.27020072816212815	0.23500233976307355	post_result_matched_control_specificity_stress_test	
RPLP1	absolute_mean_shift	2	complete	59	58	0.71	0.55	0.15999999999999992	0.3802060035738002	0.29715399092190753	post_result_matched_control_specificity_stress_test	
RPLP1	welch_abs_t	2	complete	59	58	0.08	0.01	0.07	0.07474282130693437	-0.02958894779075738	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_w	3	complete	59	58	0.77	0.8	-0.030000000000000027	0.6521428408106266	0.6091202610393449	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_h	3	complete	59	58	0.02	0.01	0.01	0.2721269398144256	0.24041144938734976	post_result_matched_control_specificity_stress_test	
RPLP1	absolute_mean_shift	3	complete	59	58	0.62	0.59	0.030000000000000027	0.39261785713340275	0.2624911648285878	post_result_matched_control_specificity_stress_test	
RPLP1	welch_abs_t	3	complete	59	58	0.07	0.02	0.05	0.04988347644190309	-0.00464643875795708	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_w	4	complete	59	58	0.78	0.77	0.010000000000000009	0.6544249940186077	0.6228591167658293	post_result_matched_control_specificity_stress_test	
RPLP1	pgaa_h	4	complete	59	58	0.02	0.01	0.01	0.26524012247868894	0.25020250831111224	post_result_matched_control_specificity_stress_test	
RPLP1	absolute_mean_shift	4	complete	59	58	0.62	0.55	0.06999999999999995	0.40476738899174686	0.3022719349317794	post_result_matched_control_specificity_stress_test	
RPLP1	welch_abs_t	4	complete	59	58	0.08	0.01	0.07	0.07060248881061283	0.004316526035848231	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_w	0	complete	63	43	0.82	0.88	-0.06000000000000005	0.6149573302009514	0.6131275035686203	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_h	0	complete	63	43	0.0	0.01	-0.01	0.25119885496443645	0.2540429147159062	post_result_matched_control_specificity_stress_test	
VMP1	absolute_mean_shift	0	complete	63	43	0.67	0.75	-0.07999999999999996	0.2955066306649628	0.3137390705851251	post_result_matched_control_specificity_stress_test	
VMP1	welch_abs_t	0	complete	63	43	0.01	0.0	0.01	-0.00035510130893173997	0.00442254843409979	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_w	1	complete	63	43	0.81	0.82	-0.009999999999999898	0.6234050466486929	0.6259442450364324	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_h	1	complete	63	43	0.0	0.02	-0.02	0.248832350795032	0.23453009581483802	post_result_matched_control_specificity_stress_test	
VMP1	absolute_mean_shift	1	complete	63	43	0.52	0.55	-0.030000000000000027	0.2938054004753397	0.3092679459792091	post_result_matched_control_specificity_stress_test	
VMP1	welch_abs_t	1	complete	63	43	0.0	0.01	-0.01	-0.014253547311420457	0.0070617585464758425	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_w	2	complete	63	43	0.79	0.74	0.050000000000000044	0.6274460266843117	0.6249142964445467	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_h	2	complete	63	43	0.02	0.01	0.01	0.2720449550501488	0.24331450183607226	post_result_matched_control_specificity_stress_test	
VMP1	absolute_mean_shift	2	complete	63	43	0.57	0.63	-0.06000000000000005	0.30509552424112635	0.33331249119131123	post_result_matched_control_specificity_stress_test	
VMP1	welch_abs_t	2	complete	63	43	0.0	0.0	0.0	0.0026902937936656435	-0.03539982718386746	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_w	3	complete	63	43	0.8	0.78	0.020000000000000018	0.624693172868052	0.6070951809452276	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_h	3	complete	63	43	0.02	0.0	0.02	0.24740141639340438	0.24207774286633668	post_result_matched_control_specificity_stress_test	
VMP1	absolute_mean_shift	3	complete	63	43	0.53	0.65	-0.12	0.32099296260721155	0.28862888198043946	post_result_matched_control_specificity_stress_test	
VMP1	welch_abs_t	3	complete	63	43	0.01	0.01	0.0	-0.0021599170639862372	-0.007663121481975413	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_w	4	complete	63	43	0.8	0.77	0.030000000000000027	0.6268491836363981	0.6171453637110138	post_result_matched_control_specificity_stress_test	
VMP1	pgaa_h	4	complete	63	43	0.0	0.05	-0.05	0.2525037409636073	0.2440782493329441	post_result_matched_control_specificity_stress_test	
VMP1	absolute_mean_shift	4	complete	63	43	0.61	0.54	0.06999999999999995	0.28289679090226144	0.2741835111489742	post_result_matched_control_specificity_stress_test	
VMP1	welch_abs_t	4	complete	63	43	0.04	0.02	0.02	-0.0023564758217617865	-0.007663592276823314	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_w	0	complete	90	68	0.86	0.8	0.05999999999999994	0.6372175614201395	0.6331651678497103	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_h	0	complete	90	68	0.02	0.0	0.02	0.24186624006852953	0.24565364093071967	post_result_matched_control_specificity_stress_test	
DICER1	absolute_mean_shift	0	complete	90	68	0.79	0.73	0.06000000000000005	0.3487218651477215	0.3076690155991861	post_result_matched_control_specificity_stress_test	
DICER1	welch_abs_t	0	complete	90	68	0.07	0.0	0.07	0.0572522424044187	-0.004351410964253443	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_w	1	complete	90	68	0.76	0.82	-0.05999999999999994	0.6209936682349689	0.6339988848677784	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_h	1	complete	90	68	0.01	0.0	0.01	0.23746982284977233	0.2613407619824368	post_result_matched_control_specificity_stress_test	
DICER1	absolute_mean_shift	1	complete	90	68	0.5	0.58	-0.07999999999999996	0.33355705991080314	0.3057967720129423	post_result_matched_control_specificity_stress_test	
DICER1	welch_abs_t	1	complete	90	68	0.01	0.01	0.0	-0.05289067005893645	0.009196025329682098	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_w	2	complete	90	68	0.81	0.83	-0.019999999999999907	0.6487185709111928	0.6257454863844062	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_h	2	complete	90	68	0.02	0.02	0.0	0.24818086101563894	0.2498189075438289	post_result_matched_control_specificity_stress_test	
DICER1	absolute_mean_shift	2	complete	90	68	0.74	0.6	0.14	0.38891054962921534	0.29618072881018565	post_result_matched_control_specificity_stress_test	
DICER1	welch_abs_t	2	complete	90	68	0.02	0.01	0.01	0.038752462373784005	-0.0030578112895867553	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_w	3	complete	90	68	0.75	0.87	-0.12	0.641456123637868	0.6271686234908687	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_h	3	complete	90	68	0.04	0.02	0.02	0.25982540559364653	0.2286046783974677	post_result_matched_control_specificity_stress_test	
DICER1	absolute_mean_shift	3	complete	90	68	0.54	0.54	0.0	0.35736093273728325	0.2860703775586533	post_result_matched_control_specificity_stress_test	
DICER1	welch_abs_t	3	complete	90	68	0.01	0.0	0.01	-0.021586025229975245	0.0193705849084423	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_w	4	complete	90	68	0.8	0.8	0.0	0.6266552044867266	0.6239249375226207	post_result_matched_control_specificity_stress_test	
DICER1	pgaa_h	4	complete	90	68	0.03	0.01	0.019999999999999997	0.2122668663720751	0.23632437642211965	post_result_matched_control_specificity_stress_test	
DICER1	absolute_mean_shift	4	complete	90	68	0.69	0.71	-0.020000000000000018	0.3656871138795672	0.31316387315719296	post_result_matched_control_specificity_stress_test	
DICER1	welch_abs_t	4	complete	90	68	0.01	0.02	-0.01	0.01052498163713779	0.016558164163720444	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_w	0	complete	65	65	0.76	0.8	-0.040000000000000036	0.6235133343919436	0.6159327435785401	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_h	0	complete	65	65	0.04	0.02	0.02	0.24900940042937716	0.2381326052907598	post_result_matched_control_specificity_stress_test	
HECTD1	absolute_mean_shift	0	complete	65	65	0.46	0.58	-0.11999999999999994	0.2708356754220421	0.25568076508136195	post_result_matched_control_specificity_stress_test	
HECTD1	welch_abs_t	0	complete	65	65	0.02	0.02	0.0	-0.010725251986951718	-0.02265324593838532	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_w	1	complete	65	65	0.8	0.8	0.0	0.6225974933501004	0.6225075420903639	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_h	1	complete	65	65	0.04	0.0	0.04	0.2500197958553268	0.2623902282217151	post_result_matched_control_specificity_stress_test	
HECTD1	absolute_mean_shift	1	complete	65	65	0.65	0.47	0.18000000000000005	0.28473008672242195	0.29387279445817194	post_result_matched_control_specificity_stress_test	
HECTD1	welch_abs_t	1	complete	65	65	0.01	0.02	-0.01	-0.01610388789092562	0.0177832240691992	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_w	2	complete	65	65	0.79	0.81	-0.020000000000000018	0.6312117407590585	0.641125359423943	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_h	2	complete	65	65	0.03	0.01	0.019999999999999997	0.2593146870991487	0.2480621556046481	post_result_matched_control_specificity_stress_test	
HECTD1	absolute_mean_shift	2	complete	65	65	0.47	0.62	-0.15000000000000002	0.277583595610765	0.34894163180223536	post_result_matched_control_specificity_stress_test	
HECTD1	welch_abs_t	2	complete	65	65	0.01	0.0	0.01	0.01646295629775749	-0.010031591887178186	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_w	3	complete	65	65	0.82	0.84	-0.020000000000000018	0.6323960039097776	0.6169782703415635	post_result_matched_control_specificity_stress_test	
HECTD1	pgaa_h	3	complete	65	65	0.08	0.01	0.07	0.26737798873275637	0.2417755835641445	post_result_matched_control_specificity_stress_test	
HECTD1	absolute_mean_shift	3	complete	65	65	0.63	0.63	0.0	0.3167318469001465	0.27422471462930414	post_result_matched_control_specificity_stress_test	
