target_gene	method	median_observed_top_k_overlap_fraction	median_pseudo_top_k_overlap_fraction	median_specificity_margin	median_observed_all_gene_spearman_rho	median_pseudo_all_gene_spearman_rho	n_repeats
ABCF1	absolute_mean_shift	0.59	0.6	-0.010000000000000009	0.3289553108443173	0.2936191957199806	5
ABCF1	pgaa_h	0.04	0.03	0.02	0.2540301686476233	0.24168193963460208	5
ABCF1	pgaa_w	0.79	0.81	-0.039999999999999925	0.6412383597515373	0.6369220924931319	5
ABCF1	welch_abs_t	0.06	0.01	0.06	0.024868400083221588	0.007415872558590453	5
BCAS2	absolute_mean_shift	0.75	0.57	0.21000000000000002	0.48305928292050737	0.2797143297984564	5
BCAS2	pgaa_h	0.05	0.03	0.020000000000000004	0.28315529566788766	0.24673890183467087	5
BCAS2	pgaa_w	0.83	0.8	0.0	0.6813194368908547	0.6321323589464937	5
BCAS2	welch_abs_t	0.41	0.02	0.39999999999999997	0.23882586211600046	-0.0034753779930298437	5
CWC15	absolute_mean_shift	0.89	0.56	0.31999999999999995	0.5185396720610123	0.2899542483587168	5
CWC15	pgaa_h	0.04	0.02	0.009999999999999998	0.311550926011566	0.24547053777352623	5
CWC15	pgaa_w	0.9	0.81	0.10999999999999999	0.699024711201292	0.6318928293377898	5
CWC15	welch_abs_t	0.33	0.01	0.31	0.28852593670542	-0.005221032383085699	5
DERL2	absolute_mean_shift	0.62	0.55	0.06000000000000005	0.35559575580573577	0.3004732599495256	5
DERL2	pgaa_h	0.02	0.02	0.0	0.2528692346450143	0.23773980330104572	5
DERL2	pgaa_w	0.84	0.8	0.029999999999999916	0.6447238069732899	0.6273553406081908	5
DERL2	welch_abs_t	0.05	0.01	0.03	0.03188273164702121	0.0017324302379080204	5
DICER1	absolute_mean_shift	0.69	0.6	0.0	0.35736093273728325	0.3057967720129423	5
DICER1	pgaa_h	0.02	0.01	0.019999999999999997	0.24186624006852953	0.24565364093071967	5
DICER1	pgaa_w	0.8	0.82	-0.019999999999999907	0.6372175614201395	0.6271686234908687	5
DICER1	welch_abs_t	0.01	0.01	0.01	0.01052498163713779	0.009196025329682098	5
DNTTIP2	absolute_mean_shift	0.94	0.62	0.31000000000000005	0.5492359113251626	0.31211284935142075	5
DNTTIP2	pgaa_h	0.03	0.01	0.019999999999999997	0.3326058029958905	0.24359962353195613	5
DNTTIP2	pgaa_w	0.96	0.81	0.14	0.712711684852892	0.6387769970876194	5
DNTTIP2	welch_abs_t	0.59	0.01	0.59	0.34077021894408877	0.0031739714032990468	5
EIF3D	absolute_mean_shift	0.79	0.52	0.22999999999999998	0.5498461083114196	0.28265796896202394	5
