source_file	size_bytes	source_md5	source_url	already_in_v2_or_v3_queue
AdamsonWeissman2016_GSM2406675_10X001.h5ad	34557246	232f7e3756d41602bbe434b50662a76f	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad/content	False
AdamsonWeissman2016_GSM2406677_10X005.h5ad	139059637	8657391920e7f8b3e6fd52745777002a	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad/content	False
AdamsonWeissman2016_GSM2406681_10X010.h5ad	471286951	2fa44ea61a8dd35742af618638ec65fc	https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406681_10X010.h5ad/content	False
AissaBenevolenskaya2021.h5ad	45919115	c1ee47cc82052c1eed78f3a2e3eea30c	https://zenodo.org/api/records/13350497/files/AissaBenevolenskaya2021.h5ad/content	True
ChangYe2021.h5ad	501823050	9c68660b093ebb3611d114893766fc97	https://zenodo.org/api/records/13350497/files/ChangYe2021.h5ad/content	True
CuiHacohen2023.h5ad	472111867	5af564a044c81fd6a5fbe59876833b38	https://zenodo.org/api/records/13350497/files/CuiHacohen2023.h5ad/content	True
DatlingerBock2017.h5ad	39085166	c797d8e0320afcc0cc2a94e94805b142	https://zenodo.org/api/records/13350497/files/DatlingerBock2017.h5ad/content	False
DatlingerBock2021.h5ad	33600780	5cfbcb4770e9c859a07b2cc44fd12066	https://zenodo.org/api/records/13350497/files/DatlingerBock2021.h5ad/content	False
DixitRegev2016_K562_TFs_13_days.h5ad	121166672	b594d224cf17b268cd7e02efc976cea7	https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_13_days.h5ad/content	True
DixitRegev2016_K562_TFs_7_days.h5ad	256685252	b4fb773a3b3857a8ee471d6d2f5221e0	https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_7_days.h5ad/content	False
DixitRegev2016_K562_TFs_High_MOI.h5ad	319735470	b77c2249b7069b16f91f7384a88c39b1	https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_High_MOI.h5ad/content	False
FrangiehIzar2021_RNA.h5ad	1458928348	dc438f53c476a3dd562898654d48ed15	https://zenodo.org/api/records/13350497/files/FrangiehIzar2021_RNA.h5ad/content	True
FrangiehIzar2021_protein.h5ad	24714445	9d9337e30af69ffdcf5e831f96616ed1	https://zenodo.org/api/records/13350497/files/FrangiehIzar2021_protein.h5ad/content	False
GasperiniShendure2019_atscale.h5ad	1866293566	874e029adb1a344bd5ff313179084ad5	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_atscale.h5ad/content	False
